Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d8,1D°,3d84s2,1D,7.1429e-10,1.8012e-09,-1.0869e-09
3d8,1D°,3d94s,1D,2.0833e-09,5.2535e-09,-3.1702e-09
3d8,1D°,3d95s,2[3/2],1.9150e-07,4.8291e-07,-2.9141e-07
3d8,1D°,3d95s,2[5/2],9.8932e-07,2.4948e-06,-1.5055e-06
3d8,1F°,3d94s,1D,9.6154e-09,8.3534e-09,1.2620e-09
3d8,1F°,3d84s2,3F,4.7619e-08,4.1369e-08,6.2499e-09
3d8,1F°,3d95s,2[5/2],6.2934e-08,5.4674e-08,8.2600e-09
3d8,1F°,3d95s,2[3/2],6.2500e-06,5.4297e-06,8.2030e-07
3d8,1G°,3d95s,2[5/2],1.0989e-05,1.0989e-05,0.0000e+00
3d8,3D°,3d94s,3D,6.5272e-09,4.7743e-09,1.7529e-09
3d8,3D°,3d84s2,3F,8.8027e-09,6.4387e-09,2.3640e-09
3d8,3F°,3d84s2,3F,1.2534e-09,4.8713e-09,-3.6179e-09
3d8,3F°,3d94s,3D,7.6656e-09,2.9792e-08,-2.2127e-08
3d8,3F°,3d94d,2[5/2],4.7619e-08,1.8507e-07,-1.3745e-07
3d8,3F°,3d94d,2[7/2],9.0909e-08,3.5332e-07,-2.6241e-07
3d8,3F°,3d95s,2[5/2],1.9622e-06,7.6261e-06,-5.6639e-06
3d8,3G°,3d84s2,3F,6.6994e-10,1.9311e-09,-1.2611e-09
3d8,3G°,3d94s,3D,4.7619e-09,1.3726e-08,-8.9640e-09
3d8,3P°,3d84s2,3P,1.0000e-09,1.0000e-09,0.0000e+00
3d84s2,1G,3d94p,1F°,8.7719e-07,8.7720e-07,-1.0104e-11
3d84s2,1G,3d94p,3F°,1.0309e-06,1.0309e-06,-1.1875e-11
3d84s2,1G,3d94p,3D°,1.9608e-06,1.9608e-06,-2.2586e-11
3d84s2,3P,3d94p,3P°,2.5779e-06,8.8518e-07,1.6927e-06
3d94d,2[1/2],3d94p,1P°,1.9187e-08,2.8807e-09,1.6306e-08
3d94d,2[1/2],3d94p,3P°,2.2432e-08,3.3679e-09,1.9064e-08
3d94d,2[1/2],3d94p,3D°,1.1535e-07,1.7318e-08,9.8032e-08
3d94d,2[3/2],3d94p,3P°,1.4964e-08,3.1705e-09,1.1793e-08
3d94d,2[3/2],3d94p,3F°,2.4243e-08,5.1366e-09,1.9106e-08
3d94d,2[3/2],3d94p,1F°,4.6053e-08,9.7576e-09,3.6295e-08
3d94d,2[3/2],3d94p,3D°,6.5755e-08,1.3932e-08,5.1823e-08
3d94d,2[3/2],3d94p,1P°,8.0547e-08,1.7066e-08,6.3481e-08
3d94d,2[5/2],3d94p,1P°,1.4050e-08,4.6629e-09,9.3871e-09
3d94d,2[5/2],3d94p,3F°,1.9230e-08,6.3820e-09,1.2848e-08
3d94d,2[5/2],3d94p,3P°,2.5516e-08,8.4682e-09,1.7048e-08
3d94d,2[5/2],3d94p,1F°,2.5721e-08,8.5363e-09,1.7185e-08
3d94d,2[5/2],3d94p,3D°,2.7689e-08,9.1894e-09,1.8500e-08
3d94d,2[7/2],3d94p,1D°,3.9939e-09,1.7918e-09,2.2021e-09
3d94d,2[7/2],3d94p,1F°,2.7897e-08,1.2515e-08,1.5382e-08
3d94d,2[7/2],3d94p,3F°,3.5825e-08,1.6072e-08,1.9753e-08
3d94d,2[7/2],3d94p,3D°,5.6778e-08,2.5472e-08,3.1306e-08
3d94d,2[9/2],3d94p,3F°,8.4716e-09,1.5052e-09,6.9664e-09
3d94d,2[9/2],3d94p,1F°,5.0000e-08,8.8837e-09,4.1116e-08
3d94f,2[1/2]°,3d94d,2[3/2],2.5000e-08,1.0128e-08,1.4872e-08
3d94f,2[1/2]°,3d94d,2[1/2],3.3483e-08,1.3565e-08,1.9918e-08
3d94f,2[11/2]°,3d94d,2[9/2],5.0826e-09,5.0826e-09,0.0000e+00
3d94f,2[3/2]°,3d94d,2[3/2],2.2866e-08,1.8159e-08,4.7074e-09
3d94f,2[3/2]°,3d94d,2[1/2],3.3351e-08,2.6485e-08,6.8660e-09
3d94f,2[3/2]°,3d94d,2[5/2],5.6250e-08,4.4670e-08,1.1580e-08
3d94f,2[5/2]°,3d94d,2[3/2],1.4589e-08,1.0141e-08,4.4483e-09
3d94f,2[5/2]°,3d94d,2[5/2],2.8298e-08,1.9670e-08,8.6283e-09
3d94f,2[7/2]°,3d94d,2[5/2],1.3975e-08,2.2475e-08,-8.5000e-09
3d94f,2[7/2]°,3d94d,2[3/2],3.3333e-08,5.3607e-08,-2.0274e-08
3d94f,2[7/2]°,3d94d,2[7/2],3.4167e-08,5.4948e-08,-2.0781e-08
3d94f,2[9/2]°,3d94d,2[7/2],5.8856e-09,5.9148e-09,-2.9191e-11
3d94f,2[9/2]°,3d94d,2[9/2],3.1527e-08,3.1683e-08,-1.5637e-10
3d94p,1D°,3d94s,1D,6.5359e-09,2.8221e-09,3.7138e-09
3d94p,1D°,3d94s,3D,4.7501e-08,2.0511e-08,2.6990e-08
3d94p,1F°,3d94s,1D,4.0000e-09,2.5647e-09,1.4353e-09
3d94p,1F°,3d94s,3D,5.0352e-07,3.2285e-07,1.8067e-07
3d94p,1P°,3d94s,1D,2.8571e-09,2.7849e-09,7.2185e-11
3d94p,1P°,3d10,1S,3.0303e-09,2.9537e-09,7.6561e-11
3d94p,1P°,3d94s,3D,1.1815e-07,1.1516e-07,2.9851e-09
3d94p,3D°,3d94s,1D,7.0804e-09,4.5091e-09,2.5713e-09
3d94p,3D°,3d10,1S,1.2048e-08,7.6727e-09,4.3753e-09
3d94p,3D°,3d94s,3D,1.4333e-08,9.1279e-09,5.2051e-09
3d94p,3F°,3d94s,3D,4.5460e-08,2.5308e-09,4.2929e-08
3d94p,3F°,3d94s,1D,1.2594e-06,7.0111e-08,1.1893e-06
3d94p,3P°,3d94s,3D,6.4514e-08,4.1435e-09,6.0370e-08
3d94p,3P°,3d10,1S,1.2500e-07,8.0283e-09,1.1697e-07
