Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d5,2D°,3d64s,b 2D,3.3390e-08,1.2773e-08,2.0617e-08
3d5,2D°,3d64s,a 2F,3.3536e-08,1.2829e-08,2.0707e-08
3d5,2D°,3d64s,b 2P,4.9259e-08,1.8844e-08,3.0415e-08
3d5,2D°,3d64s,d 2F,9.0909e-08,3.4777e-08,5.6132e-08
3d5,2D°,3d7,b 2F,1.2500e-07,4.7818e-08,7.7182e-08
3d5,2F°,3d64s,b 2G,6.9136e-08,1.0421e-08,5.8715e-08
3d5,2F°,3d64s,d 2F,1.0556e-07,1.5912e-08,8.9648e-08
3d5,2F°,3d64s,a 2F,1.2143e-07,1.8304e-08,1.0313e-07
3d5,2F°,3d64s,b 2H,1.4286e-07,2.1534e-08,1.2133e-07
3d5,2F°,3d64s,b 2D,1.4352e-07,2.1634e-08,1.2189e-07
3d5,2G°,3d64s,b 2H,5.2989e-09,1.1067e-08,-5.7685e-09
3d5,2G°,3d54s2,b 4G,3.5714e-08,7.4593e-08,-3.8879e-08
3d5,2G°,3d7,a 2H,4.2361e-08,8.8476e-08,-4.6115e-08
3d5,2G°,3d64s,b 2G,4.9424e-08,1.0323e-07,-5.3804e-08
3d5,2G°,3d64s,d 2G,5.1282e-08,1.0711e-07,-5.5827e-08
3d5,2H°,3d64s,c 2G,7.5000e-09,7.4814e-09,1.8644e-11
3d5,2H°,3d64s,b 4F,5.2632e-08,5.2501e-08,1.3083e-10
3d5,2H°,3d64s,b 2G,5.3472e-08,5.3339e-08,1.3292e-10
3d5,2H°,3d64s,d 2G,5.8824e-08,5.8678e-08,1.4623e-10
3d5,2H°,3d64s,b 2H,9.0203e-08,8.9979e-08,2.2423e-10
3d5,2I°,3d64s,b 2H,2.6084e-08,7.1034e-09,1.8981e-08
3d5,2I°,3d64s,a 2I,3.9223e-08,1.0682e-08,2.8541e-08
3d5,2I°,3d64s,a 4G,5.8824e-08,1.6019e-08,4.2805e-08
3d5,2I°,3d64s,a 4H,6.2500e-08,1.7021e-08,4.5479e-08
3d5,2I°,3d64s,c 2G,3.1250e-07,8.5103e-08,2.2740e-07
3d5,2K°,3d64s,a 2I,1.4286e-08,1.4286e-08,0.0000e+00
3d5,2P°,3d64s,c 2P,2.6481e-08,1.8190e-08,8.2911e-09
3d5,2P°,3d64s,b 2P,2.6923e-08,1.8493e-08,8.4295e-09
3d5,2P°,3d64s,b 4F,2.7778e-08,1.9081e-08,8.6972e-09
3d5,2P°,3d64s,b 4P,3.3120e-08,2.2750e-08,1.0370e-08
3d5,2P°,3d64s,b 2D,3.8118e-08,2.6183e-08,1.1935e-08
3d5,2S°,3d64s,b 2P,4.3445e-09,1.8052e-09,2.5393e-09
3d5,2S°,3d64s,c 2P,2.5321e-08,1.0521e-08,1.4800e-08
3d5,4D°,3d64s,a 6D,2.8571e-08,1.9083e-08,9.4883e-09
3d5,4D°,3d64s,a 4G,3.0755e-08,2.0541e-08,1.0214e-08
3d5,4D°,3d64s,a 4D,3.7850e-08,2.5280e-08,1.2570e-08
3d5,4D°,3d64s,b 4P,4.1123e-08,2.7466e-08,1.3657e-08
3d5,4D°,3d64s,b 2P,4.8889e-08,3.2653e-08,1.6236e-08
3d5,4F°,3d64s,b 4P,2.9514e-08,3.9264e-08,-9.7498e-09
3d5,4F°,3d64s,a 4D,4.3557e-08,5.7946e-08,-1.4389e-08
3d5,4F°,3d64s,b 4F,5.7846e-08,7.6955e-08,-1.9109e-08
3d5,4F°,3d64s,a 4G,5.8308e-08,7.7570e-08,-1.9262e-08
3d5,4F°,3d64s,a 2F,7.5000e-08,9.9776e-08,-2.4776e-08
3d5,4G°,3d64s,a 4H,1.8333e-08,2.1223e-08,-2.8903e-09
3d5,4G°,3d64s,b 4F,3.4443e-08,3.9873e-08,-5.4302e-09
3d5,4G°,3d54s2,b 4G,6.6978e-08,7.7538e-08,-1.0560e-08
3d5,4G°,3d64s,c 4F,1.8333e-07,2.1223e-07,-2.8903e-08
3d5,4G°,3d64s,a 4G,1.8333e-07,2.1223e-07,-2.8903e-08
3d5,4H°,3d64s,a 4H,3.7969e-08,2.3443e-08,1.4526e-08
3d5,4H°,3d64s,a 4G,3.8417e-08,2.3720e-08,1.4697e-08
3d5,4H°,3d64s,a 2I,4.1667e-08,2.5727e-08,1.5940e-08
3d5,4H°,3d54s2,b 4G,9.2346e-08,5.7018e-08,3.5328e-08
3d5,4H°,3d64s,b 2H,1.1905e-07,7.3506e-08,4.5544e-08
3d5,4I°,3d64s,a 4H,7.9754e-09,7.9758e-09,-3.7245e-13
3d5,4I°,3d65s,e 4H,1.1111e-04,1.1112e-04,-5.1889e-09
3d5,4K°,3d64s,a 4H,3.4897e-08,3.4897e-08,0.0000e+00
3d5,4P°,3d64s,c 2P,2.5000e-08,1.4400e-08,1.0600e-08
3d5,4P°,3d64s,a 6D,2.7690e-08,1.5949e-08,1.1741e-08
3d5,4P°,3d64s,b 4D,3.8340e-08,2.2083e-08,1.6257e-08
3d5,4P°,3d64s,b 4P,4.3473e-08,2.5040e-08,1.8433e-08
3d5,4P°,3d64s,a 4D,4.9029e-08,2.8240e-08,2.0789e-08
3d5,4S°,3d64s,b 4P,1.4082e-08,4.8507e-09,9.2313e-09
