Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d105f,2F°,5d106d,2D,4.2112e-08,4.3315e-09,3.7781e-08
5d105f,2F°,5d96s2,2D,1.4098e-07,1.4501e-08,1.2648e-07
5d105g,2G,5d105f,2F°,1.6748e-08,1.8531e-08,-1.7826e-09
5d105g,2G,5d96s6p,"(2D3/2,1P1)°",5.0000e-08,5.5322e-08,-5.3219e-09
5d105g,2G,5d96s6p,"(2D3/2,3P1)°",4.1667e-06,4.6102e-06,-4.4349e-07
5d105g,2G,5d96s6p,"(2D3/2,3P2)°",1.2955e-05,1.4334e-05,-1.3789e-06
5d105g,2G,5d96s6p,"(2D5/2,1P1)°",4.3137e-05,4.7728e-05,-4.5914e-06
5d106d,2D,5d106p,2P°,3.5556e-09,1.1128e-09,2.4428e-09
5d106d,2D,5d96s6p,"(2D5/2,3P1)°",8.3103e-05,2.6010e-05,5.7093e-05
5d106f,2F°,5d106d,2D,1.8889e-07,3.7752e-08,1.5114e-07
5d106f,2F°,5d96s2,2D,1.0000e-06,1.9986e-07,8.0014e-07
5d106g,2G,5d105f,2F°,4.7009e-08,5.2248e-08,-5.2394e-09
5d106g,2G,5d96s6p,"(2D3/2,1P1)°",1.2500e-07,1.3893e-07,-1.3932e-08
5d106g,2G,5d96s6p,"(2D3/2,3P2)°",2.5893e-05,2.8779e-05,-2.8859e-06
5d106g,2G,5d96s6p,"(2D5/2,1P1)°",7.5095e-05,8.3465e-05,-8.3698e-06
5d106p,2P°,5d106s,2S,1.0833e-09,1.0860e-09,-2.6515e-12
5d106p,2P°,5d96s2,2D,3.1250e-07,3.1326e-07,-7.6488e-10
5d107d,2D,5d106p,2P°,1.4550e-08,4.7019e-09,9.8481e-09
5d107d,2D,5d107p,2P°,4.8838e-08,1.5782e-08,3.3056e-08
5d107d,2D,5d96s6p,"(2D5/2,1P1)°",1.3905e-07,4.4935e-08,9.4115e-08
5d107d,2D,5d96s6p,"(2D3/2,3P2)°",1.9444e-07,6.2834e-08,1.3161e-07
5d107d,2D,5d96s6p,"(2D3/2,3P1)°",6.3000e-06,2.0359e-06,4.2641e-06
5d107f,2F°,5d107d,2D,9.0909e-08,5.5342e-08,3.5567e-08
5d107f,2F°,5d106d,2D,5.9928e-07,3.6482e-07,2.3446e-07
5d107g,2G,5d105f,2F°,9.2809e-08,9.2809e-08,0.0000e+00
5d107p,2P°,5d106s,2S,9.3899e-09,2.3299e-09,7.0600e-09
5d107p,2P°,5d107s,2S,1.9692e-08,4.8861e-09,1.4806e-08
