Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d66s6p,"(3/2,1/2)°",5d76s,5P,2.0000e-07,2.0000e-07,0.0000e+00
5d66s6p,"(5/2,1/2)°",5d76s,5F,1.8056e-08,1.0694e-08,7.3622e-09
5d66s6p,"(5/2,1/2)°",5d8,3P,3.8462e-08,2.2779e-08,1.5683e-08
5d66s6p,"(5/2,1/2)°",5d8,1D,4.3478e-08,2.5750e-08,1.7728e-08
5d66s6p,"(5/2,1/2)°",5d76s,3F,2.5000e-07,1.4806e-07,1.0194e-07
5d66s6p,"(7/2,1/2)°",5d76s,5F,3.7088e-08,1.8758e-08,1.8330e-08
5d66s6p,"(7/2,1/2)°",5d76s,3F,1.2500e-06,6.3220e-07,6.1780e-07
5d66s6p,"(7/2,1/2)°",5d66s2,5D,1.9643e-06,9.9346e-07,9.7084e-07
5d66s6p,"(9/2,1/2)°",5d76s,5F,7.6194e-08,6.1810e-08,1.4384e-08
5d66s6p,"(9/2,1/2)°",5d8,1G,2.5000e-07,2.0281e-07,4.7194e-08
5d66s6p,"(9/2,1/2)°",5d76s,3F,5.0505e-07,4.0971e-07,9.5341e-08
5d66s6p,"(9/2,1/2)°",5d66s2,5D,5.4945e-07,4.4573e-07,1.0372e-07
5d66s6p,"(9/2,1/2)°",5d76s,3G,9.0909e-07,7.3748e-07,1.7161e-07
5d76p,"(1/2,1/2)°",5d8,3P,6.6667e-09,6.6667e-09,1.6502e-14
5d76p,"(1/2,1/2)°",5d76s,5P,2.5000e-08,2.5000e-08,6.1881e-14
5d76p,"(1/2,1/2)°",5d76s,3P,8.3333e-08,8.3333e-08,2.0627e-13
5d76p,"(3/2,1/2)°",5d8,1D,4.4812e-08,2.0844e-08,2.3968e-08
5d76p,"(3/2,1/2)°",5d8,3P,6.5873e-08,3.0641e-08,3.5232e-08
5d76p,"(3/2,1/2)°",5d76s,5F,1.2900e-07,6.0004e-08,6.8996e-08
5d76p,"(3/2,1/2)°",5d8,3F,1.4021e-07,6.5218e-08,7.4992e-08
5d76p,"(3/2,1/2)°",5d76s,5P,1.4167e-07,6.5897e-08,7.5773e-08
5d76p,"(5/2,1/2)°",5d8,3P,4.1745e-08,2.0624e-08,2.1121e-08
5d76p,"(5/2,1/2)°",5d76s,5P,6.5130e-08,3.2177e-08,3.2953e-08
5d76p,"(5/2,1/2)°",5d76s,5F,7.2843e-08,3.5988e-08,3.6855e-08
5d76p,"(5/2,1/2)°",5d76s,3D,8.4746e-08,4.1868e-08,4.2878e-08
5d76p,"(5/2,1/2)°",5d8,1D,1.5535e-07,7.6750e-08,7.8600e-08
5d76p,"(7/2,1/2)°",5d76s,5F,5.4045e-08,7.6120e-09,4.6433e-08
5d76p,"(7/2,1/2)°",5d76s,3F,1.6007e-07,2.2545e-08,1.3752e-07
5d76p,"(7/2,1/2)°",5d8,1G,3.2258e-07,4.5434e-08,2.7715e-07
5d76p,"(7/2,1/2)°",5d76s,5P,4.0911e-07,5.7621e-08,3.5149e-07
5d76p,"(7/2,1/2)°",5d66s2,5D,5.2632e-07,7.4130e-08,4.5219e-07
5d76p,"(9/2,1/2)°",5d76s,5F,1.8370e-08,5.8964e-09,1.2474e-08
5d76p,"(9/2,1/2)°",5d76s,3F,1.3333e-07,4.2796e-08,9.0534e-08
5d76p,"(9/2,1/2)°",5d66s2,5D,4.0000e-07,1.2839e-07,2.7161e-07
5d76p,"(9/2,1/2)°",5d8,1G,6.2500e-07,2.0061e-07,4.2439e-07
5d76p,"(9/2,3/2)°",5d76s,3G,1.8519e-08,1.2681e-08,5.8384e-09
5d76p,"(9/2,3/2)°",5d76s,3F,2.0192e-08,1.3826e-08,6.3658e-09
5d76p,"(9/2,3/2)°",5d76s,5F,2.3884e-08,1.6354e-08,7.5298e-09
5d76p,"(9/2,3/2)°",5d76s,5P,6.2500e-08,4.2796e-08,1.9704e-08
5d76p,"(9/2,3/2)°",5d8,3F,6.6667e-08,4.5649e-08,2.1018e-08
