Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p53d,1P°,3p6,1S,1.4925e-11,1.4925e-11,0.0000e+00
3p53d,3D°,3p6,1S,9.4340e-08,9.4340e-08,0.0000e+00
3p53d,3P°,3p6,1S,2.3810e-09,2.3810e-09,0.0000e+00
3p54d,3D°,3p54p,1D,2.2986e-09,7.5455e-10,1.5441e-09
3p54d,3D°,3p54p,3P,1.1783e-08,3.8679e-09,7.9151e-09
3p54d,3D°,3p54p,3D,2.4138e-08,7.9237e-09,1.6214e-08
3p54d,3D°,3p54p,3S,3.5461e-08,1.1641e-08,2.3820e-08
3p54d,3D°,3p54p,1P,2.0921e-06,6.8676e-07,1.4053e-06
3p54d,3F°,3p54p,3D,1.4184e-08,7.3474e-10,1.3449e-08
3p54d,3F°,3p54p,1D,1.1223e-07,5.8136e-09,1.0642e-07
3p54d,3F°,3p54p,1P,2.8902e-07,1.4971e-08,2.7405e-07
3p54d,3F°,3p54p,3P,1.8622e-06,9.6463e-08,1.7657e-06
3p54d,3P°,3p54p,3S,1.5729e-09,1.0789e-09,4.9401e-10
3p54d,3P°,3p54p,1D,1.4998e-08,1.0288e-08,4.7105e-09
3p54d,3P°,3p54p,3P,1.6732e-08,1.1477e-08,5.2551e-09
3p54d,3P°,3p54p,3D,3.9163e-08,2.6863e-08,1.2300e-08
3p54d,3P°,3p54p,1P,8.4038e-08,5.7644e-08,2.6394e-08
3p54f,2[3/2],3p53d,1P°,1.7007e-09,1.3623e-09,3.3841e-10
3p54f,2[3/2],3p53d,3P°,1.3405e-08,1.0738e-08,2.6674e-09
3p54f,2[3/2],3p53d,3D°,3.4529e-08,2.7658e-08,6.8707e-09
3p54f,2[3/2],3p53d,1F°,3.3445e-07,2.6790e-07,6.6550e-08
3p54f,2[5/2],3p53d,1P°,1.6336e-09,7.4875e-10,8.8485e-10
3p54f,2[5/2],3p53d,3P°,9.7185e-09,4.4544e-09,5.2641e-09
3p54f,2[5/2],3p53d,1F°,4.4272e-08,2.0292e-08,2.3980e-08
3p54f,2[5/2],3p53d,3D°,6.1258e-08,2.8077e-08,3.3181e-08
3p54f,2[5/2],3p53d,3F°,7.1784e-08,3.2902e-08,3.8882e-08
3p54f,2[7/2],3p53d,1D°,1.2142e-09,1.0019e-09,2.1225e-10
3p54f,2[7/2],3p53d,3F°,2.7709e-09,2.2865e-09,4.8437e-10
3p54f,2[7/2],3p53d,1F°,1.0529e-08,8.6885e-09,1.8405e-09
3p54f,2[7/2],3p53d,3D°,1.2128e-06,1.0008e-06,2.1201e-07
3p54f,2[9/2],3p53d,1F°,1.4493e-09,7.6878e-10,6.8052e-10
3p54f,2[9/2],3p53d,3D°,1.7513e-09,9.2897e-10,8.2233e-10
3p54f,2[9/2],3p53d,3F°,5.1136e-09,2.7125e-09,2.4011e-09
3p54p,1D,3p54s,1P°,4.7619e-09,2.2441e-09,2.5178e-09
3p54p,1D,3p53d,3P°,1.1082e-08,5.2226e-09,5.8594e-09
3p54p,1D,3p54s,3P°,1.2819e-08,6.0411e-09,6.7779e-09
3p54p,1D,3p53d,3F°,4.8026e-07,2.2633e-07,2.5393e-07
3p54p,1P,3p54s,1P°,5.5556e-09,3.6792e-09,1.8764e-09
3p54p,1P,3p53d,3P°,4.4134e-08,2.9228e-08,1.4906e-08
3p54p,1P,3p54s,3P°,5.1445e-08,3.4070e-08,1.7375e-08
3p54p,1P,3p53d,3F°,7.2464e-08,4.7989e-08,2.4475e-08
3p54p,1S,3p54s,1P°,4.4248e-09,4.4247e-09,6.3232e-14
3p54p,1S,3p53d,3P°,1.0905e-07,1.0905e-07,1.5584e-12
3p54p,3D,3p54s,3P°,8.8423e-09,1.7142e-09,7.1281e-09
3p54p,3D,3p53d,3F°,3.6467e-08,7.0696e-09,2.9397e-08
3p54p,3D,3p53d,3P°,5.2358e-08,1.0150e-08,4.2208e-08
3p54p,3D,3p54s,1P°,1.2082e-06,2.3422e-07,9.7398e-07
3p54p,3P,3p54s,3P°,1.8257e-08,5.2179e-09,1.3039e-08
3p54p,3P,3p54s,1P°,3.0980e-08,8.8542e-09,2.2126e-08
3p54p,3P,3p53d,3P°,5.8850e-08,1.6819e-08,4.2031e-08
3p54p,3P,3p53d,3F°,2.7605e-07,7.8896e-08,1.9715e-07
3p54p,3S,3p53d,3P°,3.9398e-08,3.0859e-09,3.6312e-08
3p54p,3S,3p54s,3P°,1.6230e-07,1.2712e-08,1.4959e-07
3p54p,3S,3p54s,1P°,7.4074e-07,5.8019e-08,6.8272e-07
3p54s,1P°,3p6,1S,4.3478e-10,4.3478e-10,-1.0340e-25
3p54s,3P°,3p6,1S,8.3333e-09,8.3333e-09,0.0000e+00
3p55d,"(1/2,3/2)°",3p6,1S,2.5000e-10,2.5000e-10,0.0000e+00
3p55f,2[3/2],3p53d,3P°,1.5833e-08,1.0166e-08,5.6672e-09
3p55f,2[3/2],3p54s,3P°,1.0359e-07,6.6511e-08,3.7079e-08
3p55f,2[3/2],3p53d,3F°,4.2918e-07,2.7556e-07,1.5362e-07
3p55f,2[3/2],3p55s,2[1/2]°,1.2092e-05,7.7638e-06,4.3282e-06
3p55f,2[5/2],3p53d,3D°,1.8512e-08,4.2757e-09,1.4236e-08
3p55f,2[5/2],3p53d,3P°,4.9860e-08,1.1516e-08,3.8344e-08
3p55f,2[5/2],3p53d,1D°,6.5512e-08,1.5131e-08,5.0381e-08
3p55f,2[5/2],3p53d,3F°,1.4645e-07,3.3826e-08,1.1262e-07
3p55f,2[5/2],3p54s,3P°,2.9292e-07,6.7656e-08,2.2526e-07
3p55f,2[7/2],3p53d,1D°,1.7906e-09,1.7572e-09,3.3449e-11
3p55f,2[7/2],3p53d,3F°,6.7712e-08,6.6447e-08,1.2649e-09
3p55f,2[7/2],3p53d,3D°,6.9578e-07,6.8278e-07,1.2997e-08
3p55f,2[9/2],3p53d,3F°,1.3607e-09,1.7854e-09,-4.2468e-10
3p55f,2[9/2],3p53d,1F°,1.7953e-09,2.3556e-09,-5.6032e-10
3p55f,2[9/2],3p53d,3D°,2.3310e-09,3.0585e-09,-7.2751e-10
3p55s,2[1/2]°,3p6,1S,1.0000e-09,2.9741e-09,-1.9741e-09
3p55s,2[1/2]°,3p54p,1D,6.9444e-09,2.0653e-08,-1.3709e-08
3p55s,2[1/2]°,3p54p,3S,7.1124e-09,2.1153e-08,-1.4040e-08
3p55s,2[1/2]°,3p54p,1P,1.4070e-08,4.1845e-08,-2.7775e-08
3p55s,2[1/2]°,3p54p,1S,2.3310e-08,6.9326e-08,-4.6016e-08
3p55s,2[3/2]°,3p54p,1D,7.6705e-09,2.9935e-09,4.6770e-09
3p55s,2[3/2]°,3p54p,3S,1.0776e-08,4.2054e-09,6.5706e-09
3p55s,2[3/2]°,3p54p,3D,1.2868e-08,5.0218e-09,7.8462e-09
3p55s,2[3/2]°,3p54p,1S,3.8023e-08,1.4839e-08,2.3184e-08
3p55s,2[3/2]°,3p54p,3P,5.4183e-08,2.1145e-08,3.3038e-08
