Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4f5d,y 1F°,5d6s,a 3D,8.0544e-07,1.7803e-07,6.2741e-07
4f5d,y 1F°,5d2,a 1G,8.4034e-07,1.8574e-07,6.5460e-07
4f5d,y 1F°,5d2,a 3F,1.3671e-06,3.0218e-07,1.0649e-06
4f5d,y 3F°,5d6s,a 3D,9.9415e-07,6.1703e-07,3.7712e-07
4f5d,y 3F°,5d2,a 3F,3.9484e-06,2.4506e-06,1.4978e-06
4f5d,z 1D°,5d2,a 3F,9.4340e-07,9.4340e-07,3.7620e-13
4f5d,z 1D°,5d6s,a 3D,1.7544e-06,1.7544e-06,6.9960e-13
4f5d,z 1H°,5d2,a 1G,1.2987e-07,1.2987e-07,0.0000e+00
4f5d,z 3D°,5d6s,a 3D,3.2136e-07,7.0141e-08,2.5122e-07
4f5d,z 3D°,5d2,a 3F,1.3566e-06,2.9610e-07,1.0605e-06
4f5d,z 3G°,5d2,a 3F,9.4024e-07,1.1812e-07,8.2212e-07
4f5d,z 3P°,5d6s,a 3D,3.5245e-07,1.4180e-07,2.1065e-07
4f5d,z 3P°,5d2,a 3F,5.2910e-07,2.1287e-07,3.1623e-07
4f5d,z 3P°,5d2,a 3P,2.4390e-06,9.8126e-07,1.4577e-06
5d6p,x 3F°,5d6s,a 3D,1.8960e-08,6.1016e-09,1.2858e-08
5d6p,x 3F°,5d2,a 3F,1.2851e-07,4.1356e-08,8.7154e-08
5d6p,y 1D°,5d2,a 3F,1.4706e-08,9.0181e-09,5.6879e-09
5d6p,y 1D°,5d6s,a 3D,3.3003e-08,2.0238e-08,1.2765e-08
5d6p,y 3D°,5d6s,a 3D,4.0545e-08,1.1188e-08,2.9357e-08
5d6p,y 3D°,5d2,a 3P,8.4154e-08,2.3222e-08,6.0932e-08
5d6p,y 3D°,5d2,a 3F,9.2912e-08,2.5639e-08,6.7273e-08
5d6p,y 3D°,6s2,a 1S,1.7544e-07,4.8413e-08,1.2703e-07
5d6p,y 3D°,5d2,a 1G,1.2048e-06,3.3246e-07,8.7234e-07
5d6p,°,5d2,a 3F,2.3256e-08,1.0408e-08,1.2848e-08
5d6p,°,5d6s,a 3D,9.5857e-08,4.2900e-08,5.2957e-08
5d6p,°,6s2,a 1S,1.4493e-07,6.4862e-08,8.0068e-08
5d6p,°,5d2,a 3P,1.5311e-07,6.8523e-08,8.4587e-08
6s6p,y 3P°,5d2,a 3P,3.1949e-08,3.1949e-08,0.0000e+00
