Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2p63d,2D,2p63s,2S,1.1403e-04,2.0838e-09,1.1403e-04
2p63d,2D,2p63p,2P°,1.5337e+02,2.8027e-03,1.5337e+02
2p63p,2P°,2p63s,2S,3.8686e-09,3.8686e-09,-1.0340e-22
2p63p,2P°,2p63p,2P°,1.4493e+05,1.4493e+05,-3.8708e-09
2p64d,2D,2p63s,2S,9.6154e-04,7.9103e-09,9.6153e-04
2p64d,2D,2p63d,2D,3.5022e-02,2.8812e-07,3.5022e-02
2p64d,2D,2p63p,2P°,5.3191e+02,4.3759e-03,5.3191e+02
2p64d,2D,2p64p,2P°,7.5301e+03,6.1948e-02,7.5300e+03
2p64f,2F°,2p63d,2D,2.4472e-08,4.2964e-09,2.0176e-08
2p64f,2F°,2p64d,2D,8.7232e-04,1.5315e-04,7.1917e-04
2p64p,2P°,2p64s,2S,2.7587e-08,1.9061e-08,8.5256e-09
2p64p,2P°,2p63s,2S,6.9932e-07,4.8320e-07,2.1612e-07
2p64p,2P°,2p63p,2P°,1.4881e+03,1.0282e+03,4.5989e+02
2p64p,2P°,2p63d,2D,3.8226e+04,2.6412e+04,1.1814e+04
2p64p,2P°,2p64p,2P°,3.9062e+06,2.6990e+06,1.2072e+06
2p64s,2S,2p63p,2P°,6.5217e-09,2.8986e-09,3.6231e-09
2p64s,2S,2p63s,2S,5.3476e+01,2.3768e+01,2.9708e+01
2p65d,2D,2p65p,2P°,1.3051e-07,4.7016e-08,8.3494e-08
2p65d,2D,2p64p,2P°,1.5800e-07,5.6920e-08,1.0108e-07
2p65d,2D,2p63p,2P°,2.1027e-07,7.5750e-08,1.3452e-07
2p65d,2D,2p64f,2F°,7.3145e-06,2.6351e-06,4.6794e-06
2p65d,2D,2p63s,2S,5.0761e-03,1.8287e-03,3.2474e-03
2p65f,2F°,2p63d,2D,7.1437e-08,1.2553e-08,5.8884e-08
2p65f,2F°,2p64d,2D,1.3502e-07,2.3726e-08,1.1129e-07
2p65f,2F°,2p65d,2D,1.4593e-03,2.5643e-04,1.2029e-03
2p65p,2P°,2p65s,2S,1.1312e-07,7.4971e-08,3.8149e-08
2p65p,2P°,2p63s,2S,2.8351e-07,1.8790e-07,9.5613e-08
2p65p,2P°,2p64d,2D,5.8033e-07,3.8462e-07,1.9571e-07
2p65p,2P°,2p63d,2D,1.2287e-06,8.1432e-07,4.1438e-07
2p65p,2P°,2p64s,2S,5.9984e-06,3.9755e-06,2.0229e-06
2p65s,2S,2p63p,2P°,1.8766e-08,8.3466e-09,1.0419e-08
2p65s,2S,2p64p,2P°,2.8320e-08,1.2596e-08,1.5724e-08
