Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2s22p53d,2[1/2]°,2s22p53p,3S,3.5551e-09,3.2754e-09,2.7970e-10
2s22p53d,2[1/2]°,2s22p6,1S,1.6807e-08,1.5485e-08,1.3223e-09
2s22p53d,2[1/2]°,2s22p53p,3P,2.1456e-08,1.9768e-08,1.6880e-09
2s22p53d,2[1/2]°,2s22p53p,1D,2.5381e-08,2.3384e-08,1.9968e-09
2s22p53d,2[1/2]°,2s22p53p,1P,6.2566e-08,5.7644e-08,4.9223e-09
2s22p53d,2[3/2]°,2s22p6,1S,5.6818e-10,1.4772e-09,-9.0903e-10
2s22p53d,2[3/2]°,2s22p53p,1S,2.7441e-08,7.1344e-08,-4.3903e-08
2s22p53d,2[3/2]°,2s22p53p,3S,4.0198e-08,1.0451e-07,-6.4313e-08
2s22p53d,2[3/2]°,2s22p53p,1D,6.0581e-08,1.5750e-07,-9.6923e-08
2s22p53d,2[3/2]°,2s22p53p,3P,2.8943e-07,7.5249e-07,-4.6306e-07
2s22p53d,2[5/2]°,2s22p53p,1P,1.3072e-08,2.8744e-09,1.0198e-08
2s22p53d,2[5/2]°,2s22p53p,3D,3.1544e-07,6.9363e-08,2.4608e-07
2s22p53d,2[5/2]°,2s22p53p,1D,7.3288e-07,1.6115e-07,5.7173e-07
2s22p53d,2[5/2]°,2s22p53p,3S,2.8190e-06,6.1987e-07,2.1991e-06
2s22p53d,2[5/2]°,2s22p53p,3P,3.9229e-05,8.6261e-06,3.0603e-05
2s22p53d,2[7/2]°,2s22p53p,1D,1.4085e-08,5.9980e-09,8.0870e-09
2s22p53d,2[7/2]°,2s22p53p,3D,1.4341e-08,6.1070e-09,8.2340e-09
2s22p53d,2[7/2]°,2s22p53p,3P,7.1429e-08,3.0417e-08,4.1012e-08
2s22p53p,1D,2s22p53s,1P°,9.0909e-09,6.0964e-09,2.9945e-09
2s22p53p,1D,2s22p53s,3P°,3.5049e-08,2.3504e-08,1.1545e-08
2s22p53p,1D,2s22p6,1S,2.2222e-05,1.4902e-05,7.3199e-06
2s22p53p,1D,2s22p53p,3S,2.0661e+02,1.3855e+02,6.8057e+01
2s22p53p,1D,2s22p53p,3D,3.6354e+02,2.4379e+02,1.1975e+02
2s22p53p,1P,2s22p53s,1P°,8.9286e-09,5.6553e-09,3.2733e-09
2s22p53p,1P,2s22p53s,3P°,4.4013e-08,2.7877e-08,1.6136e-08
2s22p53p,1P,2s22p53p,3D,7.2207e+01,4.5735e+01,2.6472e+01
2s22p53p,1P,2s22p53p,1D,3.0395e+03,1.9252e+03,1.1143e+03
2s22p53p,1S,2s22p53s,1P°,2.4096e-09,2.4097e-09,-6.2000e-14
2s22p53p,1S,2s22p53s,3P°,9.5238e-08,9.5240e-08,-2.4505e-12
2s22p53p,3D,2s22p53s,3P°,1.7925e-08,4.9639e-09,1.2961e-08
2s22p53p,3D,2s22p53s,1P°,5.4173e-07,1.5002e-07,3.9171e-07
2s22p53p,3D,2s22p6,1S,1.5625e-04,4.3270e-05,1.1298e-04
2s22p53p,3D,2s22p53p,3D,4.8661e+02,1.3476e+02,3.5185e+02
2s22p53p,3P,2s22p53s,3P°,1.6182e-08,4.9286e-09,1.1253e-08
2s22p53p,3P,2s22p53s,1P°,8.5064e-08,2.5908e-08,5.9156e-08
2s22p53p,3P,2s22p6,1S,6.2500e-05,1.9036e-05,4.3464e-05
2s22p53p,3P,2s22p53p,3S,2.7408e+01,8.3478e+00,1.9060e+01
2s22p53p,3P,2s22p53p,1D,1.3646e+02,4.1562e+01,9.4898e+01
2s22p53p,3S,2s22p53s,3P°,4.5424e-08,7.4868e-09,3.7937e-08
2s22p53p,3S,2s22p53s,1P°,2.6247e-06,4.3260e-07,2.1921e-06
2s22p53s,1P°,2s22p6,1S,3.1949e-10,3.1949e-10,-1.8729e-21
2s22p53s,1P°,2s22p53s,3P°,5.4500e+01,5.4500e+01,-3.1949e-10
2s22p53s,3P°,2s22p6,1S,5.8824e-09,4.6729e+01,-4.6729e+01
2s22p53s,3P°,2s22p53s,3P°,3.3334e+06,2.6480e+16,-2.6480e+16
2s22p54s,2[1/2]°,2s22p6,1S,2.5000e-09,3.0364e-09,-5.3638e-10
2s22p54s,2[1/2]°,2s22p53p,1D,1.4085e-08,1.7107e-08,-3.0220e-09
2s22p54s,2[1/2]°,2s22p53p,1P,2.3892e-08,2.9018e-08,-5.1261e-09
2s22p54s,2[1/2]°,2s22p53p,3S,2.4443e-08,2.9687e-08,-5.2443e-09
2s22p54s,2[1/2]°,2s22p53p,1S,3.7037e-08,4.4983e-08,-7.9464e-09
2s22p54s,2[3/2]°,2s22p6,1S,2.7624e-09,2.6526e-09,1.0977e-10
2s22p54s,2[3/2]°,2s22p53p,3S,1.0893e-08,1.0460e-08,4.3285e-10
2s22p54s,2[3/2]°,2s22p53p,1S,2.3148e-08,2.2228e-08,9.1982e-10
2s22p54s,2[3/2]°,2s22p53p,1D,4.7748e-07,4.5851e-07,1.8973e-08
2s22p54s,2[3/2]°,2s22p53p,1P,7.5567e-07,7.2564e-07,3.0028e-08
2s2p63p,1P°,2s22p6,1S,1.9608e-10,1.9608e-10,0.0000e+00
