Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2s22p23d,2D,2s22p3,2P°,2.6375e-09,6.3802e-10,1.9995e-09
2s22p23d,2D,2s22p3,2D°,1.5056e-08,3.6421e-09,1.1414e-08
2s22p23d,2D,2s22p3,4S°,4.8544e-07,1.1743e-07,3.6801e-07
2s22p23d,2D,2s22p23p,2S°,8.6207e-07,2.0854e-07,6.5353e-07
2s22p23d,2D,2s22p23p,2F°,1.8460e-06,4.4656e-07,1.3994e-06
2s22p23d,2F,2s22p3,2D°,3.5192e-09,6.6149e-10,2.8577e-09
2s22p23d,2F,2s22p3,4S°,1.5337e-08,2.8828e-09,1.2454e-08
2s22p23d,2F,2s22p23p,4P°,8.3472e-08,1.5690e-08,6.7782e-08
2s22p23d,2F,2s22p23p,4D°,4.1547e-07,7.8094e-08,3.3738e-07
2s22p23d,2F,2s22p3,2P°,8.4746e-07,1.5929e-07,6.8817e-07
2s22p23d,2G,2s22p23p,2F°,5.0643e-08,5.0497e-09,4.5593e-08
2s22p23d,2P,2s22p3,2D°,2.0114e-09,5.7257e-10,1.4388e-09
2s22p23d,2P,2s22p3,2P°,5.7996e-09,1.6509e-09,4.1487e-09
2s22p23d,2P,2s22p23p,2S°,7.5762e-09,2.1566e-09,5.4196e-09
2s22p23d,2P,2s22p3,4S°,3.2680e-07,9.3027e-08,2.3377e-07
2s22p23d,2P,2s22p23p,2D°,7.5336e-07,2.1445e-07,5.3891e-07
2s22p23d,2S,2s22p3,2P°,1.2726e-09,5.0759e-10,7.6501e-10
2s22p23d,2S,2s22p24p,2P°,4.2187e-06,1.6827e-06,2.5360e-06
2s22p23d,2S,2s22p23p,2P°,3.2908e-05,1.3126e-05,1.9782e-05
2s22p23d,4D,2s22p3,4S°,2.1198e-09,1.8075e-09,3.1225e-10
2s22p23d,4D,2s22p23p,4P°,2.3001e-08,1.9613e-08,3.3881e-09
2s22p23d,4D,2s22p3,2D°,8.1202e-08,6.9241e-08,1.1961e-08
2s22p23d,4D,2s22p23p,4D°,9.5811e-08,8.1698e-08,1.4113e-08
2s22p23d,4D,2s22p23p,4S°,1.3438e-07,1.1459e-07,1.9794e-08
2s22p23d,4F,2s22p23p,4D°,1.1440e-07,6.6688e-09,1.0773e-07
2s22p23d,4F,2s22p3,2D°,3.5820e-07,2.0881e-08,3.3732e-07
2s22p23d,4F,2s22p23p,2D°,1.5136e-05,8.8233e-07,1.4254e-05
2s22p23d,4F,2s22p23p,4P°,4.1213e-05,2.4024e-06,3.8811e-05
2s22p23d,4P,2s22p3,4S°,2.3559e-10,2.3077e-10,4.8204e-12
2s22p23d,4P,2s22p23p,4S°,1.9648e-08,1.9246e-08,4.0202e-10
2s22p23d,4P,2s22p23p,4P°,6.5967e-08,6.4617e-08,1.3497e-09
2s22p23d,4P,2s22p3,2D°,2.7603e-07,2.7038e-07,5.6478e-09
2s22p23d,4P,2s22p3,2P°,3.9658e-07,3.8847e-07,8.1144e-09
2s22p23p,2D°,2s22p23s,2P,4.5812e-08,9.2607e-09,3.6551e-08
2s22p23p,2D°,2s2p4,2P,3.7825e-06,7.6462e-07,3.0179e-06
2s22p23p,2D°,2s2p4,2D,1.1433e-05,2.3111e-06,9.1219e-06
2s22p23p,2D°,2s22p23s,4P,2.6738e-05,5.4050e-06,2.1333e-05
2s22p23p,2D°,2s22p23s,2D,4.9623e-05,1.0031e-05,3.9592e-05
2s22p23p,2F°,2s22p23s,2D,7.6210e-08,1.1738e-08,6.4472e-08
2s22p23p,2F°,2s2p4,2D,2.5123e-07,3.8694e-08,2.1254e-07
2s22p23p,2P°,2s22p23s,2P,9.9562e-08,9.5167e-09,9.0045e-08
2s22p23p,2P°,2s2p4,2S,4.4093e-07,4.2147e-08,3.9878e-07
2s22p23p,2P°,2s2p4,2D,5.7002e-07,5.4486e-08,5.1553e-07
2s22p23p,2P°,2s22p24s,2P,8.4374e-07,8.0650e-08,7.6309e-07
2s22p23p,2P°,2s22p23d,2P,3.4128e-06,3.2622e-07,3.0866e-06
2s22p23p,2S°,2s22p23s,2P,7.8232e-08,3.5728e-08,4.2504e-08
2s22p23p,2S°,2s22p23s,4P,4.6295e-05,2.1143e-05,2.5152e-05
2s22p23p,4D°,2s22p23s,4P,6.8014e-08,1.2413e-08,5.5601e-08
2s22p23p,4D°,2s2p4,4P,1.2585e-06,2.2969e-07,1.0288e-06
2s22p23p,4P°,2s22p23s,4P,3.6597e-08,1.0683e-08,2.5914e-08
2s22p23p,4P°,2s2p4,4P,7.5818e-08,2.2132e-08,5.3686e-08
2s22p23p,4P°,2s22p23s,2P,5.5015e-05,1.6060e-05,3.8955e-05
2s22p23p,4S°,2s22p23s,4P,2.1747e-08,5.8483e-09,1.5899e-08
2s22p23p,4S°,2s2p4,4P,6.6698e-08,1.7937e-08,4.8761e-08
2s22p23s,2D,2s22p3,2P°,5.3721e-09,1.1740e-09,4.1981e-09
2s22p23s,2D,2s22p3,2D°,6.1943e-09,1.3537e-09,4.8406e-09
2s22p23s,2P,2s22p3,2D°,1.2332e-09,3.1048e-10,9.2272e-10
2s22p23s,2P,2s22p3,2P°,5.1384e-09,1.2937e-09,3.8447e-09
2s22p23s,2S,2s22p3,2P°,2.3484e-09,1.0582e-09,1.2902e-09
2s22p23s,2S,2s22p23p,2P°,1.7746e-06,7.9964e-07,9.7496e-07
2s22p23s,4P,2s22p3,4S°,1.0187e-09,1.0187e-09,0.0000e+00
2s22p24d,2D,2s22p3,2P°,2.6432e-09,7.2612e-10,1.9171e-09
2s22p24d,2D,2s22p3,2D°,1.3777e-08,3.7847e-09,9.9923e-09
2s22p24d,2D,2s22p24p,2P°,3.0824e-07,8.4677e-08,2.2356e-07
2s22p24d,2D,2s22p24p,2D°,1.9307e-06,5.3039e-07,1.4003e-06
2s22p24d,2D,2s22p23p,2D°,2.3666e-06,6.5013e-07,1.7165e-06
2s22p24d,2F,2s22p3,2D°,3.6969e-09,6.4402e-10,3.0529e-09
2s22p24d,2F,2s22p24p,2D°,3.4815e-06,6.0649e-07,2.8750e-06
2s22p24d,2F,2s22p23p,2D°,3.6320e-06,6.3271e-07,2.9993e-06
2s22p24d,2F,2s22p23p,2F°,7.5998e-06,1.3239e-06,6.2759e-06
2s22p24d,2P,2s22p3,2P°,1.7540e-09,5.8586e-10,1.1681e-09
2s22p24d,2P,2s22p3,2D°,4.2537e-08,1.4208e-08,2.8329e-08
2s22p24d,2P,2s22p24p,2P°,2.6840e-07,8.9649e-08,1.7875e-07
2s22p24d,2P,2s22p23p,2D°,4.1690e-07,1.3925e-07,2.7765e-07
2s22p24d,2P,2s22p23p,2S°,8.1301e-07,2.7155e-07,5.4146e-07
2s22p24d,4P,2s22p3,4S°,4.2017e-10,4.2011e-10,5.6345e-14
2s22p24d,4P,2s22p23p,4S°,1.4948e-07,1.4946e-07,2.0045e-11
2s22p24d,4P,2s22p24p,4D°,2.8883e-05,2.8879e-05,3.8732e-09
2s22p24p,2D°,2s22p24s,2P,1.6032e-07,3.1455e-08,1.2887e-07
2s22p24p,2D°,2s22p23d,2F,2.4803e-07,4.8663e-08,1.9937e-07
2s22p24p,2D°,2s22p23s,2D,3.5875e-07,7.0387e-08,2.8836e-07
2s22p24p,2D°,2s2p4,2P,6.2000e-07,1.2164e-07,4.9836e-07
2s22p24p,2D°,2s22p23d,2D,1.3964e-06,2.7397e-07,1.1224e-06
2s22p24p,2P°,2s22p23d,2P,1.4430e-07,4.3134e-08,1.0117e-07
2s22p24p,2P°,2s22p23d,2D,1.7750e-07,5.3059e-08,1.2444e-07
2s22p24p,2P°,2s22p24s,2P,1.9039e-07,5.6912e-08,1.3348e-07
2s22p24p,2P°,2s22p23s,2D,1.9609e-07,5.8616e-08,1.3747e-07
2s22p24p,2P°,2s2p4,2S,3.3501e-07,1.0014e-07,2.3487e-07
2s22p24p,4D°,2s22p23s,4P,2.1692e-07,3.0031e-08,1.8689e-07
2s22p24p,4D°,2s22p24s,4P,3.4226e-07,4.7383e-08,2.9488e-07
2s22p24p,4D°,2s22p23d,4D,6.9775e-07,9.6599e-08,6.0115e-07
2s22p24p,4D°,2s22p23d,4F,1.1424e-06,1.5816e-07,9.8424e-07
2s22p24s,2D,2s22p3,2P°,1.0922e-08,2.0753e-09,8.8467e-09
2s22p24s,2D,2s22p3,2D°,2.4774e-08,4.7072e-09,2.0067e-08
2s22p24s,2D,2s22p23p,2F°,7.3178e-08,1.3904e-08,5.9274e-08
2s22p24s,2D,2s22p23p,2D°,4.9023e-07,9.3147e-08,3.9708e-07
2s22p24s,2D,2s22p24p,2D°,8.2249e-06,1.5628e-06,6.6621e-06
2s22p24s,2P,2s22p3,2P°,3.4334e-09,1.1669e-09,2.2665e-09
2s22p24s,2P,2s22p23p,2S°,1.6993e-08,5.7755e-09,1.1217e-08
2s22p24s,2P,2s22p3,2D°,4.7504e-08,1.6146e-08,3.1358e-08
2s22p24s,2P,2s22p23p,2P°,7.1865e-08,2.4425e-08,4.7440e-08
2s22p24s,2P,2s22p23p,2D°,5.8873e-07,2.0010e-07,3.8863e-07
2s22p24s,4P,2s22p3,4S°,5.3763e-09,3.1200e-09,2.2563e-09
2s22p24s,4P,2s22p23p,4S°,3.6791e-08,2.1350e-08,1.5441e-08
2s22p24s,4P,2s22p23p,4P°,5.2798e-08,3.0640e-08,2.2158e-08
2s22p24s,4P,2s22p23p,4D°,6.8488e-08,3.9745e-08,2.8743e-08
2s22p3,2D°,2s22p3,4S°,1.9166e+04,1.9212e+04,-4.5749e+01
2s22p3,2D°,2s22p3,2D°,7.6923e+06,7.7107e+06,-1.8361e+04
2s22p3,2P°,2s22p3,2D°,1.4905e+01,8.0756e+00,6.8294e+00
2s22p3,2P°,2s22p3,4S°,3.3163e+01,1.7968e+01,1.5195e+01
2s22p3,2P°,2s22p3,2P°,7.0922e+09,3.8426e+09,3.2496e+09
