Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d7,"(9/2,0)°",5d86s,4F,2.8559e-08,1.2222e-08,1.6337e-08
5d7,"(9/2,0)°",5d86s,2F,2.1277e-07,9.1059e-08,1.2171e-07
5d7,"(9/2,1)°",5d86s,4F,1.2500e-07,1.6052e-07,-3.5519e-08
5d7,"(9/2,1)°",5d86s,4P,1.2500e-07,1.6052e-07,-3.5519e-08
5d7,"(9/2,1)°",5d76s2,4F,2.7450e-07,3.5250e-07,-7.7999e-08
5d7,"(9/2,1)°",5d86s,2G,2.9630e-07,3.8049e-07,-8.4193e-08
5d7,71948°,5d9,2D,5.5487e-08,2.0348e-08,3.5139e-08
5d7,71948°,5d86s,2F,7.2777e-08,2.6689e-08,4.6088e-08
5d7,71948°,5d86s,4P,1.0476e-07,3.8418e-08,6.6342e-08
5d7,71948°,5d76s2,4F,3.8095e-07,1.3970e-07,2.4125e-07
5d7,84226°,5d86s,2D,1.1111e-07,1.1111e-07,0.0000e+00
5d7,86544°,5d76s2,4F,4.0000e-08,4.0000e-08,0.0000e+00
5d76s6p,108385°,5d76s2,2G,1.0753e-09,1.0753e-09,0.0000e+00
5d76s6p,85701°,5d86s,2D,2.0408e-08,2.0408e-08,-6.6582e-14
5d76s6p,85701°,5d86s,2G,5.5556e-08,5.5556e-08,-1.8125e-13
5d76s6p,85701°,5d86s,4F,7.6923e-08,7.6923e-08,-2.5097e-13
5d76s6p,86786°,5d86s,4F,3.2258e-09,3.2258e-09,-8.2718e-25
5d76s6p,97792°,5d9,2D,3.8462e-09,3.8462e-09,0.0000e+00
5d86p,"(0,1/2)°",5d86s,4F,1.4493e-08,7.2437e-09,7.2493e-09
5d86p,"(0,1/2)°",5d86s,4P,7.7110e-08,3.8540e-08,3.8570e-08
5d86p,"(1,1/2)°",5d9,2D,5.5866e-09,3.8854e-09,1.7012e-09
5d86p,"(1,1/2)°",5d86s,4P,2.1956e-08,1.5270e-08,6.6861e-09
5d86p,"(1,1/2)°",5d86s,4F,7.1429e-08,4.9677e-08,2.1752e-08
5d86p,"(1,3/2)°",5d86s,2F,9.1743e-09,3.5606e-09,5.6137e-09
5d86p,"(1,3/2)°",5d86s,4P,4.4120e-08,1.7123e-08,2.6997e-08
5d86p,"(1,3/2)°",5d86s,4F,1.0529e-07,4.0864e-08,6.4426e-08
5d86p,"(1,3/2)°",5d86s,2G,2.5641e-07,9.9515e-08,1.5690e-07
5d86p,"(1,3/2)°",5d76s2,4F,4.5714e-07,1.7742e-07,2.7972e-07
5d86p,"(2,1/2)°",5d86s,2F,3.3333e-08,1.4156e-08,1.9177e-08
5d86p,"(2,1/2)°",5d9,2D,3.4353e-08,1.4589e-08,1.9764e-08
5d86p,"(2,1/2)°",5d86s,4P,5.0913e-08,2.1621e-08,2.9292e-08
5d86p,"(2,1/2)°",5d86s,4F,1.5390e-07,6.5357e-08,8.8543e-08
5d86p,"(2,1/2)°",5d86s,2P,1.7241e-07,7.3218e-08,9.9192e-08
5d86p,"(2,3/2)°",5d9,2D,3.9759e-08,1.6568e-08,2.3191e-08
5d86p,"(2,3/2)°",5d86s,2F,5.2564e-08,2.1904e-08,3.0660e-08
5d86p,"(2,3/2)°",5d86s,4F,5.4822e-08,2.2845e-08,3.1977e-08
5d86p,"(2,3/2)°",5d86s,4P,6.7010e-08,2.7924e-08,3.9086e-08
5d86p,"(2,3/2)°",5d86s,2P,1.9071e-07,7.9470e-08,1.1124e-07
5d86p,"(3,1/2)°",5d9,2D,2.0688e-08,7.6483e-09,1.3040e-08
5d86p,"(3,1/2)°",5d86s,4P,2.7109e-08,1.0022e-08,1.7087e-08
5d86p,"(3,1/2)°",5d86s,4F,5.4756e-08,2.0243e-08,3.4513e-08
5d86p,"(3,1/2)°",5d86s,2F,9.3509e-08,3.4570e-08,5.8939e-08
5d86p,"(3,1/2)°",5d86s,2G,4.0000e-07,1.4788e-07,2.5212e-07
5d86p,"(3,3/2)°",5d86s,2P,3.3898e-08,9.4516e-09,2.4446e-08
5d86p,"(3,3/2)°",5d9,2D,4.2798e-08,1.1933e-08,3.0865e-08
5d86p,"(3,3/2)°",5d86s,2F,5.4205e-08,1.5114e-08,3.9091e-08
5d86p,"(3,3/2)°",5d86s,4P,5.8529e-08,1.6319e-08,4.2210e-08
5d86p,"(3,3/2)°",5d86s,4F,6.4823e-08,1.8074e-08,4.6749e-08
5d86p,"(4,1/2)°",5d86s,4F,2.0052e-07,1.0412e-08,1.9011e-07
5d86p,"(4,1/2)°",5d86s,2F,2.0254e-07,1.0517e-08,1.9202e-07
5d86p,"(4,1/2)°",5d86s,4P,3.4483e-07,1.7905e-08,3.2692e-07
5d86p,"(4,1/2)°",5d86s,2G,1.0667e-05,5.5389e-07,1.0113e-05
5d86p,"(4,3/2)°",5d9,2D,2.9944e-08,6.3437e-09,2.3600e-08
5d86p,"(4,3/2)°",5d86s,4F,4.5634e-08,9.6676e-09,3.5966e-08
5d86p,"(4,3/2)°",5d86s,2F,9.9757e-08,2.1134e-08,7.8623e-08
5d86p,"(4,3/2)°",5d86s,4P,1.2724e-07,2.6956e-08,1.0028e-07
5d86p,"(4,3/2)°",5d76s2,4F,7.1678e-07,1.5185e-07,5.6493e-07
5d86s,2F,5d86s,4F,4.7393e-02,4.7393e-02,0.0000e+00
5d86s,4F,5d86s,4F,3.9991e-01,3.9991e-01,0.0000e+00
5d9,2D,5d9,2D,1.1429e-01,1.1429e-01,0.0000e+00
