Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4p54d,1P°,4p6,1S,2.0833e-11,2.0833e-11,0.0000e+00
4p54d,3D°,4p6,1S,4.3478e-09,4.3478e-09,0.0000e+00
4p54d,3P°,4p6,1S,7.6923e-09,7.6923e-09,0.0000e+00
4p55p,2[1/2],4p55s,2[3/2]°,3.5415e-08,1.8630e-08,1.6785e-08
4p55p,2[1/2],4p54d,3P°,3.8375e-08,2.0187e-08,1.8188e-08
4p55p,2[1/2],4p55s,2[1/2]°,4.6068e-08,2.4234e-08,2.1834e-08
4p55p,2[3/2],4p54d,3F°,3.8462e-08,2.2825e-08,1.5637e-08
4p55p,2[3/2],4p55s,2[1/2]°,4.3563e-08,2.5852e-08,1.7711e-08
4p55p,2[3/2],4p55s,2[3/2]°,8.6243e-08,5.1181e-08,3.5062e-08
4p55p,2[3/2],4p54d,3P°,1.0988e-07,6.5208e-08,4.4672e-08
4p55p,2[5/2],4p55s,2[3/2]°,2.9125e-08,2.0152e-08,8.9728e-09
4p55p,2[5/2],4p54d,3P°,3.2143e-08,2.2240e-08,9.9026e-09
4p55p,2[5/2],4p55s,2[1/2]°,4.5455e-08,3.1451e-08,1.4004e-08
4p55s,2[1/2]°,4p6,1S,5.8824e-10,5.8824e-10,0.0000e+00
4p55s,2[3/2]°,4p6,1S,1.1628e-09,1.1628e-09,0.0000e+00
4p56s,2[3/2]°,4p55p,2[5/2],1.8519e-09,1.2718e-09,5.8011e-10
4p56s,2[3/2]°,4p55p,2[3/2],8.4308e-09,5.7898e-09,2.6410e-09
4p56s,2[3/2]°,4p55p,2[1/2],1.0328e-08,7.0927e-09,3.2353e-09
