Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p23d,2D,3s23p3,2P°,1.4253e-09,3.3914e-10,1.0862e-09
3s23p23d,2D,3s23p3,2D°,3.2242e-09,7.6718e-10,2.4570e-09
3s23p23d,2D,3s23p24p,2F°,4.3632e-05,1.0382e-05,3.3250e-05
3s23p23d,2D,3s23p24p,2D°,7.0866e-05,1.6862e-05,5.4004e-05
3s23p23d,2D,3s23p24p,4P°,1.9553e-03,4.6525e-04,1.4900e-03
3s23p23d,2F,3s23p3,2D°,5.8583e-08,1.4295e-08,4.4288e-08
3s23p23d,2F,3s23p24p,2D°,2.7507e-06,6.7121e-07,2.0795e-06
3s23p23d,2F,3s23p24p,4P°,6.5175e-05,1.5904e-05,4.9271e-05
3s23p23d,2F,3s23p24p,4S°,3.1949e-04,7.7960e-05,2.4153e-04
3s23p23d,2F,3s23p24p,4D°,6.1478e-03,1.5001e-03,4.6477e-03
3s23p23d,2G,3s3p4,2D,5.8834e-01,5.8768e-01,6.6337e-04
3s23p23d,2G,3s23p23d,4F,3.1808e+01,3.1772e+01,3.5865e-02
3s23p23d,2G,3s23p24s,2D,4.4248e+01,4.4198e+01,4.9891e-02
3s23p23d,2G,3s3p4,4P,1.1779e+02,1.1766e+02,1.3281e-01
3s23p23d,2G,3s23p23d,2F,1.9504e+02,1.9482e+02,2.1991e-01
3s23p23d,2P,3s23p3,2D°,9.4799e-08,1.8268e-08,7.6531e-08
3s23p23d,2P,3s23p3,2P°,1.4057e-07,2.7089e-08,1.1348e-07
3s23p23d,2P,3s23p24p,2S°,4.8446e-07,9.3358e-08,3.9110e-07
3s23p23d,2P,3s23p24p,2D°,2.2720e-05,4.3783e-06,1.8342e-05
3s23p23d,2P,3s23p24p,4P°,8.8217e-04,1.7000e-04,7.1217e-04
3s23p23d,4D,3s3p4,4P,7.8037e-01,3.0259e-01,4.7778e-01
3s23p23d,4F,3s3p4,4P,2.9797e+00,1.9271e+00,1.0526e+00
3s23p23d,4P,3s23p3,4S°,1.0483e-10,1.0483e-10,-1.4681e-17
3s23p23d,4P,3s23p24p,2S°,1.3030e-03,1.3030e-03,-1.8248e-10
3s23p23d,4P,3s23p24p,4P°,1.8570e-03,1.8570e-03,-2.6006e-10
3s23p23d,4P,3s23p24p,4D°,3.3402e-02,3.3402e-02,-4.6777e-09
3s23p24d,2D,3s23p24p,2P°,5.0743e-08,5.0171e-05,-5.0121e-05
3s23p24d,2D,3s23p24p,2D°,8.4703e-08,8.3749e-05,-8.3664e-05
3s23p24d,2D,3s23p25p,2D°,4.3269e-04,4.2782e-01,-4.2738e-01
3s23p24d,2F,3s23p24p,2D°,3.7950e-08,6.0933e-09,3.1857e-08
3s23p24d,2F,3s23p24p,2F°,1.7588e-07,2.8240e-08,1.4764e-07
3s23p24d,2F,3s23p25p,2D°,1.4334e-06,2.3015e-07,1.2032e-06
3s23p24d,2G,3s23p24p,2D°,6.6667e-09,4.3109e-09,2.3558e-09
3s23p24d,2G,3s23p24p,2F°,2.5499e-08,1.6488e-08,9.0106e-09
3s23p24d,2P,3s23p24p,2P°,2.7495e-08,1.6882e-08,1.0613e-08
3s23p24d,2P,3s23p24p,2D°,2.1389e-07,1.3133e-07,8.2561e-08
3s23p24d,4D,3s23p24p,4P°,2.8119e-08,6.6169e-09,2.1502e-08
3s23p24d,4D,3s23p24p,4D°,5.4593e-08,1.2847e-08,4.1746e-08
3s23p24d,4F,3s23p24p,4D°,8.3455e-08,4.2437e-09,7.9211e-08
3s23p24d,4P,3s23p24p,4S°,8.3333e-09,5.8087e-09,2.5246e-09
3s23p24d,4P,3s23p24p,4P°,3.8248e-08,2.6660e-08,1.1588e-08
3s23p24p,2D°,3s23p24s,2P,9.8288e-08,9.4618e-09,8.8826e-08
3s23p24p,2D°,3s23p24s,2D,2.6765e-06,2.5766e-07,2.4188e-06
3s23p24p,2D°,3s3p4,2D,7.6607e-06,7.3747e-07,6.9232e-06
3s23p24p,2D°,3s23p24s,4P,1.2714e-05,1.2239e-06,1.1490e-05
3s23p24p,2D°,3s23p23d,2F,1.9972e-05,1.9226e-06,1.8049e-05
3s23p24p,2F°,3s23p24s,2D,1.3252e-07,1.2168e-08,1.2035e-07
3s23p24p,2F°,3s3p4,2D,5.9857e-07,5.4961e-08,5.4361e-07
3s23p24p,2F°,3s23p23d,2G,8.1160e-07,7.4521e-08,7.3708e-07
3s23p24p,2F°,3s23p23d,4D,1.2832e-04,1.1782e-05,1.1654e-04
3s23p24p,2F°,3s23p3,2D°,5.6973e-04,5.2313e-05,5.1742e-04
3s23p24p,2P°,3s23p24s,2P,9.0604e-08,1.1610e-08,7.8994e-08
3s23p24p,2P°,3s3p4,2D,6.5853e-07,8.4388e-08,5.7414e-07
3s23p24p,2P°,3s23p24s,2D,8.0633e-07,1.0333e-07,7.0300e-07
3s23p24p,2P°,3s23p23d,2D,1.6298e-06,2.0885e-07,1.4209e-06
3s23p24p,2P°,3s23p24s,2S,2.6746e-06,3.4274e-07,2.3319e-06
3s23p24p,2S°,3s23p23d,2P,5.7483e-08,2.5522e-08,3.1961e-08
3s23p24p,2S°,3s23p24s,2P,7.9990e-08,3.5515e-08,4.4475e-08
3s23p24p,2S°,3s23p24s,4P,5.5625e-06,2.4697e-06,3.0928e-06
3s23p24p,2S°,3s23p3,2D°,1.4917e-04,6.6230e-05,8.2940e-05
3s23p24p,4D°,3s23p24s,4P,8.2614e-08,9.5910e-09,7.3023e-08
