Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p63d2,1G,3p63d2,3F,1.5316e+03,3.1746e+02,1.2141e+03
3p63d2,1G,3p63d4s,3D,1.0031e+04,2.0792e+03,7.9518e+03
3p63d2,3F,3p63d4s,3D,7.3971e+02,1.5395e+02,5.8576e+02
3p63d2,3F,3p63d2,3F,5.7453e+04,1.1957e+04,4.5496e+04
3p63d2,3P,3p63d4s,3D,5.2371e+00,1.1059e+00,4.1312e+00
3p63d2,3P,3p63d2,3F,1.4101e+02,2.9777e+01,1.1123e+02
3p63d2,3P,3p63d2,3P,1.6014e+06,3.3816e+05,1.2632e+06
3p63d4d,1D,3p63d4p,1D°,4.5455e-09,4.5455e-09,-1.3369e-14
3p63d4d,1D,3p63d4p,1P°,8.3333e-09,8.3333e-09,-2.4510e-14
3p63d4d,1F,3p63d4p,1D°,3.4483e-09,3.4483e-09,2.1397e-14
3p63d4d,1F,3p63d4p,1F°,1.0000e-08,9.9999e-09,6.2051e-14
3p63d4d,1G,3p63d4p,1F°,2.8571e-09,2.8571e-09,4.1359e-25
3p63d4d,1P,3p63d4p,1P°,4.0000e-09,4.0000e-09,-3.3222e-14
3p63d4d,1P,3p63d4p,1D°,9.0909e-09,9.0910e-09,-7.5505e-14
3p63d4d,1S,3p63d4p,1P°,2.5641e-09,2.5641e-09,0.0000e+00
3p63d4d,3D,3p63d4p,3D°,5.1935e-09,5.1387e-09,5.4765e-11
3p63d4d,3D,3p63d4p,3P°,1.1529e-08,1.1407e-08,1.2157e-10
3p63d4d,3F,3p63d4p,3D°,3.9731e-09,3.9673e-09,5.7752e-12
3p63d4d,3F,3p63d4p,3F°,7.6923e-09,7.6811e-09,1.1181e-11
3p63d4d,3G,3p63d4p,3F°,1.6220e-08,2.4702e-09,1.3750e-08
3p63d4d,3P,3p63d4p,3P°,9.0909e-09,1.8610e-08,-9.5192e-09
3p63d4d,3P,3p63d4p,3D°,1.2346e-08,2.5274e-08,-1.2928e-08
3p63d4d,3S,3p63d4p,3P°,7.1770e-09,3.3333e-09,3.8437e-09
3p63d4p,1D°,3p63d4s,1D,7.7519e-09,7.6696e-09,8.2299e-11
3p63d4p,1D°,3p63d2,1D,6.6667e-07,6.5959e-07,7.0778e-09
3p63d4p,1D°,3p63d4s,3D,8.6404e-07,8.5487e-07,9.1732e-09
3p63d4p,1F°,3p63d4s,1D,6.6225e-09,6.6226e-09,-6.9352e-14
3p63d4p,1F°,3p63d2,1G,3.0303e-08,3.0303e-08,-3.1734e-13
3p63d4p,1F°,3p63d2,1D,8.6207e-08,8.6208e-08,-9.0277e-13
3p63d4p,1F°,3p63d4s,3D,6.6667e-06,6.6668e-06,-6.9815e-11
3p63d4p,1P°,3p63d4s,1D,1.6393e-08,1.5985e-08,4.0762e-10
3p63d4p,1P°,3p63d2,1D,2.8571e-08,2.7861e-08,7.1043e-10
3p63d4p,1P°,3p64s2,1S,7.1942e-08,7.0153e-08,1.7889e-09
3p63d4p,1P°,3p63d4s,3D,4.4466e-07,4.3360e-07,1.1057e-08
3p63d4p,1P°,3p63d2,3P,1.8537e-06,1.8076e-06,4.6093e-08
3p63d4p,3D°,3p63d4s,3D,2.0420e-08,5.3005e-09,1.5119e-08
3p63d4p,3D°,3p63d2,3F,1.6532e-07,4.2913e-08,1.2241e-07
3p63d4p,3D°,3p63d2,1D,1.3158e-05,3.4155e-06,9.7425e-06
3p63d4p,3F°,3p63d4s,3D,1.1979e-07,7.0650e-09,1.1273e-07
3p63d4p,3F°,3p63d2,3F,1.0293e-06,6.0706e-08,9.6859e-07
3p63d4p,3F°,3p63d4s,1D,3.4028e-06,2.0069e-07,3.2021e-06
3p63d4p,3P°,3p63d4s,3D,1.2190e-07,1.2887e-08,1.0901e-07
3p63d4p,3P°,3p63d2,3P,1.9903e-07,2.1041e-08,1.7799e-07
3p63d4p,3P°,3p63d2,1D,1.3158e-06,1.3911e-07,1.1767e-06
3p63d5s,1D,3p63d4p,1F°,9.0909e-09,9.0910e-09,-5.0071e-14
3p63d5s,1D,3p63d4p,1D°,1.2658e-08,1.2658e-08,-6.9718e-14
3p63d5s,1D,3p63d4p,1P°,2.1277e-08,2.1277e-08,-1.1719e-13
3p63d5s,3D,3p63d4p,3F°,9.1414e-09,9.7292e-09,-5.8777e-10
3p63d5s,3D,3p63d4p,3D°,1.5755e-08,1.6768e-08,-1.0130e-09
3p63d5s,3D,3p63d4p,3P°,2.5575e-08,2.7219e-08,-1.6444e-09
3p64p2,3P,3p63d4p,3D°,4.7727e-09,6.6086e-09,-1.8359e-09
3p64p2,3P,3p64s4p,3P°,6.6667e-09,9.2312e-09,-2.5645e-09
3p64s4p,1P°,3p64s2,1S,1.2987e-09,1.2987e-09,5.7542e-15
3p64s4p,1P°,3p63d4s,1D,2.0000e-09,2.0000e-09,8.8615e-15
3p64s4p,1P°,3p63d2,1D,1.2821e-08,1.2821e-08,5.6807e-14
3p64s4p,1P°,3p63d2,1S,1.2821e-07,1.2821e-07,5.6807e-13
3p64s4p,3P°,3p63d4s,3D,7.2885e-08,3.7337e-09,6.9151e-08
