Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p3,4S°,3s3p2,4P,1.4851e-09,3.9479e-10,1.0903e-09
3s23d,2D,3s23p,2P°,9.4407e-10,3.2879e-10,6.1528e-10
3s23d,2D,3s24s,2S,1.6155e-01,5.6263e-02,1.0529e-01
3s23d,2D,3s3p2,4P,7.7524e-01,2.6999e-01,5.0525e-01
3s23d,2D,3s23d,2D,2.5063e+05,8.7287e+04,1.6334e+05
3s23p,2P°,3s23p,2P°,4.7619e+03,4.7619e+03,0.0000e+00
3s24d,2D,3s23p,2P°,3.7832e-09,1.3349e-09,2.4483e-09
3s24d,2D,3s24p,2P°,2.2934e-08,8.0924e-09,1.4842e-08
3s24f,2F°,3s23d,2D,3.5305e-08,6.0904e-09,2.9215e-08
3s24f,2F°,3s3p2,2D,5.5825e-08,9.6302e-09,4.6195e-08
3s24f,2F°,3s24d,2D,6.7738e-06,1.1685e-06,5.6053e-06
3s24f,2F°,3s3p2,2P,7.6923e-05,1.3270e-05,6.3653e-05
3s24f,2F°,3s3p2,4P,1.7347e-04,2.9925e-05,1.4355e-04
3s24p,2P°,3s24s,2S,1.5915e-08,1.1136e-08,4.7787e-09
3s24p,2P°,3s3p2,2D,8.1332e-08,5.6911e-08,2.4421e-08
3s24p,2P°,3s23d,2D,3.8268e-05,2.6777e-05,1.1491e-05
3s24p,2P°,3s3p2,2S,7.1443e-05,4.9991e-05,2.1452e-05
3s24p,2P°,3s3p2,4P,1.1074e-02,7.7489e-03,3.3251e-03
3s24s,2S,3s23p,2P°,1.9772e-09,8.8261e-10,1.0946e-09
3s25d,2D,3s23p,2P°,2.0858e-08,1.2488e-08,8.3697e-09
3s25d,2D,3s24p,2P°,5.1585e-08,3.0885e-08,2.0700e-08
3s25d,2D,3s25p,2P°,7.9869e-08,4.7820e-08,3.2049e-08
3s25d,2D,3s24f,2F°,2.5941e-06,1.5532e-06,1.0409e-06
3s25f,2F°,3s24d,2D,1.4260e-07,2.5031e-08,1.1757e-07
3s25f,2F°,3s23d,2D,1.4873e-07,2.6107e-08,1.2262e-07
3s25f,2F°,3s25d,2D,1.1860e-05,2.0818e-06,9.7782e-06
3s25g,2G,3s24f,2F°,2.1505e-07,5.7073e-05,-5.6858e-05
3s25g,2G,3s25f,2F°,6.8975e-04,1.8305e-01,-1.8237e-01
3s25p,2P°,3s25s,2S,7.6928e-08,5.7604e-08,1.9324e-08
3s25p,2P°,3s24s,2S,7.5188e-07,5.6301e-07,1.8887e-07
3s25p,2P°,3s23d,2D,1.8333e-06,1.3728e-06,4.6051e-07
3s25p,2P°,3s24d,2D,1.8478e-06,1.3836e-06,4.6415e-07
3s25s,2S,3s23p,2P°,8.4365e-09,3.7504e-09,4.6861e-09
3s25s,2S,3s24p,2P°,1.3353e-08,5.9360e-09,7.4170e-09
3s3p2,2D,3s23p,2P°,1.2890e-06,3.6332e-07,9.2568e-07
3s3p2,2D,3s3p2,4P,3.6652e+02,1.0331e+02,2.6321e+02
3s3p2,2D,3s3p2,2D,1.2547e+07,3.5365e+06,9.0105e+06
3s3p2,2P,3s23p,2P°,7.2682e-10,2.4411e-10,4.8271e-10
3s3p2,2P,3s24p,2P°,8.4863e-02,2.8502e-02,5.6361e-02
3s3p2,2P,3s3p2,2S,1.2973e+02,4.3571e+01,8.6159e+01
3s3p2,2P,3s3p2,4P,1.3750e+02,4.6181e+01,9.1319e+01
3s3p2,2P,3s3p2,2D,1.4626e+02,4.9123e+01,9.7137e+01
3s3p2,2S,3s23p,2P°,2.1762e-09,1.0132e-09,1.1630e-09
3s3p2,2S,3s3p2,4P,2.2735e+01,1.0585e+01,1.2150e+01
3s3p2,4P,3s23p,2P°,8.8241e-03,4.1923e-04,8.4049e-03
3s3p2,4P,3s3p2,4P,8.7491e+08,4.1567e+07,8.3334e+08
3s3p3d,2P°,3s3p2,2D,1.0458e-08,3.2165e-09,7.2415e-09
3s3p3d,2P°,3s3p2,2S,2.9855e-08,9.1824e-09,2.0673e-08
3s3p3d,4D°,3s3p2,4P,1.4250e-09,3.3706e-10,1.0879e-09
3s3p3d,4P°,3s3p2,4P,1.7849e-09,5.7173e-10,1.2132e-09
3s3p4p,4D,3s3p4s,4P°,9.4092e-08,1.0765e-08,8.3327e-08
3s3p4p,4D,3s3p3d,4F°,7.9532e-07,9.0991e-08,7.0433e-07
3s3p4p,4D,3s3p3d,4D°,3.0964e-06,3.5425e-07,2.7421e-06
3s3p4p,4D,3s3p3d,4P°,1.2233e-05,1.3996e-06,1.0833e-05
3s3p4s,2P°,3s3p2,2D,1.2776e-08,4.1509e-09,8.6251e-09
3s3p4s,2P°,3s3p2,2S,4.1239e-08,1.3398e-08,2.7841e-08
3s3p4s,2P°,3s3p2,2P,5.8068e-08,1.8866e-08,3.9202e-08
3s3p4s,2P°,3s24s,2S,1.1574e-07,3.7603e-08,7.8137e-08
3s3p4s,2P°,3s27s,2S,2.9179e-07,9.4801e-08,1.9699e-07
3s3p4s,4P°,3s3p2,4P,3.5357e-09,1.2417e-09,2.2940e-09
