Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5p3,4S°,5s5p2,4P,7.7171e-10,2.2222e-10,5.4949e-10
5s24f,2F°,5s5p2,2D,3.1340e-08,5.4344e-09,2.5906e-08
5s24f,2F°,5s25d,2D,7.3962e-08,1.2825e-08,6.1137e-08
5s24f,2F°,5s5p2,4P,3.2582e-06,5.6498e-07,2.6932e-06
5s25d,2D,5s25p,2P°,2.4300e-09,4.8276e-10,1.9472e-09
5s25f,2F°,5s26d,2D,2.0008e-08,1.2039e-08,7.9688e-09
5s25f,2F°,5s5p2,2D,4.3444e-08,2.6141e-08,1.7303e-08
5s25f,2F°,5s25d,2D,3.1302e-07,1.8835e-07,1.2467e-07
5s25g,2G,5s24f,2F°,1.4892e-07,1.4771e-08,1.3415e-07
5s25p,2P°,5s25p,2P°,1.4409e+00,1.4409e+00,0.0000e+00
5s26d,2D,5s25p,2P°,3.9194e-09,1.6919e-09,2.2275e-09
5s26d,2D,5s26p,2P°,2.3769e-08,1.0260e-08,1.3509e-08
5s26f,2F°,5s26d,2D,6.2500e-08,6.2500e-08,0.0000e+00
5s26g,2G,5s24f,2F°,3.5850e-07,3.7037e-08,3.2146e-07
5s26p,2P°,5s26s,2S,1.5476e-08,1.2744e-08,2.7315e-09
5s26p,2P°,5s5p2,2D,1.8149e-07,1.4946e-07,3.2033e-08
5s26p,2P°,5s5p2,4P,7.9241e-06,6.5255e-06,1.3986e-06
5s26s,2S,5s25p,2P°,2.5376e-09,1.1574e-09,1.3802e-09
5s27d,2D,5s25p,2P°,7.8571e-09,3.0910e-09,4.7661e-09
5s27d,2D,5s26p,2P°,5.4235e-08,2.1336e-08,3.2899e-08
5s27g,2G,5s24f,2F°,7.1612e-07,7.2751e-08,6.4337e-07
5s27p,2P°,5s5p2,2D,4.5806e-07,1.5391e-07,3.0415e-07
5s27p,2P°,5s26s,2S,9.0090e-07,3.0271e-07,5.9819e-07
5s27p,2P°,5s25d,2D,9.6088e-07,3.2287e-07,6.3801e-07
5s27p,2P°,5s5p2,4P,2.9412e-06,9.8828e-07,1.9529e-06
5s27s,2S,5s25p,2P°,6.4430e-09,2.4196e-09,4.0234e-09
5s27s,2S,5s26p,2P°,2.0033e-08,7.5232e-09,1.2510e-08
5s5p2,2D,5s25p,2P°,3.1508e-08,1.7446e-08,1.4062e-08
5s5p2,2P,5s25p,2P°,1.3943e-09,3.7412e-10,1.0202e-09
5s5p2,2S,5s25p,2P°,7.1662e-08,4.6577e-10,7.1196e-08
5s5p2,4P,5s25p,2P°,1.7719e-06,1.7338e-06,3.8100e-08
5s5p5d,2D°,5s5p2,2D,2.2263e-09,6.3197e-09,-4.0934e-09
5s5p5d,2D°,5s5p2,4P,1.6129e-08,4.5785e-08,-2.9656e-08
5s5p5d,4D°,5s5p2,4P,4.3478e-10,4.3478e-10,-1.0340e-25
5s5p5d,4F°,5s5p2,4P,1.2048e-08,1.2048e-08,0.0000e+00
5s5p5d,4P°,5s5p2,4P,8.5958e-10,4.8200e-10,3.7758e-10
5s5p6s,4P°,5s5p2,4P,3.7237e-09,1.0734e-09,2.6503e-09
