Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4p64d,2D,4p65s,2S,4.1287e-01,4.1287e-01,0.0000e+00
4p64f,2F°,4p64d,2D,2.2571e-08,3.9541e-09,1.8617e-08
4p65d,2D,4p65p,2P°,1.1417e-08,1.1417e-08,-3.3087e-24
4p65p,2P°,4p65s,2S,7.4554e-09,7.1373e-09,3.1814e-10
4p65p,2P°,4p64d,2D,4.1633e-07,3.9856e-07,1.7766e-08
4p66d,2D,4p65p,2P°,2.9901e-08,1.2130e-08,1.7771e-08
4p66d,2D,4p66p,2P°,5.9091e-08,2.3971e-08,3.5120e-08
4p66p,2P°,4p65s,2S,1.8023e-05,1.8023e-05,0.0000e+00
4p66s,2S,4p65p,2P°,1.1264e-08,4.8780e-09,6.3860e-09
4p67d,2D,4p66p,2P°,1.2279e-07,4.4754e-08,7.8036e-08
4p67s,2S,4p65p,2P°,3.1250e-08,1.3889e-08,1.7361e-08
