Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d2,1D°,3d34s,a 1P,1.0000e-08,9.8638e-09,1.3619e-10
3d2,1D°,3d34s,b 1D,1.1111e-08,1.0960e-08,1.5132e-10
3d2,1D°,3d4,a 1D2,3.1250e-08,3.0824e-08,4.2559e-10
3d2,1D°,3d34s,b 1F,1.1111e-07,1.0960e-07,1.5132e-09
3d2,1D°,3d34s,b 3D,1.2500e-07,1.2330e-07,1.7024e-09
3d2,1F°,3d34s,b 1G,9.0909e-09,8.5198e-09,5.7115e-10
3d2,1F°,3d34s,b 1F,1.0870e-08,1.0187e-08,6.8292e-10
3d2,1F°,3d34s,b 1D,3.0303e-08,2.8399e-08,1.9038e-09
3d2,1F°,3d4,a 1G2,4.3478e-08,4.0746e-08,2.7316e-09
3d2,1F°,3d4,a 1D2,5.5556e-08,5.2066e-08,3.4904e-09
3d2,5G°,3d34s,a 5F,7.2606e-08,4.0491e-08,3.2115e-08
3d2,5G°,3d34s,b 3G,2.7027e-07,1.5072e-07,1.1955e-07
3d2,5G°,3d4,a 3G,3.0162e-07,1.6821e-07,1.3341e-07
3d2,5G°,3d4,d 3F1,4.1667e-07,2.3237e-07,1.8430e-07
3d2,q 3D°,3d34s,a 3F,4.3478e-09,3.0045e-09,1.3433e-09
3d2,q 3D°,3d4,d 3F1,8.3916e-09,5.7989e-09,2.5927e-09
3d2,q 3D°,3d34s,c 3P,1.1250e-08,7.7742e-09,3.4758e-09
3d2,q 3D°,3d24s2,e 3F,1.1300e-08,7.8087e-09,3.4913e-09
3d2,q 3D°,3d34s,c 3D,5.5556e-08,3.8391e-08,1.7165e-08
3d2,r 3D°,3d34s,c 3F,2.3218e-08,1.0987e-08,1.2231e-08
3d2,r 3D°,3d34s,c 3D,2.6316e-08,1.2453e-08,1.3863e-08
3d2,r 3D°,3d34s,c 3P,7.0707e-08,3.3459e-08,3.7248e-08
3d2,r 3D°,3d24s2,e 3F,7.4176e-08,3.5101e-08,3.9075e-08
3d2,r 3D°,3d4,d 3F1,1.2450e-07,5.8914e-08,6.5586e-08
3d2,r 3F°,3d34s,c 3F,1.1111e-08,7.6204e-09,3.4906e-09
3d2,r 3F°,3d34s,c 3D,2.8842e-08,1.9781e-08,9.0608e-09
3d2,r 3F°,3d34s,b 3G,2.9857e-08,2.0477e-08,9.3797e-09
3d2,r 3F°,3d4,a 3G,7.6923e-08,5.2757e-08,2.4166e-08
3d2,r 3F°,3d4,d 3F1,9.8006e-08,6.7217e-08,3.0789e-08
3d2,s 3D°,3d34s,b 3D,2.3317e-08,1.3281e-08,1.0036e-08
3d2,s 3D°,3d34s,b 3P,7.2917e-08,4.1532e-08,3.1385e-08
3d2,s 3D°,3d4,a 3D,8.3333e-08,4.7465e-08,3.5868e-08
3d2,s 3D°,3d34s,c 3D,1.0000e-07,5.6958e-08,4.3042e-08
3d2,s 3F°,3d34s,b 3G,1.2500e-08,2.7645e-09,9.7355e-09
3d2,s 3F°,3d34s,a 3F,2.3389e-08,5.1726e-09,1.8216e-08
3d2,s 3F°,3d24s2,e 3F,3.1131e-08,6.8848e-09,2.4246e-08
3d2,s 3F°,3d34s,c 3F,5.5945e-08,1.2373e-08,4.3572e-08
