Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5p46d,2[4],5p46p,2[3]°,7.1429e-09,7.1429e-09,-1.6544e-24
5p46p,2[0]°,5p46s,2[1],1.3514e-08,1.3514e-08,0.0000e+00
5p46p,2[1]°,5p46s,2[2],1.3140e-08,1.3140e-08,-3.3087e-24
5p46p,2[2]°,5p46s,2[2],1.7179e-08,7.0870e-08,-5.3691e-08
5p46p,2[2]°,5p45d,2[1],4.5455e-08,1.8752e-07,-1.4207e-07
5p46p,2[2]°,5p45d,2[3],1.1138e-07,4.5949e-07,-3.4811e-07
5p46p,2[2]°,5p45d,2[2],1.4986e-07,6.1823e-07,-4.6837e-07
5p46p,2[3]°,5p46s,2[2],2.4162e-08,4.6188e-08,-2.2026e-08
5p46p,2[3]°,5p45d,2[4],3.7037e-08,7.0800e-08,-3.3763e-08
5p46p,2[3]°,5p45d,2[3],1.0732e-07,2.0515e-07,-9.7833e-08
5p46p,2[3]°,5p45d,2[2],1.6393e-07,3.1337e-07,-1.4944e-07
