Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d5p,y 3P°,4d5s,a 3D,5.1842e-08,6.1117e-09,4.5730e-08
4d5p,y 3P°,4d2,a 3P,1.3607e-07,1.6041e-08,1.2003e-07
4d5p,y 3P°,4d5s,a 1D,3.0714e-07,3.6209e-08,2.7093e-07
4d5p,y 3P°,4d2,b 1D,3.2258e-07,3.8029e-08,2.8455e-07
4d5p,y 3P°,5s2,a 1S,7.6923e-07,9.0685e-08,6.7855e-07
4d5p,z 1D°,4d5s,a 1D,1.0000e-08,8.2748e-09,1.7252e-09
4d5p,z 1D°,4d5s,a 3D,3.6436e-08,3.0150e-08,6.2858e-09
4d5p,z 1D°,4d2,a 3F,2.3585e-07,1.9516e-07,4.0688e-08
4d5p,z 1P°,5s2,a 1S,7.6923e-09,6.8261e-09,8.6618e-10
4d5p,z 1P°,4d5s,a 3D,4.5833e-08,4.0672e-08,5.1610e-09
4d5p,z 1P°,4d2,a 3F,7.6923e-08,6.8261e-08,8.6618e-09
4d5p,z 1P°,4d2,b 1D,1.0000e-07,8.8740e-08,1.1260e-08
4d5p,z 3D°,4d5s,a 3D,1.9030e-08,8.1051e-09,1.0925e-08
4d5p,z 3D°,5s2,a 1S,2.8653e-08,1.2204e-08,1.6449e-08
4d5p,z 3D°,4d2,a 3F,1.5452e-07,6.5812e-08,8.8708e-08
4d5p,z 3D°,4d5s,a 1D,5.7599e-07,2.4532e-07,3.3067e-07
4d5p,z 3D°,4d2,b 1D,7.6923e-07,3.2762e-07,4.4161e-07
4d5p,z 3F°,4d5s,a 3D,8.6405e-08,8.5408e-09,7.7864e-08
4d5p,z 3F°,4d5s,a 1D,2.9352e-07,2.9013e-08,2.6451e-07
4d5p,z 3F°,4d2,a 3F,8.0066e-07,7.9142e-08,7.2152e-07
5s5p,z 3P°,4d5s,a 3D,4.4995e-07,1.1471e-07,3.3524e-07
5s5p,z 3P°,5s2,a 1S,4.5662e-07,1.1641e-07,3.4021e-07
5s5p,z 3P°,4d5s,a 1D,3.5993e-06,9.1758e-07,2.6817e-06
