atom,after remove n+2,before remove n+2,after remove ?,before remove ?
He II,11,140,140,140
Li II,48,564,564,564
Be II,39,149,149,149
B II,310,435,435,435
C II,413,635,635,635
N II,728,786,786,786
O II,767,876,876,876
F II,67,67,67,67
Ne II,233,233,233,233
Na II,176,176,176,176
Mg II,106,482,482,482
Al II,255,986,986,986
Si II,226,474,474,474
P II,73,73,73,73
S II,728,753,753,753
Cl II,215,221,221,221
Ar II,307,307,307,307
K II,227,252,252,252
Ca II,46,99,99,99
Sc II,139,139,139,139
Ti II,470,470,470,470
V II,1896,1896,1896,1896
Cr II,92,92,92,92
Mn II,830,840,840,841
Fe II,6700,6700,6700,6700
Co II,2746,2746,2746,2748
Ni II,208,208,208,208
Cu II,517,553,553,554
Zn II,20,22,22,22
Ga II,10,10,10,10
Ge II,20,20,20,20
As II,0,0,0,0
Se II,0,0,0,0
Br II,0,0,0,0
Kr II,20,20,20,20
Rb II,49,49,49,49
Sr II,26,33,33,33
Y II,66,66,66,66
Zr II,0,0,0,0
Nb II,0,0,0,0
Mo II,0,0,0,0
Tc II,6,6,6,6
Ru II,8,8,8,8
Rh II,0,0,0,0
Pd II,10,10,10,10
Ag II,223,236,236,237
Cd II,77,87,87,87
In II,212,528,528,528
Sn II,97,134,134,141
Sb II,2,2,2,2
Te II,0,0,0,0
I II,0,0,0,0
Xe II,22,22,22,22
Cs II,2,2,2,2
Ba II,68,94,94,94
La II,84,84,84,84
Ce II,283,283,283,283
Pr II,58,58,58,108
Nd II,99,99,99,99
Pm II,0,0,0,0
Sm II,0,0,0,7
Eu II,13,13,13,13
Gd II,0,0,0,0
Tb II,8,8,8,8
Dy II,17,17,17,17
Ho II,4,4,4,4
Er II,0,0,0,7
Tm II,13,13,13,13
Yb II,10,10,10,10
Lu II,9,9,9,9
Hf II,2,2,2,2
Ta II,0,0,0,0
W II,112,112,112,112
Re II,0,0,0,0
Os II,0,0,0,0
Ir II,126,126,126,126
Pt II,183,183,183,183
Au II,0,0,0,0
Hg II,396,446,446,446
Tl II,3,3,3,3
Pb II,3,3,3,3
Bi II,4,4,4,4
Po II,0,0,0,0
At II,0,0,0,0
Rn II,0,0,0,0
Fr II,0,0,0,0
Ra II,9,9,9,9
Ac II,126,126,126,126
Th II,0,0,0,0
Pa II,0,0,0,0
U II,0,0,0,0
Np II,0,0,0,0
Pu II,0,0,0,0
Am II,0,0,0,0
Cm II,0,0,0,0
Bk II,0,0,0,0
Cf II,0,0,0,0
Es II,0,0,0,0
Fm II,0,0,0,0
Md II,0,0,0,0
No II,0,0,0,0
Lr II,0,0,0,0
Rf II,0,0,0,0
Db II,0,0,0,0
Sg II,0,0,0,0
Bh II,0,0,0,0
Hs II,0,0,0,0
Mt II,0,0,0,0
Ds II,0,0,0,0
Rg II,0,0,0,0
Cn II,0,0,0,0
Nh II,0,0,0,0
Fl II,0,0,0,0
Mc II,0,0,0,0
Lv II,0,0,0,0
Ts II,0,0,0,0
Og II,0,0,0,0
