Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23d,2D,1.3971e-08,3.2436e+04,9.0182e-01,1.2869e-19,2
3s23p,2P°,9.9010e+04,1.1206e+02,,,1
3s24d,2D,1.0733e-08,4.2236e+04,8.1648e+00,1.5815e-21,2
3s24f,2F°,6.2269e-08,4.1319e+04,3.2000e-05,1.1433e-20,2
3s24p,2P°,6.2670e-08,3.2958e+04,1.2533e+02,7.8007e-20,2
3s24s,2S,6.7385e-09,2.5348e+04,,,1
3s25d,2D,1.2656e-08,4.4168e+04,2.9988e+00,3.3269e-19,2
3s25f,2F°,1.1764e-07,4.3831e+04,8.0000e-06,2.4424e-20,2
3s25g,2G,2.2637e-07,4.3876e+04,0.0000e+00,1.1400e-16,2
3s25p,2P°,2.4779e-07,4.0275e+04,1.7435e+01,2.4585e-19,2
3s25s,2S,1.9380e-08,3.7689e+04,,,1
3s2nd,y 2D,2.3959e-08,3.8932e+04,1.0374e+01,1.8467e-17,2
3s3p2,4P,1.1832e+06,2.9077e+04,3.8150e+03,2.7229e+12,3
