Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23p53d,2[3/2]°,5.6026e-08,1.1411e+05,1.9831e+06,3.8082e-15,4
3s23p53d,2[5/2]°,1.0024e-07,1.1415e+05,4.6822e+05,4.0835e-15,4
3s23p54d,2[3/2]°,1.7913e-06,1.2009e+05,8.5667e+05,7.4688e-12,4
3s23p54d,2[5/2]°,1.6441e-06,1.2027e+05,5.1822e+05,7.9636e-13,3
3s23p54f,2[5/2],1.4688e-07,1.2094e+05,6.7640e+05,7.6706e-15,4
3s23p54f,2[7/2],1.3986e-07,1.2095e+05,6.5648e+05,1.5434e-15,4
3s23p54p,2[1/2],2.8688e-08,1.0684e+05,3.8390e+06,5.6273e-17,4
3s23p54p,2[3/2],2.9454e-08,1.0669e+05,3.7423e+05,3.3634e-19,4
3s23p54s,2[1/2]°,1.8797e-09,9.5400e+04,,,1
3s23p55d,2[3/2]°,4.4149e-06,1.2295e+05,6.2096e+05,3.5682e-11,4
3s23p55d,2[5/2]°,1.0987e-06,1.2292e+05,5.0150e+05,7.2831e-13,4
3s23p55p,2[1/2],1.0684e-06,1.1789e+05,9.6883e+05,1.8785e-12,4
3s23p55p,2[3/2],9.0521e-07,1.1780e+05,5.3910e+05,6.3291e-14,4
3s23p55s,2[1/2]°,3.3350e-08,1.1492e+05,6.4280e+03,4.6456e-16,2
3s23p53d,2[1/2]°,1.2253e-07,1.1174e+05,1.1289e+04,7.1617e-17,2
3s23p53d,2[7/2]°,9.0188e-08,1.1302e+05,,,1
3s23p54d,2[1/2]°,1.8023e-07,1.1858e+05,9.6880e+03,1.7083e-17,2
3s23p54d,2[7/2]°,6.2732e-07,1.1912e+05,1.7902e+04,2.0405e-14,2
3s23p54f,2[3/2],1.5202e-07,1.2019e+05,7.9601e-02,1.1926e-16,2
3s23p54f,2[9/2],1.4021e-07,1.2021e+05,8.4050e-04,3.7166e-16,2
3s23p54p,2[5/2],3.0646e-08,1.0554e+05,1.1937e+04,2.3496e-19,2
3s23p54s,2[3/2]°,7.5758e-09,9.3751e+04,,,1
3s23p55d,2[1/2]°,2.4443e-07,1.2186e+05,9.6256e+03,2.0630e-15,2
3s23p55d,2[7/2]°,5.0776e-07,1.2210e+05,7.6979e+03,2.0505e-14,2
3s23p55p,2[5/2],9.5211e-07,1.1697e+05,1.6002e+03,4.7263e-13,2
3s23p55s,2[3/2]°,2.8653e-08,1.1356e+05,1.5275e+04,6.7771e-16,2
