Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2p3,4S°,5.0000e-10,9.6881e+04,,,1
2s22p,2P°,3.1250e+07,1.5287e+01,,,1
2s23d,2D,4.6156e-09,5.4768e+04,1.0411e-02,1.8381e-24,2
2s23p,2P°,5.8130e-08,4.8613e+04,1.5883e+00,5.4865e-27,2
2s23s,2S,3.9683e-09,4.0040e+04,,,1
2s24d,2D,9.3976e-09,5.9993e+04,1.0588e-22,3.9784e-23,2
2s24f,2F°,6.2158e-08,6.0031e+04,1.4580e-05,4.2992e-21,2
2s24p,2P°,2.1402e-07,5.7787e+04,2.0142e-01,1.5232e-19,2
2s24s,2S,9.0868e-09,5.5010e+04,,,1
2s2p3d,2D°,1.3090e-07,8.9707e+04,5.4450e+00,1.0882e-18,2
2s2p3d,4P°,5.9290e-09,9.1644e+04,7.6449e+00,1.6346e-21,3
2s2p3p,2P,3.3912e-09,8.6862e+04,1.4045e+01,9.2343e-22,2
2s2p3s,4P°,4.4862e-09,7.7020e+04,9.5915e+01,1.2390e-20,3
2s2p4p,2P,4.1227e-08,9.5449e+04,8.4050e+00,3.5099e-19,2
2s2p2,2D,2.3105e-08,4.7857e+04,4.9928e-02,2.2800e-22,2
2s2p2,2P,4.8690e-10,7.2529e+04,6.7861e+01,1.1349e-25,2
2s2p2,2S,7.5415e-09,6.3561e+04,,,1
2s2p2,4P,2.7756e+00,2.8653e+04,3.0323e+01,1.0228e+01,3
