Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d6d,3D,1.0247e-07,3.6415e+04,9.1867e+04,2.9447e-15,2
5d6d,3G,1.5152e-07,3.5894e+04,,,1
5d6d,3S,4.1667e-08,3.7095e+04,,,1
5d6p,1D°,3.1476e-08,2.3074e+04,,,1
5d6p,1F°,2.2173e-08,2.6816e+04,,,1
5d6p,1P°,1.2276e-08,2.8554e+04,,,1
5d6p,3D°,1.6309e-08,2.4568e+04,1.5614e+05,8.5866e-19,3
5d6p,3F°,2.6120e-08,2.2923e+04,7.1650e+05,4.3557e-17,3
5d6p,3P°,1.0649e-08,2.5768e+04,2.7733e+04,5.9656e-18,3
5d7p,1P°,8.3333e-08,3.8500e+04,,,1
5d7p,3D°,1.0989e-06,3.6496e+04,,,1
5d7p,3P°,4.0000e-07,3.6990e+04,,,1
5d8p,3D°,2.2222e-06,4.0894e+04,,,1
5d8p,3P°,1.3889e-06,4.1097e+04,,,1
6p2,3P,5.4153e-09,3.4887e+04,1.8390e+05,6.4933e-18,3
6s4f,1F°,1.5625e-08,3.4736e+04,,,1
6s4f,3F°,1.7590e-08,3.4617e+04,1.9620e+02,6.5623e-19,3
6s6d,3D,1.2303e-08,3.0784e+04,2.2743e+03,7.7406e-20,2
6s6p,1P°,8.3778e-09,1.8060e+04,,,1
6s6p,3P°,3.3557e-06,1.2637e+04,,,1
6s7d,1D,3.4722e-08,3.5762e+04,,,1
6s7d,3D,2.5153e-08,3.5704e+04,7.1055e+03,2.6487e-16,3
6s7p,1P°,1.3021e-08,3.2547e+04,,,1
6s7p,3P°,1.4000e-07,3.0849e+04,1.5682e+04,5.4370e-16,3
6s7s,3S,2.0125e-08,2.6160e+04,,,1
6s8p,1P°,3.5714e-07,3.5892e+04,,,1
6s8s,1S,1.8116e-08,3.4371e+04,,,1
6s8s,3S,7.0423e-08,3.3905e+04,,,1
