Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
1s22p2,3P,2.3641e-09,5.9695e+04,2.8861e+00,0.0000e+00,3
1s22s2p,1P°,1.8116e-09,4.2565e+04,,,1
1s22s2p,3P°,3.0315e+03,2.1980e+04,2.7261e+00,1.8351e+07,2
1s22s3d,1D,1.2333e-08,6.4428e+04,,,1
1s22s3d,3D,5.1998e-09,6.2054e+04,4.0833e-06,1.1008e-22,3
1s22s3p,1P°,7.3046e-08,6.0187e+04,,,1
1s22s3p,3P°,8.5470e-08,5.8908e+04,4.4896e-02,3.4438e-30,3
1s22s3s,1S,2.9586e-08,5.4677e+04,,,1
1s22s3s,3S,6.5317e-09,5.2081e+04,,,1
1s22s4d,1D,2.0319e-08,6.8781e+04,,,1
1s22s4d,3D,1.1687e-08,6.7942e+04,6.3333e-04,1.0752e-22,3
1s22s4f,1F°,5.9922e-08,6.8241e+04,,,1
1s22s4f,3F°,6.2618e-08,6.8241e+04,4.5000e-06,2.4768e-21,2
1s22s4p,1P°,1.0320e-06,6.7035e+04,,,1
1s22s4p,3P°,4.5288e-07,6.6812e+04,0.0000e+00,2.5814e-19,3
1s22s4s,1S,4.7847e-08,6.5245e+04,,,1
1s22s4s,3S,1.7867e-08,6.4506e+04,,,1
