Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2s22p4f,2[5/2],6.4283e-08,8.3967e+04,2.9225e+03,4.7674e-18,4
2s22p4f,2[7/2],6.1927e-08,8.3956e+04,1.2014e+03,1.2670e-18,4
2s22p4f,2[3/2],6.7748e-08,8.4036e+04,6.4298e-03,6.1984e-19,2
2s22p4f,2[9/2],6.3487e-08,8.4016e+04,7.8745e-02,1.9494e-18,2
2s22p2,1D,3.4123e+03,1.0193e+04,,,1
2s22p2,1S,1.6602e+00,2.1648e+04,,,1
2s22p2,3P,8.1920e+06,2.9915e+01,3.6441e+02,3.9044e+13,2
2s22p3d,1D°,1.7417e-08,7.7680e+04,,,1
2s22p3d,1F°,5.1869e-09,7.8530e+04,,,1
2s22p3d,1P°,6.1575e-09,7.8731e+04,,,1
2s22p3d,3D°,4.0163e-09,7.8306e+04,1.5421e+02,3.0625e-21,3
2s22p3d,3F°,3.1856e-08,7.8222e+04,6.7401e+02,3.8418e-17,3
2s22p3d,3P°,5.1448e-09,7.9318e+04,3.9003e+01,6.9170e-21,3
2s22p3p,1D,3.4358e-08,7.2611e+04,,,1
2s22p3p,1P,1.1591e-07,6.8856e+04,,,1
2s22p3p,1S,2.8486e-08,7.3976e+04,,,1
2s22p3p,3D,5.4247e-08,6.9715e+04,7.5649e+02,9.6516e-23,3
2s22p3p,3P,3.2820e-08,7.1368e+04,2.7549e+02,3.9046e-21,3
2s22p3p,3S,4.1311e-08,7.0744e+04,,,1
2s22p3s,1P°,2.7241e-09,6.1982e+04,,,1
2s22p3s,3P°,2.8788e-09,6.0360e+04,9.2948e+02,2.1059e-23,3
2s22p4d,1D°,4.7486e-08,8.3498e+04,,,1
2s22p4d,1F°,9.1434e-09,8.3947e+04,,,1
2s22p4d,1P°,1.1542e-08,8.4032e+04,,,1
2s22p4d,3D°,8.5603e-09,8.3836e+04,2.1032e+02,1.3847e-20,3
2s22p4d,3F°,9.9644e-08,8.3769e+04,7.0095e+02,1.7425e-15,3
2s22p4d,3P°,1.3252e-08,8.4113e+04,8.7098e+01,5.7822e-19,3
2s22p4p,1D,1.1183e-07,8.1770e+04,,,1
2s22p4p,1P,2.2706e-07,8.0563e+04,,,1
2s22p4p,1S,7.3516e-08,8.2252e+04,,,1
2s22p4p,3D,2.4244e-07,8.0806e+04,6.9809e+02,1.8329e-18,3
2s22p4p,3P,1.4246e-07,8.1327e+04,2.7327e+02,3.2012e-18,3
2s22p4p,3S,2.0632e-07,8.1105e+04,,,1
2s22p4s,1P°,1.1614e-08,7.8340e+04,,,1
2s22p4s,3P°,8.9438e-09,7.8123e+04,4.9646e+02,1.7818e-19,3
2s2p23s,5P,4.8413e-09,1.0356e+05,5.1884e+02,1.8896e-20,3
2s2p3,3D°,8.5264e-09,6.4089e+04,4.3285e+00,4.0096e-22,3
2s2p3,3P°,4.5134e-09,7.5255e+04,1.1894e+00,1.8391e-21,3
2s2p3,3S°,2.9206e-10,1.0580e+05,,,1
2s2p3,5S°,3.3333e-02,3.3735e+04,,,1
