Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p63d2,3P,8.5712e-09,4.8542e+04,4.0141e+02,3.9291e-18,3
3p63d4p,1D°,9.6154e-08,3.5835e+04,,,1
3p63d4p,3D°,1.7979e-08,3.8224e+04,1.1280e+03,1.4523e-19,3
3p63d4p,3F°,1.8959e-08,3.5815e+04,6.9336e+03,1.6464e-20,3
3p63d4p,3P°,1.6786e-08,3.9336e+04,1.1878e+01,2.0382e-20,3
3p64p2,1D,1.5152e-08,4.0720e+04,,,1
3p64p2,1S,9.0909e-09,4.1786e+04,,,1
3p64p2,3P,5.3788e-09,3.8478e+04,4.6199e+03,9.4150e-20,3
3p64s4d,3D,1.1519e-08,3.7753e+04,2.1705e+01,1.7825e-21,3
3p64s4f,1F°,5.3191e-08,4.2344e+04,,,1
3p64s4f,3F°,4.4526e-08,4.2171e+04,1.6612e-01,5.4784e-18,3
3p64s4p,1P°,4.5872e-09,2.3652e+04,,,1
3p64s4p,3P°,3.8462e-04,1.5210e+04,,,1
3p64s5d,1D,2.5000e-08,4.2919e+04,,,1
3p64s5d,3D,2.6816e-08,4.2745e+04,4.8834e+00,1.6913e-18,3
3p64s5f,1F°,5.2632e-08,4.4805e+04,,,1
3p64s5f,3F°,7.5666e-08,4.4763e+04,6.2301e-02,2.1128e-18,3
3p64s5p,1P°,8.1500e-08,3.6732e+04,,,1
3p64s5p,3P°,4.4696e-08,3.6559e+04,2.0288e+02,4.3642e-19,3
3p64s5s,3S,1.1628e-08,3.1539e+04,,,1
3p64s6d,1D,1.2500e-07,4.4990e+04,,,1
3p64s6d,3D,4.1108e-08,4.5051e+04,2.7551e+00,1.4123e-17,3
3p64s6f,1F°,1.1111e-08,4.6182e+04,,,1
3p64s6f,3F°,1.3576e-07,4.6165e+04,2.6901e-02,4.1020e-16,3
3p64s6p,1P°,2.0121e-08,4.1679e+04,,,1
3p64s6s,3S,3.2637e-08,4.0474e+04,,,1
3p64snp,w 1P°,1.4065e-08,4.3933e+04,,,1
