Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23p44p,2D°,3.1131e-08,9.0651e+04,4.5386e+07,8.2335e-17,4
3s23p44p,2P°,6.4930e-07,8.9867e+04,2.7300e+07,4.5105e-13,4
3s23p44s,2D,4.0249e-09,8.4121e+04,1.2944e+00,1.4250e-19,2
3s23p44p,2S°,5.2632e-07,8.5918e+04,,,1
3s23p44p,4D°,3.5289e-08,8.4300e+04,1.2611e+05,2.2175e-18,4
3s23p44p,4P°,4.1285e-08,8.3138e+04,4.9777e+04,1.2245e-18,3
3s23p44p,4S°,2.6882e-08,8.5735e+04,,,1
3s23p44s,2P,2.0182e-09,7.4546e+04,2.0469e+05,7.4653e-23,2
3s23p44s,4P,1.6434e-06,7.2425e+04,1.9171e+05,5.5299e-12,3
3s23p45p,2D°,8.9661e-07,9.5267e+04,3.8666e+05,2.2843e-13,2
3s23p45p,2P°,1.5783e-07,9.6454e+04,3.9415e+04,3.1730e-17,2
3s23p45p,2S°,5.1546e-07,9.5535e+04,,,1
3s23p45p,4D°,7.1551e-07,9.5261e+04,1.3838e+05,4.0812e-14,4
3s23p45p,4P°,9.9763e-07,9.4707e+04,6.1758e+04,7.4162e-14,3
3s23p45p,4S°,4.1667e-07,9.5612e+04,,,1
3s23p44d,2[1],1.1765e-07,9.5996e+04,,,1
3s23p44d,2[2],7.9913e-08,9.5842e+04,6.1398e+03,2.0716e-16,2
3s23p44d,2[3],1.0204e-07,9.5701e+04,,,1
3s23p44d,2[4],2.5641e-07,9.6731e+04,,,1
3s23p5,2P°,8.1301e+01,8.8235e+02,,,1
