Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p63d7,w 4F°,9.5610e-09,4.3926e+04,7.9429e+05,2.3475e-17,2
3p63d7,w 4G°,9.0909e-08,4.4394e+04,,,1
3p63d7,°,1.2817e-08,4.4025e+04,6.2637e+04,2.2153e-18,2
3p63d7,x 4D°,3.5019e-09,4.0481e+04,4.0528e+05,3.4310e-19,4
3p63d7,x 4F°,3.3135e-09,4.2094e+04,4.6472e+05,8.5609e-20,4
3p63d7,x 4G°,2.1286e-08,4.2452e+04,5.2478e+05,1.3758e-15,4
3p63d7,z 2D°,4.9933e-08,3.3908e+04,3.9569e+05,4.8897e-16,2
3p63d7,z 2F°,6.8463e-08,3.2326e+04,4.1456e+05,2.2452e-15,2
3p63d7,z 2G°,3.7806e-08,3.2216e+04,5.3394e+05,1.5697e-17,2
3p63d7,z 4D°,3.5338e-08,3.0107e+04,4.0084e+05,9.5124e-19,4
3p63d7,z 4F°,6.9934e-08,2.8976e+04,2.7971e+05,5.5132e-18,4
3p63d7,z 4G°,1.0871e-07,2.9488e+04,3.0003e+05,1.0862e-16,4
3p63d7,z 6G°,1.0191e-05,2.5753e+04,6.8047e+04,2.7492e-12,2
3p63d7,6P°,5.2632e-07,4.1041e+04,,,1
3p63d7,w 4D°,3.5470e-08,4.3321e+04,1.2117e+04,8.0685e-16,2
3p63d74s5s,f 4F,1.5366e-08,4.7863e+04,2.2925e+05,3.2108e-19,2
3p63d84p,x 2F°,1.6863e-08,4.3555e+04,,,1
3p63d84p,y 2D°,6.8597e-09,3.6484e+04,3.0630e+05,7.4344e-19,2
3p63d84p,y 2F°,6.4762e-09,3.5890e+04,3.8658e+05,5.1102e-19,2
3p63d84p,y 2G°,9.1509e-09,3.3787e+04,2.4073e+05,8.6516e-20,2
3p63d84p,y 4D°,9.6647e-09,3.2820e+04,3.8689e+05,1.7028e-18,4
3p63d84p,y 4F°,7.0838e-09,3.3519e+04,9.1696e+05,5.1856e-19,2
3p63d84p,y 4G°,8.9033e-09,3.2857e+04,5.0191e+05,4.0983e-18,3
3p63d84p,°,5.4993e-09,3.3628e+04,2.0197e+05,3.9770e-18,2
3p63d85s,e 4F,1.9701e-08,4.4782e+04,,,1
3p63d84p,z 4P°,2.1277e-07,4.1969e+04,,,1
