Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d104d,2D,1.3333e-08,4.9939e+04,2.3502e+01,0.0000e+00,2
3d104p,2P°,7.1182e-09,3.0660e+04,3.0845e+04,7.9578e-21,2
3d105d,2D,5.0125e-08,5.5389e+04,6.5884e+00,1.2563e-17,2
3d105p,2P°,6.1000e-08,4.9383e+04,5.0881e-02,3.3686e-15,2
3d106s,2S,8.7719e-08,5.2849e+04,,,1
3d9,2D°,1.2821e-07,4.6598e+04,,,1
3d9,2F°,2.6596e-07,4.4963e+04,,,1
3d9,2P°,1.0453e-08,4.5850e+04,1.7041e+03,2.4778e-19,2
3d9,4D°,1.5842e-07,4.4730e+04,6.9014e+04,3.6826e-14,2
3d9,4F°,8.4586e-06,4.1728e+04,6.6023e+05,6.7909e-11,2
3d9,4P°,4.2797e-07,4.0529e+04,3.4426e+05,9.6729e-15,2
3d9,°,1.8182e-08,4.6173e+04,,,1
3d94s5s,4D,2.7736e-08,6.3352e+04,7.9076e+05,2.3453e-16,4
