Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f10,"(4,1)°",8.4746e-09,3.4471e+04,,,1
4f10,"(5,1)°",7.1937e-09,3.3175e+04,4.4527e+04,8.5328e-18,2
4f10,"(5,2)°",4.3860e-07,2.7427e+04,,,1
4f10,"(6,1)°",6.5011e-09,3.0745e+04,2.2607e+03,3.7697e-18,2
4f10,"(6,2)°",6.0168e-07,2.4953e+04,4.2985e+03,1.3560e-13,2
4f10,"(7,1)°",5.9017e-07,2.4976e+04,1.6334e+07,6.6389e-13,5
4f10,"(7,2)°",8.6043e-07,2.1869e+04,1.8404e+03,2.4531e-13,2
4f10,"(8,1)°",8.8470e-07,2.0287e+04,1.7701e+07,1.0848e-12,6
4f10,"(8,2)°",2.6871e-06,1.7875e+04,4.3436e+04,8.3530e-13,2
4f96s,°,1.2534e-07,2.6943e+04,8.5703e+06,6.1296e-14,5
4f95d6s2,5H°,7.3602e-07,2.0304e+04,2.0973e+07,3.4817e-13,3
4f95d6s2,7G°,1.9231e-06,2.0485e+04,,,1
4f95d6s2,°,1.1765e-06,1.8857e+04,,,1
4f96s,9L°,8.7719e-07,2.7556e+04,,,1
4f95d6s2,5I°,6.8493e-07,2.0555e+04,,,1
4f95d6s2,5K°,1.2560e-06,2.0736e+04,2.1941e+06,2.7991e-12,2
4f95d6s2,7K°,1.7986e-06,1.7688e+04,,,1
