Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f65d6s2,6P,1.5459e-07,3.1894e+04,1.2385e+06,1.8208e-14,2
4f65d6s2,8D,6.5951e-07,2.8840e+04,9.8585e+05,3.3751e-13,3
4f65d6s2,8F,6.4440e-07,3.0810e+04,5.3517e+05,2.3057e-13,3
4f65d6s2,8G,3.5714e-06,2.9809e+04,,,1
4f65d6s2,8P,2.3159e-08,3.1076e+04,1.1544e+06,1.2297e-17,3
4f76p,8P,4.4137e-08,4.2076e+04,3.7194e+03,1.3019e-18,3
4f76p,y 8D,1.0027e-07,3.6760e+04,2.0893e+04,8.8220e-15,4
4f76p,z 6D,1.2500e-06,3.8167e+04,,,1
4f76p,x 8P,2.6848e-08,3.4205e+04,2.2850e+05,1.5190e-17,3
4f76p,y 10P,1.4625e-08,3.2648e+04,7.7646e+04,6.4704e-19,3
4f76p,z 10D,1.7205e-08,3.1462e+04,2.1931e+05,1.9975e-18,5
4f76p,z 10F,2.7152e-08,2.9434e+04,7.6760e+05,4.7742e-17,7
4f76p,z 8D,2.3520e-08,3.0889e+04,8.7967e+03,3.9080e-18,4
4f76p,z 8F,2.5949e-08,3.2249e+04,1.2380e+05,1.4575e-17,5
4f7,y 8P,6.4001e-09,2.1604e+04,2.5073e+04,3.3890e-20,3
4f7,z 10P,3.0551e-06,1.4316e+04,1.2286e+05,3.5427e-12,2
4f7,z 6P,1.1330e-06,1.7524e+04,6.7260e+04,1.3092e-13,2
4f7,z 8P,8.6691e-06,1.6152e+04,1.5982e+05,8.4403e-11,3
4f76d,e 6D°,2.6385e-08,3.6622e+04,,,1
4f76d,e 10D°,1.4356e-08,3.4506e+04,1.5128e+03,1.8359e-19,3
