Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p63d,2D,4.1691e-08,2.1536e+04,2.6634e+00,1.4892e-19,2
3p64d,2D,2.9012e-07,2.7398e+04,5.7245e-01,1.0598e-17,2
3p64f,2F°,6.3874e-08,2.8128e+04,0.0000e+00,3.1612e-19,2
3p64p,2P°,2.6621e-08,1.3014e+04,1.6652e+03,5.0850e-20,2
3p65d,2D,2.2689e-06,3.0185e+04,1.2686e-01,3.4748e-15,2
3p65f,2F°,1.1726e-07,3.0607e+04,0.0000e+00,0.0000e+00,2
3p65p,2P°,1.3657e-07,2.4711e+04,1.7591e+02,3.7069e-18,2
3p65s,2S,4.2068e-08,2.1027e+04,,,1
3p66d,2D,2.0939e-06,3.1696e+04,3.5272e-02,3.7082e-15,2
3p66f,2F°,2.1001e-07,3.1953e+04,0.0000e+00,2.0731e-19,2
3p66p,2P°,5.3238e-07,2.9003e+04,3.5617e+01,2.7312e-16,2
3p66s,2S,7.1235e-08,2.7451e+04,,,1
