Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f5d6s,2G°,6.0394e-08,2.3467e+04,,,1
4f5d6s,°,1.1641e-08,2.8363e+04,5.5374e+06,2.2831e-17,5
4f5d6s,2F°,2.0507e-08,2.8106e+04,3.8168e+05,2.7384e-17,2
4f5d6s,4F°,2.5136e-08,2.5015e+04,6.8761e+05,8.1771e-17,4
4f5d6s,4G°,1.9202e-08,2.7828e+04,5.6447e+05,1.1604e-18,4
4f5d6s,4P°,1.4897e-08,3.0433e+04,2.0784e+05,2.6420e-18,3
4f6s2,2F°,9.6549e-08,1.5868e+04,8.9989e+05,2.4872e-16,2
5d26p,°,2.3249e-08,2.3919e+04,1.2096e+07,3.6032e-16,6
5d26p,2G°,3.0370e-08,2.4675e+04,9.8309e+06,2.8840e-16,4
5d26p,2D°,1.5889e-08,1.8776e+04,7.2848e+05,7.6546e-20,2
5d26p,4D°,1.8560e-08,2.3395e+04,8.5395e+05,8.8171e-17,8
5d26p,4F°,1.8739e-08,2.0642e+04,3.2334e+05,6.1226e-18,4
5d26p,4G°,3.6419e-08,1.8949e+04,8.4015e+05,1.2082e-16,4
5d26p,2P°,1.5366e-08,2.7225e+04,,,1
5d26p,4P°,1.6265e-08,2.5866e+04,1.6771e+05,3.5689e-18,3
5d26p,4S°,1.6295e-08,2.4639e+04,,,1
5d6s6p,°,3.3429e-08,2.2557e+04,1.9822e+07,3.2292e-15,7
5d6s6p,4P°,6.3857e-08,1.8157e+04,,,1
