Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d26s,2P,4.6685e-08,2.8793e+04,,,1
5d6s6p,2D°,3.3733e-08,2.6413e+04,2.9877e+07,1.3699e-15,4
5d6s6p,2F°,4.4056e-08,2.9860e+04,2.4019e+06,5.6020e-15,4
5d6s6p,2P°,6.2661e-09,3.2865e+04,1.7519e+06,5.4300e-18,4
5d6s6p,4D°,1.5922e-06,2.1393e+04,5.6167e+05,1.0238e-12,3
5d6s6p,4F°,5.1332e-07,1.7966e+04,5.8029e+05,3.4645e-15,2
5d6s6p,4P°,1.1395e-06,2.4750e+04,3.9026e+05,1.2515e-12,2
6s25f,2F°,4.3197e-08,3.6639e+04,5.7889e+01,1.7409e-20,2
6s26d,2D,1.0214e-08,3.1628e+04,1.4682e+04,2.0906e-18,2
6s27p,2P°,7.8847e-09,2.9960e+04,5.5923e+05,6.6544e-18,2
6s27s,2S,1.2346e-08,2.4126e+04,,,1
