Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p2,3P,1.8566e-09,5.7840e+04,9.6848e+02,4.1236e-22,3
3p3d,1D°,2.3975e-09,8.0693e+04,,,1
3p3d,3D°,1.9341e-09,8.3523e+04,1.6797e+02,7.0029e-24,3
3s3d,1D,7.8730e-08,4.6403e+04,,,1
3s3d,3D,6.1973e-09,4.7957e+04,2.4233e-04,2.2811e-22,3
3s3p,1P°,2.0367e-09,3.5051e+04,,,1
3s3p,3P°,6.5845e+02,2.1877e+04,9.5889e+02,8.6755e+05,3
3s4d,1D,5.1921e-08,5.3135e+04,,,1
3s4d,3D,1.6483e-08,5.4192e+04,1.5610e-03,2.7375e-19,3
3s4f,1F°,5.7003e-08,5.4676e+04,,,1
3s4f,3F°,5.9869e-08,5.4677e+04,2.5543e-03,5.3383e-21,3
3s4p,1P°,1.4002e-08,4.9347e+04,,,1
3s4p,3P°,7.4442e-08,4.7846e+04,2.6209e+01,1.0186e-19,3
3s4s,1S,4.5045e-08,4.3503e+04,,,1
3s4s,3S,9.8912e-09,4.1197e+04,,,1
3s5d,1D,4.2288e-08,5.6308e+04,,,1
3s5d,3D,3.3210e-08,5.6968e+04,7.0633e-04,6.6526e-21,3
3s5f,1F°,1.0697e-07,5.7204e+04,,,1
3s5f,3F°,1.0744e-07,5.7204e+04,1.4823e-03,3.2579e-20,3
3s5g,1G,2.2676e-07,5.7263e+04,,,1
3s5g,3G,2.2685e-07,5.7263e+04,0.0000e+00,2.5751e-20,2
3s5p,1P°,5.0948e-08,5.4707e+04,,,1
3s5p,3P°,2.6128e-07,5.4251e+04,3.9905e+00,1.8416e-19,3
3s5s,1S,1.0040e-07,5.2556e+04,,,1
3s5s,3S,2.5458e-08,5.1873e+04,,,1
