Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d5,t 4G°,7.6923e-08,6.7753e+04,,,1
3d5,2I°,1.4925e-07,6.4052e+04,,,1
3d5,2K°,1.0870e-07,6.1913e+04,,,1
3d5,x 4H°,1.1027e-07,6.0935e+04,9.4138e+02,1.1522e-14,4
3d5,y 4I°,9.0524e-09,6.1221e+04,6.7510e+01,2.8223e-18,3
3d5,v 4P°,3.6502e-07,5.7359e+04,1.6741e+04,1.1910e-13,3
3d5,x 4D°,1.3410e-07,5.5191e+04,7.4489e+03,8.6752e-16,3
3d5,x 6D°,4.0000e-07,5.2870e+04,,,1
3d5,6D°,1.2658e-06,6.2761e+04,,,1
3d5,6G°,3.6483e-07,6.1727e+04,2.7326e+02,3.7134e-14,3
3d5,u 4G°,4.1376e-08,6.6548e+04,1.2995e+03,2.4114e-16,2
3d5,°,1.1613e-07,6.5525e+04,2.2708e+06,2.8837e-14,4
3d5,4F°,3.5399e-07,6.3863e+04,1.0451e+06,1.9553e-13,2
3d5,w 4H°,1.4475e-07,6.3415e+04,1.9142e+03,5.2882e-15,4
3d5,y 4G°,3.0384e-08,5.8120e+04,1.3237e+03,1.6283e-15,4
3d5,y 4F°,5.1131e-08,5.0364e+04,3.3127e+02,1.1211e-16,4
3d5,y 6F°,2.3117e-08,4.8218e+04,1.2182e+04,4.2039e-16,6
3d5,z 4G°,1.4145e-06,5.1538e+04,3.8290e+02,2.6283e-12,4
3d5,z 4H°,1.2128e-07,5.0088e+04,8.8312e+01,1.5929e-16,2
3d5,4D°,1.5385e-07,6.5947e+04,,,1
3d5,4S°,1.8182e-08,6.6505e+04,,,1
3d5,v 6P°,1.4519e-08,5.0000e+04,1.1252e+04,5.5400e-19,3
3d5,x 4P°,1.7138e-07,5.1435e+04,1.5401e+04,1.3088e-14,3
3d5,y 4D°,1.1405e-06,5.3114e+04,2.1861e+02,2.3996e-14,2
3d5,y 6D°,3.0033e-07,4.7670e+04,4.0361e+04,5.5325e-14,5
3d5,z 4S°,8.1967e-08,5.4219e+04,,,1
3d5,y 6P°,2.7212e-09,3.5729e+04,1.6053e+03,1.6213e-21,3
3d5,z 4P°,3.3636e-06,3.1039e+04,2.8328e+03,1.0312e-12,2
3d5,z 6P°,6.0907e-08,2.4790e+04,1.3394e+02,5.0578e-18,3
3d5,z 8P°,1.3834e-04,1.8467e+04,8.3437e+03,1.4825e-09,2
3d5,w 2F°,3.5211e-08,6.4988e+04,,,1
3d5,w 4F°,2.6885e-07,6.0921e+04,6.5413e+02,1.3659e-15,2
3d5,2F°,1.7857e-08,6.6600e+04,,,1
3d5,4G°,2.1060e-07,6.3399e+04,5.1227e+03,2.0768e-14,2
3d5,u 4D°,1.3199e-06,6.4577e+04,2.1617e+04,4.7871e-12,3
3d5,w 2G°,2.7989e-07,6.4956e+04,1.8793e+05,4.7983e-14,2
3d5,u 4H°,3.6808e-08,6.6420e+04,1.1146e+04,4.1530e-16,4
3d54s5s,f 4G,6.6667e-08,6.8716e+04,,,1
3d54s5p,w 4P°,1.0110e-07,5.5411e+04,1.9758e+03,3.1176e-15,3
3d54s5s,f 6S,3.0303e-08,4.9415e+04,,,1
3d54s4d,e 6D,2.2395e-08,4.7213e+04,2.2211e+01,1.8491e-16,4
3d54s5p,w 6P°,3.4014e-06,4.7721e+04,7.5534e+03,3.7022e-12,2
3d54s5s,e 6S,1.9841e-08,4.1404e+04,,,1
3d54s5s,e 8S,8.3126e-09,3.9431e+04,,,1
3d54s6s,f 8S,5.7803e-08,5.0158e+04,,,1
3d54s6s,g 6S,3.0303e-06,5.0905e+04,,,1
3d64p,w 2H°,1.0417e-07,6.7505e+04,,,1
3d64p,u 4F°,7.0040e-08,6.6844e+04,8.8859e+01,7.2858e-16,3
3d64p,2H°,2.8668e-07,6.2885e+04,8.6973e+05,9.5823e-14,3
3d64p,4G°,6.2128e-08,6.1860e+04,1.1473e+05,1.2613e-15,3
3d64p,v 2F°,1.0000e-07,6.6021e+04,,,1
3d64p,v 4F°,6.7771e-08,6.2462e+04,3.6355e+03,1.1377e-15,3
3d64p,v 4H°,1.2595e-08,6.4840e+04,6.9553e+03,5.6410e-17,4
3d64p,°,4.2608e-08,6.5841e+04,2.5082e+03,9.8333e-16,4
3d64p,v 4G°,2.5730e-08,6.5898e+04,2.3350e+02,1.5321e-16,2
3d64p,y 4H°,1.8682e-08,5.8478e+04,2.1911e+03,2.5698e-17,3
3d64p,z 2G°,3.3517e-08,6.0704e+04,2.5155e+03,1.3283e-16,2
3d64p,z 2I°,2.1615e-08,5.9722e+04,2.2210e+04,5.7450e-18,2
3d64p,z 4I°,4.9412e-08,5.8855e+04,2.7075e+02,1.7716e-16,2
3d64p,x 6P°,1.5632e-08,4.5136e+04,1.7881e+04,4.6599e-17,3
3d64p,y 4P°,1.2906e-08,4.7118e+04,4.0616e+04,1.9638e-17,3
3d64p,z 4D°,9.9011e-09,4.5987e+04,3.3045e+04,8.3957e-21,4
3d64p,z 4F°,1.3517e-08,4.4581e+04,5.2213e+04,3.7294e-18,4
3d64p,z 6D°,1.2767e-08,4.2024e+04,2.7249e+04,2.6108e-17,5
3d64p,z 6F°,1.7253e-08,4.3530e+04,1.8924e+04,8.3841e-20,6
3d64s,a 4D,9.1420e+02,2.3596e+04,5.2239e+04,2.0934e+04,4
3d64s,a 6D,3.1005e+00,1.7398e+04,5.5523e+04,5.6546e-02,5
3d65s,f 4D,6.6608e-08,5.7530e+04,3.0549e+04,5.0987e-16,4
3d65s,i 6D,4.0278e-07,5.6511e+04,4.8004e+04,4.6682e-14,2
3d64p,v 2G°,1.1364e-07,6.6738e+04,,,1
3d64p,2F°,3.0594e-07,6.1475e+04,5.9405e+01,1.2378e-14,2
3d64p,2G°,1.0590e-07,6.1636e+04,4.5180e+04,1.1527e-14,2
3d64p,4D°,3.2230e-08,5.9693e+04,1.9270e+05,1.6424e-16,6
3d64p,x 4F°,2.9565e-07,5.9331e+04,5.0713e+03,2.7025e-13,4
3d64p,x 4G°,7.6417e-08,5.9747e+04,5.1573e+03,2.6604e-15,4
3d64p,2D°,9.4741e-08,5.9998e+04,3.1624e+05,3.2633e-15,2
3d64p,u 4P°,4.6797e-08,5.9478e+04,8.4755e+03,7.7600e-16,3
3d64p,y 4S°,1.2438e-08,5.7512e+04,,,1
3d64p,z 2P°,7.6705e-08,6.2373e+04,6.5848e+02,4.0354e-16,2
