Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2s22p23d,2D,5.6224e-09,1.1264e+05,7.5212e+07,5.7837e-18,4
2s22p23d,2F,1.3806e-08,1.0983e+05,7.4672e+07,1.2727e-16,3
2s22p23d,2P,6.1034e-09,1.1247e+05,8.1909e+07,7.0729e-18,4
2s22p23d,2S,4.4747e-09,1.2057e+05,,,1
2s22p23p,2D°,3.6415e-08,1.0368e+05,6.2629e+07,1.5746e-17,4
2s22p23p,2F°,3.5791e-08,1.1071e+05,9.7373e+00,1.1815e-20,2
2s22p23p,2P°,2.9038e-08,1.0505e+05,7.0266e+07,9.1807e-18,4
2s22p23s,2D,2.5093e-09,9.9664e+04,1.1761e-01,1.9826e-23,2
2s22p24s,2D,1.5770e-08,1.1921e+05,0.0000e+00,1.0496e-20,2
2s22p23s,2S,8.9920e-06,1.1628e+05,,,1
2s22p23d,4D,2.2161e-08,1.0500e+05,2.0985e+02,7.7794e-18,4
2s22p23d,4F,2.4760e-08,1.0471e+05,1.9877e+03,4.8377e-19,4
2s22p23d,4P,4.7754e-09,1.0486e+05,9.3562e+02,4.3346e-20,3
2s22p23p,2S°,1.1322e-07,9.3582e+04,,,1
2s22p23p,4D°,3.8001e-08,9.4819e+04,2.3512e+03,3.1535e-21,4
2s22p23p,4P°,3.1714e-08,9.5500e+04,8.4130e+02,3.0465e-22,3
2s22p23p,4S°,2.4060e-08,9.6751e+04,,,1
2s22p23s,2P,2.1288e-09,8.6179e+04,3.4578e+03,5.0703e-25,2
2s22p23s,4P,2.4795e-09,8.3322e+04,1.6362e+03,4.6498e-22,3
2s22p24d,2D,2.0047e-08,1.1046e+05,2.6940e+02,2.3340e-23,2
2s22p24d,2F,1.4339e-08,1.1032e+05,2.8999e+03,1.0324e-21,2
2s22p24d,2P,1.9814e-08,1.1023e+05,3.1440e+02,3.0980e-21,2
2s22p24d,4D,9.1714e-08,1.1040e+05,6.1468e+01,1.2766e-18,4
2s22p24d,4F,9.4636e-08,1.1024e+05,2.2894e+03,4.5628e-20,4
2s22p24d,4P,9.3466e-09,1.1032e+05,6.2772e+02,3.8985e-22,3
2s22p24p,2D°,2.3549e-07,1.0722e+05,2.4723e+03,7.8599e-18,2
2s22p24p,2P°,1.5450e-07,1.0761e+05,7.9258e+02,1.9170e-18,2
2s22p24p,2S°,2.3084e-07,1.0648e+05,,,1
2s22p24p,4D°,2.4285e-07,1.0681e+05,2.3302e+03,2.0050e-18,4
2s22p24p,4P°,2.1170e-07,1.0700e+05,8.5470e+02,5.7901e-17,3
2s22p24p,4S°,1.2674e-07,1.0745e+05,,,1
2s22p24s,2P,8.0121e-09,1.0418e+05,2.9499e+03,4.1435e-19,2
2s22p24s,4P,1.2000e-08,1.0368e+05,3.2372e+03,8.7472e-20,3
2s22p3,2D°,9.0698e+04,1.9229e+04,3.7958e+01,3.4544e+09,2
2s22p3,2P°,1.0808e+01,2.8839e+04,7.4498e-02,1.5054e-01,2
2s2p4,2D,1.9928e-09,1.2120e+05,,,1
2s2p4,4P,6.7595e-09,8.8143e+04,1.0521e+03,2.7641e-20,3
