Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2p53s3d,4D°,8.0665e-09,2.9270e+05,1.8660e+05,6.0371e-18,2
2p53s3d,4F°,6.6477e-09,2.9257e+05,9.2676e+04,5.7507e-19,3
2p53s3d,4P°,6.3291e-09,2.9225e+05,2.4221e+03,0.0000e+00,2
2p53s4s,4P°,1.1111e-08,2.8630e+05,,,1
2p63d,2D,1.9442e-08,2.9173e+04,1.2500e-03,3.5005e-22,2
2p63p,2P°,1.6260e-08,1.6965e+04,1.4785e+02,1.3981e-21,2
2p64d,2D,5.2301e-08,3.4549e+04,6.1250e-04,1.4965e-21,2
2p64f,2F°,7.1340e-08,3.4587e+04,0.0000e+00,1.5864e-20,2
2p64p,2P°,1.0495e-07,3.0270e+04,1.5624e+01,1.0651e-19,2
2p64s,2S,3.7879e-08,2.5740e+04,,,1
2p65d,2D,1.0807e-07,3.7037e+04,2.0000e-04,6.9656e-20,2
2p65f,2F°,1.3721e-07,3.7058e+04,0.0000e+00,2.8357e-21,2
2p65p,2P°,3.6299e-07,3.5042e+04,3.0505e+00,5.6054e-18,2
2p65s,2S,7.7640e-08,3.3201e+04,,,1
