Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2s22p53d,2[3/2]°,1.5109e-08,1.6202e+05,2.1667e+05,3.6835e-17,4
2s22p53d,2[5/2]°,2.1095e-08,1.6205e+05,1.6749e+05,2.0117e-19,4
2s22p53p,2[1/2],1.9047e-08,1.5080e+05,3.7485e+06,1.9077e-17,4
2s22p53p,2[3/2],1.9578e-08,1.5052e+05,1.2617e+05,2.1539e-19,4
2s22p53s,2[1/2]°,1.7007e-09,1.3589e+05,,,1
2s22p54d,2[3/2]°,3.7807e-08,1.6741e+05,2.0446e+05,4.1664e-16,4
2s22p54d,2[5/2]°,5.8206e-08,1.6742e+05,1.8615e+05,9.0700e-19,4
2s22p54p,2[1/2],1.1919e-07,1.6348e+05,5.4439e+05,3.9147e-15,4
2s22p54p,2[3/2],1.2625e-07,1.6335e+05,1.4463e+05,7.5069e-17,4
2s22p54s,2[1/2]°,2.4082e-08,1.5946e+05,1.1955e+04,4.9070e-16,2
2s22p53d,2[1/2]°,1.5784e-08,1.6152e+05,1.0576e+02,1.5837e-17,2
2s22p53d,2[7/2]°,2.0335e-08,1.6159e+05,1.5821e+00,1.7353e-19,2
2s22p53p,2[5/2],1.9921e-08,1.4974e+05,1.3975e+04,4.9942e-19,2
2s22p53s,2[3/2]°,2.2727e-08,1.3446e+05,,,1
2s22p54d,2[1/2]°,4.0719e-08,1.6697e+05,2.9393e+01,2.2338e-16,2
2s22p54d,2[7/2]°,5.6633e-08,1.6700e+05,6.0610e-01,3.3429e-18,2
2s22p54p,2[5/2],1.3933e-07,1.6286e+05,2.3399e+03,2.1412e-17,2
2s22p54s,2[3/2]°,2.4999e-08,1.5870e+05,1.8989e+04,4.3045e-16,2
