Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23p24s,2D,2.9085e-09,6.5157e+04,3.9073e-01,2.8773e-22,2
3s23p24d,2P,1.1824e-07,7.5745e+04,9.4710e+03,1.3931e-16,2
3s23p24p,2P°,3.8619e-08,6.8030e+04,6.8450e+03,7.1147e-19,2
3s23p24p,4D°,4.8173e-08,6.5549e+04,3.3067e+04,5.9935e-19,4
3s23p24p,4P°,3.8470e-08,6.6416e+04,1.2408e+04,4.6493e-19,3
3s23p24p,4S°,3.4965e-08,6.6835e+04,,,1
3s23p24s,2P,2.3852e-09,5.8025e+04,4.4340e+04,7.1367e-25,2
3s23p24s,4P,4.6479e-09,5.6123e+04,4.0844e+04,1.5405e-21,3
3s23p25d,2P,2.1111e-07,7.9171e+04,4.7405e+03,2.4691e-16,2
3s23p25d,4D,3.3989e-07,7.9781e+04,5.5590e+03,1.0027e-14,3
3s23p25d,4F,1.9257e-07,7.9494e+04,2.8067e+04,5.7708e-15,4
3s23p25p,2D°,1.9983e-07,7.6309e+04,2.7150e+04,1.1896e-15,2
3s23p25p,2P°,1.1564e-07,7.6819e+04,6.3812e+03,8.0428e-18,2
3s23p25p,4D°,6.7748e-07,7.5514e+04,3.1993e+04,2.4369e-13,3
3s23p25p,4P°,2.6030e-07,7.5765e+04,1.4806e+04,2.7786e-15,3
3s23p25p,4S°,1.6667e-07,7.6022e+04,,,1
3s23p3,2D°,4.1943e+03,1.1369e+04,1.2184e+02,1.3688e+06,2
3s23p3,2P°,4.2334e+00,1.8735e+04,3.2004e+02,1.4464e+00,2
3s3p4,4P,2.5427e-08,5.9690e+04,2.0917e+04,1.3697e-19,3
