Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23p33d,1P°,1.4493e-08,8.1438e+04,,,1
3s23p34p,1F,4.8309e-08,7.8640e+04,,,1
3s23p34p,1P,7.6336e-08,7.7855e+04,,,1
3s23p34p,3D,4.6839e-08,7.8169e+04,8.6622e+02,1.8177e-18,3
3s23p34p,3F,4.1671e-08,7.8436e+04,7.0637e+02,6.4660e-18,3
3s23p34p,3P,5.2427e-08,7.2145e+04,6.3151e+07,5.1688e-17,6
3s23p34s,1D°,2.1711e-09,6.9238e+04,,,1
3s23p34s,3D°,5.1666e-09,6.7828e+04,1.8229e+02,3.6283e-21,3
3s23p34s,1P°,1.6234e-09,7.8288e+04,,,1
3s23p34s,3P°,2.0750e-09,7.7156e+04,5.4291e+02,3.2832e-21,3
3s23p33d,3D°,2.6050e-09,7.0168e+04,2.4939e+01,3.5890e-22,3
3s23p33d,5D°,2.0006e-07,6.7885e+04,2.2066e+01,1.1709e-14,5
3s23p34d,3D°,1.1962e-08,7.5954e+04,6.4348e+00,3.5576e-20,3
3s23p34d,5D°,8.8965e-08,7.4975e+04,2.0048e+00,1.3029e-20,5
3s23p34f,3F,6.2293e-08,7.6656e+04,3.2933e-04,8.5941e-21,3
3s23p34f,5F,5.9413e-08,7.6655e+04,1.0968e-03,9.9966e-18,5
3s23p34p,5P,3.6015e-08,6.3459e+04,2.1394e+02,2.2324e-20,3
3s23p34s,3S°,1.8038e-09,5.5331e+04,,,1
3s23p34s,5S°,1.0834e-05,5.2624e+04,,,1
3s23p35d,3D°,3.8759e-08,7.8692e+04,3.4390e-01,2.4602e-19,3
3s23p35d,5D°,1.1039e-07,7.8271e+04,1.9823e-01,1.0245e-20,3
3s23p35f,3F,1.1559e-07,7.9144e+04,0.0000e+00,1.0237e-20,3
3s23p35f,5F,1.1744e-07,7.9143e+04,0.0000e+00,2.6488e-17,5
3s23p35p,3P,1.7600e-07,7.4270e+04,2.4917e+00,2.0268e-19,3
3s23p35p,5P,2.2571e-07,7.3916e+04,2.3998e+01,2.9001e-18,3
3s23p35s,3S°,6.6609e-09,7.1351e+04,,,1
3s23p35s,5S°,4.7664e-08,7.0703e+04,,,1
3s23p4,1D,3.6285e+01,9.2386e+03,,,1
3s23p4,1S,5.9422e-01,2.2180e+04,,,1
3s23p4,3P,2.0124e+03,4.8485e+02,1.5768e+04,3.3701e+06,2
3s3p5,3P°,8.3358e-07,7.2326e+04,7.7508e+04,2.0968e-15,3
