Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5s25p5d,1D°,1.1111e-08,4.7146e+04,,,1
5s25p5d,1F°,4.0000e-09,4.9894e+04,,,1
5s25p5d,1P°,1.2500e-08,5.0126e+04,,,1
5s25p5d,3D°,5.2018e-09,4.5380e+04,3.3642e+06,1.0280e-18,3
5s25p5d,3F°,1.1733e-08,4.4129e+04,3.9896e+05,6.6826e-17,2
5s25p5d,3P°,2.9113e-08,4.8826e+04,4.8836e+04,8.5188e-16,2
5s25p6d,3D°,1.2048e-08,5.1475e+04,,,1
5s25p6d,3F°,5.0000e-09,5.1755e+04,,,1
5s25p6s,1P°,3.0488e-09,3.9257e+04,,,1
5s25p6s,3P°,4.4676e-09,3.6061e+04,4.9630e+06,2.9970e-19,3
5s25p7d,b 3D°,9.0909e-08,5.5073e+04,,,1
5s25p7p,3P,1.5466e-07,5.2559e+04,5.1995e+06,2.2562e-15,3
5s25p7p,3S,1.0417e-07,5.5374e+04,,,1
5s25p7s,1P°,4.3478e-08,5.2707e+04,,,1
5s25p7s,3P°,6.3694e-08,4.8222e+04,,,1
5s5p3,5S°,2.0408e-06,3.9626e+04,,,1
