Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4d2,1D,1.1236e-08,3.6961e+04,,,1
4d2,3P,1.6949e-08,4.4596e+04,,,1
4d5p,1D°,2.1882e-08,3.3827e+04,,,1
4d5p,1F°,3.3333e-06,3.8008e+04,,,1
4d5p,1P°,2.5773e-08,4.1172e+04,,,1
4d5p,3D°,1.0828e-08,3.6402e+04,2.2108e+04,1.9351e-20,3
4d5p,3F°,3.9427e-08,3.3592e+04,1.0643e+05,1.1861e-17,3
4d5p,3P°,9.3943e-09,3.7320e+04,5.7325e+02,4.7119e-21,2
5p2,3P,1.1215e-08,3.5537e+04,3.7684e+04,2.1492e-17,2
5s4f,1F°,3.2362e-08,3.9539e+04,,,1
5s4f,3F°,2.7337e-08,3.8753e+04,5.7026e+00,3.8032e-18,3
5s5d,1D,1.5152e-07,3.4727e+04,,,1
5s5d,3D,1.6412e-08,3.5025e+04,3.6838e+02,1.2501e-20,3
5s5f,1F°,5.0994e-08,4.1519e+04,,,1
5s5p,1P°,4.9751e-09,2.1698e+04,,,1
5s5p,3P°,2.1322e-05,1.4504e+04,,,1
5s6f,1F°,8.3333e-08,4.2840e+04,,,1
5s6p,1P°,8.8386e-08,3.4098e+04,,,1
5s6p,3P°,5.3242e-08,3.3898e+04,4.2484e+03,4.0891e-18,3
5s6s,3S,1.2837e-08,2.9039e+04,,,1
5s7f,1F°,1.2987e-07,4.3656e+04,,,1
5s7p,1P°,4.4843e-08,3.8907e+04,,,1
5s7s,3S,3.5336e-08,3.7425e+04,,,1
