Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d2,y 1D°,5.6818e-08,2.7907e+04,,,1
3d2,y 1F°,4.5872e-08,3.2858e+04,,,1
3d2,z 1P°,7.1429e-09,3.3661e+04,,,1
3d2,3P°,4.2070e-07,2.5516e+04,9.4843e+02,2.5390e-13,2
3d2,x 3D°,9.5451e-08,2.7418e+04,3.9066e+03,2.5321e-16,3
3d2,x 3F°,1.6561e-08,2.6907e+04,1.2503e+04,5.8485e-19,3
3d2,y 1G°,4.7619e-08,3.6000e+04,,,1
3d2,v 3F°,6.0117e-09,3.4088e+04,1.2649e+04,1.1288e-19,3
3d2,x 3G°,1.3669e-08,2.9975e+04,3.8824e+03,2.3306e-19,3
3d2,z 3H°,1.4965e-07,3.1919e+04,8.4435e+03,4.2632e-18,3
3d2,w 3D°,1.4980e-08,2.9781e+04,1.5864e+04,1.5387e-17,3
3d2,y 3F°,1.7983e-08,2.5241e+04,1.9871e+04,5.6307e-19,3
3d2,y 3G°,9.7546e-09,2.7621e+04,1.5802e+04,3.0933e-19,3
3d2,z 1D°,1.1723e-06,2.2081e+04,,,1
3d2,z 1F°,3.0048e-06,2.2405e+04,,,1
3d2,z 1G°,7.7399e-07,2.4695e+04,,,1
3d2,z 3D°,1.7493e-07,2.0023e+04,9.0794e+03,7.5361e-17,3
3d2,z 3F°,2.0421e-07,1.9440e+04,1.5990e+04,1.0466e-17,3
3d2,z 3G°,3.3068e-07,2.1599e+04,1.8341e+04,4.8911e-16,3
3d2,z 5D°,5.2749e-07,1.8574e+04,8.5962e+03,4.6262e-16,4
3d2,z 5G°,3.9973e-05,1.6234e+04,5.9176e+04,1.9460e-09,3
3d2,u 3D°,5.8439e-09,3.7996e+04,2.3945e+04,6.2343e-20,3
3d2,y 3S°,1.3699e-08,3.5439e+04,,,1
3d2,5D°,9.4175e-07,2.5808e+04,1.2941e+04,7.8667e-13,3
3d2,v 3D°,9.8167e-08,3.1194e+04,1.2724e+02,5.9052e-16,3
3d2,z 3S°,3.4270e-07,2.4921e+04,,,1
3d2,z 5P°,5.8824e-07,2.7740e+04,,,1
3d2,z 5S°,1.6978e-07,2.5103e+04,,,1
3d24p2,g 5G,4.2099e-09,4.7168e+04,4.0084e+04,3.2352e-19,5
3d24s5s,3F,2.9412e-08,4.1481e+04,,,1
3d24s5s,e 1F,1.2195e-08,4.1087e+04,,,1
3d24s4p,3P°,3.8511e-09,4.5109e+04,9.4005e+03,3.9879e-18,2
3d24s4d,e 5D,3.2258e-08,4.1958e+04,,,1
3d24s4d,e 5G,6.9017e-09,4.1919e+04,2.0064e+04,1.8509e-20,2
3d24s4d,e 5H,6.9176e-09,4.2066e+04,1.5737e+04,1.7488e-19,4
3d24s4d,g 3F,8.4524e-08,4.1989e+04,2.7657e+04,2.3838e-15,2
3d24s5p,3G°,4.3478e-08,4.4156e+04,,,1
3d24s5p,o 3D°,9.1653e-09,4.4157e+04,1.1836e+04,4.3394e-18,2
3d24s5p,r 3F°,1.7089e-08,4.3599e+04,1.9391e+04,5.7673e-18,3
3d24s5s,e 3F,7.4463e-08,3.7675e+04,2.0593e+04,3.1701e-16,3
3d24s5s,e 5F,1.5136e-08,3.6126e+04,2.4755e+04,1.3072e-16,5
3d34p,s 3D°,1.9457e-08,3.9688e+04,7.1437e+02,8.0861e-17,3
3d34p,u 3F°,2.1318e-08,3.7754e+04,1.9552e+04,8.3449e-17,2
3d34p,w 3P°,3.3557e-08,3.7173e+04,,,1
3d34p,t 3F°,1.1662e-08,3.8555e+04,1.2129e+04,4.6684e-18,3
3d34p,v 1F°,7.6923e-09,4.1585e+04,,,1
3d34p,v 3G°,1.1967e-08,3.7621e+04,4.5821e+03,2.6312e-17,3
3d34p,x 1G°,7.2993e-09,3.8960e+04,,,1
3d34p,y 3H°,6.1197e-08,3.5566e+04,1.3387e+04,5.0013e-15,3
3d34p,z 1H°,1.6207e-07,3.4700e+04,,,1
3d34p,3G°,1.3438e-07,4.1256e+04,1.4712e+04,4.0669e-17,2
3d34p,x 3H°,1.5469e-08,3.9155e+04,1.7045e+03,8.7305e-18,3
3d34p,y 1H°,3.0303e-08,4.1040e+04,,,1
3d34p,z 3I°,1.9231e-08,3.8780e+04,,,1
3d34p,t 3D°,2.1277e-07,3.8765e+04,,,1
3d34d,f 5H,1.6427e-08,4.4053e+04,6.6524e+03,3.0214e-18,3
