Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f125d3/26s2,"(4,3/2)",1.0102e-06,2.6291e+04,5.5718e+07,1.0848e-12,5
4f125d5/26s2,"(4,5/2)",9.2187e-08,3.4355e+04,8.3863e+07,6.9909e-15,3
4f125d5/26s2,"(5/2,2)",3.8023e-08,3.3489e+04,,,1
4f125d5/26s2,"(3,5/2)",5.3166e-08,3.2638e+04,1.6466e+05,1.7908e-15,3
4f126s26p3/2,"(3,3/2)°",3.4247e-07,4.0208e+04,,,1
4f125d3/26s2,"(5,3/2)",1.4258e-07,2.3570e+04,1.2129e+06,3.2237e-14,2
4f125d5/26s2,"(5,5/2)",1.6596e-08,2.6303e+04,6.8671e+05,1.8629e-16,2
4f12,°,1.6357e-07,3.9712e+04,2.6322e+07,2.8528e-14,3
4f12,"(5,9/2)°",1.4085e-08,4.4335e+04,,,1
4f125d5/26s2,"(6,5/2)",9.9965e-07,1.7897e+04,1.7679e+06,5.8065e-13,2
4f12,"(6,5/2)°",4.0818e-07,3.4246e+04,1.5572e+06,2.2779e-14,5
4f12,"(6,7/2)°",3.7244e-07,3.7859e+04,,,1
4f12,"(6,3/2)°",6.6225e-07,3.1081e+04,,,1
4f125d6s6p,°,6.2402e-09,4.0275e+04,6.0681e+06,1.7046e-17,6
4f13,"(5/2,1)",3.6653e-07,2.9487e+04,1.8462e+07,1.7264e-13,5
4f13,"(5/2,0)",3.3201e-07,2.5656e+04,,,1
4f13,"(5/2,2)",1.1961e-06,2.8293e+04,6.2642e+04,1.1356e-12,4
4f13,"(7/2,3)",7.1429e-08,4.3958e+04,,,1
4f13,"(7/2,2)",6.8078e-06,2.4650e+04,9.8650e+07,8.4915e-11,4
4f13,3[11/2]°,3.7672e-08,3.9189e+04,1.9509e+03,7.1119e-16,2
4f13,3[3/2]°,2.6312e-08,3.9670e+04,9.0691e+03,3.4435e-18,2
4f13,3[5/2]°,2.2426e-08,3.9304e+04,2.7011e+04,8.2425e-18,2
4f13,3[7/2]°,2.5145e-08,3.9481e+04,2.8620e+04,6.7171e-18,3
4f13,3[9/2]°,2.7307e-08,3.9480e+04,,,1
4f13,"(7/2,1)",1.0652e-06,1.9282e+04,1.1753e+07,1.1564e-12,4
4f13,"(7/2,0)",6.8027e-06,1.6742e+04,,,1
4f13,"(7/2,1)°",3.1939e-08,4.1079e+04,,,1
