Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d3,4F°,3.7606e-08,3.4430e+04,3.1327e+03,8.9828e-18,3
3d3,u 4D°,2.1321e-08,3.5178e+04,2.5726e+04,1.8337e-17,4
3d3,w 2F°,7.3413e-08,3.7409e+04,8.7844e+03,2.8423e-15,2
3d3,x 4P°,6.1765e-08,3.6713e+04,2.0601e+04,2.7682e-16,2
3d3,p 4F°,2.8914e-07,4.5780e+04,1.0628e+04,6.0827e-15,3
3d3,r 4G°,2.8833e-07,4.6249e+04,1.2604e+04,1.2448e-14,3
3d3,2H°,3.3188e-09,4.7657e+04,4.0454e+03,1.3631e-20,2
3d3,x 4F°,2.9911e-07,3.1293e+04,1.2177e+03,3.5874e-16,2
3d3,y 2G°,1.7762e-07,3.3307e+04,,,1
3d3,y 4G°,1.0201e-07,3.0741e+04,9.8105e+03,6.8473e-16,4
3d3,x 2I°,2.3268e-09,5.0050e+04,1.0183e+04,5.8563e-21,2
3d3,u 2G°,1.0989e-08,3.8530e+04,,,1
3d3,w 4G°,7.6923e-08,3.6823e+04,,,1
3d3,y 2H°,6.4136e-08,3.7196e+04,4.4617e+02,4.4133e-15,2
3d3,y 2I°,3.3333e-08,3.9081e+04,,,1
3d3,2D°,2.7027e-08,3.4030e+04,,,1
3d3,2S°,1.2987e-07,3.1786e+04,,,1
3d3,x 4D°,8.8550e-08,3.2776e+04,2.6587e+04,5.0679e-15,2
3d35s,4F,1.2195e-07,4.4869e+04,,,1
3d35s,e 2F,2.7778e-08,4.4066e+04,,,1
3d3,v 4D°,1.3725e-08,3.4595e+04,1.3633e+04,2.8613e-17,4
3d3,w 4F°,4.2620e-09,3.2932e+04,3.2650e+04,4.7414e-20,4
3d3,x 4G°,3.3886e-09,3.1649e+04,5.4345e+04,3.6588e-21,4
3d3,z 2G°,5.9029e-08,2.6183e+04,5.2163e+04,2.1615e-16,2
3d3,z 4D°,8.8090e-08,2.0789e+04,3.4806e+04,9.8738e-18,4
3d3,z 4F°,1.4997e-07,2.3293e+04,3.4626e+04,4.0366e-16,4
3d3,z 4G°,1.7765e-07,2.2060e+04,4.1754e+04,2.0918e-16,4
3d3,z 6D°,4.0440e-07,1.8230e+04,2.0260e+04,4.7356e-17,5
3d3,r 4D°,1.1110e-08,4.2078e+04,2.0073e+04,2.9994e-17,4
3d3,v 4P°,1.4203e-08,4.1870e+04,1.6984e+04,1.4377e-16,3
3d3,w 4D°,1.3479e-08,3.4034e+04,5.8990e+03,1.7992e-17,4
3d3,x 6D°,3.7329e-08,2.8502e+04,3.3606e+04,2.9005e-18,5
3d3,y 4P°,5.0773e-08,3.0079e+04,2.6419e+03,2.7498e-17,3
3d3,y 6P°,6.7131e-09,2.9306e+04,1.1657e+04,2.0944e-21,3
3d3,z 2P°,2.8510e-08,3.2768e+04,,,1
3d34s4d,4F,1.0000e-07,4.4499e+04,,,1
3d34s4d,4G,9.2604e-08,4.4502e+04,3.7654e+04,8.3982e-17,4
3d34s4d,4H,9.0057e-08,4.4126e+04,4.6739e+04,2.3680e-16,4
3d34s4d,6F,1.0417e-08,4.4327e+04,,,1
3d34s4d,e 6H,5.9434e-09,4.3876e+04,4.1975e+04,3.3017e-20,6
3d34s4d,f 6G,7.5349e-09,4.4157e+04,2.6174e+04,1.0150e-17,3
3d34s4d,f 6P,1.7544e-08,4.4083e+04,,,1
3d34s5d,f 6H,3.1572e-07,5.0001e+04,3.9164e+04,1.6708e-13,5
3d34s5p,4G°,2.3611e-07,4.5157e+04,3.6230e+04,5.7870e-16,3
3d34s5p,6D°,5.9409e-08,4.3929e+04,5.1852e+04,3.0167e-16,4
3d34s5p,6F°,6.4104e-08,4.3843e+04,4.0946e+04,2.4977e-16,6
3d34s5p,6G°,8.3006e-08,4.3576e+04,4.7616e+04,1.8105e-18,6
3d34s5p,o 4D°,2.8072e-07,4.5846e+04,7.6794e+03,1.4868e-16,3
3d34s5s,e 6F,1.1989e-08,3.7601e+04,4.5252e+04,1.1064e-17,6
3d34s5s,f 4F,1.9529e-07,3.9498e+04,1.9621e+04,5.2390e-14,2
3d34s2,2D2,3.0898e+01,1.4532e+04,5.8004e+02,3.9103e+01,2
3d34s2,a 2G,8.2883e+01,1.0997e+04,2.1648e+04,1.0939e+03,2
3d34s2,a 2H,1.1367e+02,1.5184e+04,1.2968e+04,5.3174e+03,2
3d34s2,a 2P,7.3321e+01,1.3806e+04,4.3795e+01,2.0329e+02,2
3d34s2,a 4F,5.1754e+03,3.3792e+02,4.3333e+04,1.0452e+07,3
3d34s2,a 4P,1.7211e+02,9.6688e+03,2.0354e+04,6.8911e+02,3
3d44p,s 2G°,1.2666e-08,4.4479e+04,5.2139e+02,2.0565e-19,2
3d44p,t 2F°,2.3256e-08,4.3874e+04,,,1
3d44p,t 2H°,1.0141e-08,4.4165e+04,7.3701e+02,9.7204e-18,2
3d44p,2I°,1.6487e-08,4.4453e+04,2.4012e-01,6.5775e-17,2
3d44p,u 2H°,4.2210e-09,4.2150e+04,1.0015e+04,1.6661e-21,2
3d44p,4F°,7.8753e-07,4.4142e+04,2.7362e+03,1.2012e-12,2
3d44p,u 2F°,1.5308e-08,4.1986e+04,2.4858e+03,1.8089e-17,2
3d44p,2G°,7.0180e-08,3.6500e+04,2.9866e+03,5.3605e-15,2
3d44p,s 4D°,6.1051e-09,3.9985e+04,1.1349e+04,1.2223e-19,4
3d44p,u 4F°,1.2277e-08,3.9325e+04,2.8826e+03,2.9423e-17,4
3d44p,v 4G°,1.3906e-08,3.7616e+04,1.3440e+04,7.0384e-18,4
3d44p,x 2F°,2.4913e-08,3.6846e+04,1.2776e+04,4.6005e-17,2
3d44s,b 4F,1.0491e+00,1.5712e+04,2.1229e+03,1.1952e-03,4
3d44p,t 2G°,2.6760e-08,4.1488e+04,5.2608e+03,5.5902e-16,2
3d44p,t 4F°,2.9477e-06,4.1495e+04,2.2006e+04,1.7225e-11,2
3d44p,t 4G°,8.4100e-09,4.1798e+04,1.3495e+04,1.7924e-18,4
3d44p,v 2H°,5.1864e-08,4.1581e+04,1.2517e+04,3.0490e-15,2
3d44p,w 4H°,9.8013e-09,4.0420e+04,9.0642e+03,1.8488e-19,4
3d44p,u 4G°,8.3404e-09,4.0017e+04,1.9792e+03,4.6465e-18,4
3d44p,v 2G°,5.2725e-08,3.7268e+04,1.7533e+04,2.9160e-15,2
3d44p,x 2H°,1.4627e-08,3.8172e+04,4.6917e+03,5.0134e-22,2
3d44p,x 4H°,8.8807e-09,3.8364e+04,1.0476e+04,7.3375e-20,4
3d44p,z 2I°,3.6835e-08,3.7568e+04,2.8919e+03,2.0034e-17,2
3d44p,z 4I°,1.6236e-08,3.7381e+04,1.0958e+04,4.1582e-17,4
3d44s,a 4H,1.1633e+00,1.4981e+04,4.3876e+03,3.4524e-03,4
3d44p,t 4D°,5.5152e-09,3.7917e+04,2.4504e+04,1.5831e-20,4
3d44p,v 2D°,1.4526e-08,4.0119e+04,,,1
3d44p,w 4P°,7.4824e-09,3.9303e+04,1.0796e+04,1.7510e-19,3
3d44p,x 4S°,6.4977e-09,3.9847e+04,,,1
3d44s,b 4P,8.0510e-01,1.5307e+04,6.1917e+04,6.2333e-05,3
3d44d,e 6G,1.4739e-08,4.2194e+04,1.3048e+04,4.5768e-18,5
3d44d,f 6D,3.4483e-08,4.2554e+04,,,1
3d44d,f 6F,3.1774e-08,4.2483e+04,1.1903e+04,1.1560e-16,3
3d44p,y 4D°,1.2571e-08,2.6316e+04,1.6848e+04,1.0734e-20,4
3d44p,y 4F°,1.6677e-08,2.6057e+04,1.2073e+04,7.3306e-18,4
3d44p,y 6D°,8.1361e-09,2.6537e+04,1.8841e+04,1.7080e-20,5
3d44p,y 6F°,9.0918e-09,2.4979e+04,3.1517e+04,6.4884e-20,6
