Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5p55d,2[3/2]°,1.5664e-06,8.7320e+04,3.9144e+07,3.4813e-12,4
5p55d,2[5/2]°,1.2756e-06,8.6814e+04,2.8756e+07,3.1836e-13,4
5p56p,2[1/2],2.7728e-08,8.4132e+04,4.0834e+07,3.6684e-18,4
5p56p,2[3/2],2.7451e-08,8.3927e+04,3.1389e+07,4.4544e-17,4
5p56s,2[1/2]°,3.9526e-09,7.7185e+04,,,1
5p57s,2[1/2]°,1.6949e-08,9.5801e+04,,,1
5p54f,2[3/2],9.0909e-06,9.0849e+04,,,1
5p54f,2[5/2],4.5455e-06,9.0907e+04,,,1
5p55d,2[1/2]°,6.5574e-08,7.9987e+04,,,1
5p55d,2[7/2]°,3.5974e-06,8.0584e+04,2.9939e+05,7.6684e-12,2
5p55f,2[5/2],6.2500e-06,9.3401e+04,,,1
5p56d,2[1/2]°,2.2727e-07,8.8550e+04,,,1
5p56d,2[3/2]°,6.6667e-09,9.0032e+04,,,1
5p56p,2[5/2],3.6352e-08,7.8261e+04,4.0119e+04,1.8221e-17,2
5p56s,2[3/2]°,3.6630e-09,6.8045e+04,,,1
5p57d,2[1/2]°,2.3364e-08,9.2128e+04,,,1
5p57d,2[3/2]°,1.3158e-07,9.2714e+04,,,1
5p57d,2[5/2]°,1.4695e-07,9.2706e+04,1.5170e+03,2.3316e-20,2
5p57d,2[7/2]°,1.3478e-07,9.2546e+04,2.0240e+04,4.8630e-16,2
5p57p,2[1/2],8.9056e-08,8.8385e+04,4.1873e+05,8.0343e-16,2
5p57p,2[3/2],1.0362e-07,8.8716e+04,1.6854e+03,1.5802e-17,2
5p57p,2[5/2],1.2643e-07,8.8410e+04,6.9069e+03,1.5190e-17,2
5p57s,2[3/2]°,3.0625e-08,8.5314e+04,3.1561e+04,1.1713e-15,2
