Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p2,1D,2.0476e-06,8.5481e+04,,,1
3p2,1S,9.6154e-10,1.1164e+05,,,1
3p2,3P,8.1235e-10,9.4167e+04,8.7256e+03,3.0420e-24,3
3p3d,3D°,4.3658e-10,1.5052e+05,6.6030e+02,2.1029e-24,3
3p3d,3F°,3.9855e-09,1.4111e+05,8.5074e+02,6.2420e-23,3
3p4s,3P°,1.0725e-09,1.4586e+05,8.9810e+03,2.3536e-23,3
3s3d,1D,7.2429e-10,1.1009e+05,,,1
3s3d,3D,8.4741e-10,9.5550e+04,1.0222e+00,6.2558e-25,3
3s3p,1P°,7.0922e-10,5.9852e+04,,,1
3s3p,3P°,1.4812e+02,3.7516e+04,7.6731e+03,4.3880e+04,2
3s4d,1D,1.3110e-09,1.2479e+05,,,1
3s4d,3D,3.8392e-09,1.2148e+05,1.4202e-01,3.7849e-22,3
3s4f,1F°,3.2927e-09,1.2347e+05,,,1
3s4f,3F°,4.2496e-09,1.2342e+05,6.0272e+00,2.7446e-23,3
3s4p,1P°,1.1351e-08,1.0692e+05,,,1
3s4p,3P°,1.3586e-08,1.0545e+05,4.9100e+02,4.2457e-21,3
3s4s,1S,2.8011e-09,9.5351e+04,,,1
3s4s,3S,1.3499e-09,9.1274e+04,,,1
3s5d,1D,3.3762e-09,1.3392e+05,,,1
3s5d,3D,1.0528e-08,1.3282e+05,5.7000e-03,1.1917e-21,3
3s5f,1F°,5.7110e-09,1.3368e+05,,,1
3s5f,3F°,1.4042e-08,1.3344e+05,3.8411e+01,5.7635e-23,3
3s5g,1G,1.3983e-08,1.3418e+05,,,1
3s5g,3G,1.4212e-08,1.3418e+05,4.2352e-22,1.6771e-21,3
3s5p,1P°,1.3180e-08,1.2587e+05,,,1
3s5p,3P°,4.8743e-08,1.2571e+05,9.0451e+01,5.8859e-20,3
3s5s,1S,4.3290e-09,1.2137e+05,,,1
3s5s,3S,3.0202e-09,1.2009e+05,,,1
