Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
1s22p2,1D,1.8446e-08,1.0236e+05,,,1
1s22p2,1S,7.5188e-10,1.2766e+05,,,1
1s22p2,3P,1.1565e-09,9.8922e+04,1.2168e+02,5.9705e-25,3
1s22p3d,1D°,6.6706e-10,1.9772e+05,,,1
1s22p3d,3D°,3.4759e-10,2.0048e+05,2.1276e+01,9.8296e-26,3
1s22p3p,1D,3.6361e-09,1.9698e+05,,,1
1s22p3p,1P,1.3309e-09,1.8913e+05,,,1
1s22p3p,3D,4.4510e-09,1.9105e+05,2.1124e+02,9.1139e-23,3
1s22p3p,3P,2.3598e-09,1.9561e+05,7.6804e+01,2.9312e-24,3
1s22p3p,3S,3.1557e-09,1.9323e+05,,,1
1s22p3s,1P°,1.9427e-09,1.8663e+05,,,1
1s22p3s,3P°,1.0421e-09,1.8166e+05,2.4922e+02,8.5127e-24,3
1s22s2p,1P°,8.3333e-10,7.3397e+04,,,1
1s22s2p,3P°,2.9590e+02,3.7350e+04,1.3041e+02,1.7500e+05,2
1s22s3d,1D,7.2421e-10,1.5469e+05,,,1
1s22s3d,3D,4.0788e-10,1.5065e+05,4.2352e-22,3.5657e-25,3
1s22s3p,1P°,1.6906e-09,1.4410e+05,,,1
1s22s3p,3P°,2.5076e-08,1.4399e+05,5.0467e+00,1.8281e-20,3
1s22s3s,1S,6.3288e-07,1.3762e+05,,,1
1s22s3s,3S,9.1324e-10,1.2977e+05,,,1
1s22s4d,1D,1.4014e-09,1.7555e+05,,,1
1s22s4d,3D,9.4201e-10,1.7407e+05,0.0000e+00,2.0321e-24,3
1s22s4f,1F°,3.3898e-09,1.7492e+05,,,1
1s22s4f,3F°,4.2426e-09,1.7490e+05,0.0000e+00,1.1177e-22,3
1s22s4p,1P°,1.7553e-09,1.7059e+05,,,1
1s22s4p,3P°,2.3371e-08,1.7155e+05,0.0000e+00,4.3981e-20,3
1s22s4s,1S,5.0531e-09,1.6794e+05,,,1
1s22s4s,3S,1.8295e-09,1.6634e+05,,,1
