Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5f,2F°,1.2529e-08,5.7511e+04,2.8996e+04,2.0384e-19,2
5g,2G,6.8606e-09,6.3027e+04,0.0000e+00,8.1637e-18,2
6d,2D,4.2746e-09,4.6052e+04,2.1089e+04,1.9543e-19,2
6f,2F°,3.7711e-08,6.4647e+04,5.0753e+03,7.7725e-18,2
6g,2G,1.9067e-08,6.8426e+04,0.0000e+00,5.3523e-20,2
6p,2P°,7.1194e-09,2.1107e+04,1.4295e+06,1.2745e-18,2
7d,2D,8.1819e-09,5.9848e+04,4.4816e+03,4.2525e-19,2
7f,2F°,3.8949e-08,6.9236e+04,1.1863e+03,1.4768e-17,2
7g,2G,2.8034e-08,7.1683e+04,0.0000e+00,3.5689e-17,2
7p,2P°,2.1665e-08,4.9701e+04,1.9314e+05,7.4152e-18,2
7s,2S,5.8720e-09,4.2355e+04,,,1
8d,2D,1.7645e-08,6.6700e+04,1.3489e+03,1.0090e-18,2
8f,2F°,2.2068e-06,7.2156e+04,3.7593e+02,9.1683e-12,2
8p,2P°,1.4471e-07,6.1491e+04,4.5753e+04,8.2078e-15,2
8s,2S,9.2937e-09,5.8025e+04,,,1
