Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2p3,2D°,1.8390e-09,1.5046e+05,1.3056e+01,5.1464e-27,2
2p3,2P°,4.9432e-10,1.6874e+05,1.7616e+02,2.2212e-25,2
2p3,4S°,2.9542e-10,1.4203e+05,,,1
2s22p,2P°,4.3668e+05,6.3420e+01,,,1
2s23d,2D,3.4943e-10,1.4555e+05,1.0225e+00,2.6835e-29,2
2s23p,2P°,9.0446e-09,1.3173e+05,6.2161e+01,9.7935e-23,2
2s23s,2S,2.2624e-09,1.1654e+05,,,1
2s24d,2D,7.1693e-10,1.6812e+05,2.5205e-01,5.6056e-25,2
2s24f,2F°,3.9386e-09,1.6898e+05,0.0000e+00,1.0409e-22,2
2s24p,2P°,4.2270e-09,1.6252e+05,2.2311e+01,1.9314e-24,2
2s24s,2S,2.0259e-09,1.5723e+05,,,1
2s2p3d,2D°,4.9915e-10,1.9843e+05,5.9187e+01,1.5246e-25,2
2s2p3d,4D°,2.3710e-10,1.9657e+05,1.1027e+02,7.6747e-26,4
2s2p3d,4F°,2.3886e-08,1.9578e+05,7.0561e+02,4.0674e-21,4
2s2p3d,4P°,4.4522e-10,1.9886e+05,3.1110e+02,6.1325e-26,3
2s2p3p,2D,1.6294e-09,1.8860e+05,5.7190e+02,2.6008e-24,2
2s2p3p,2P,2.1763e-09,1.8203e+05,1.9110e+02,7.4374e-25,2
2s2p3p,4D,2.7427e-08,1.8173e+05,1.1010e+03,1.3591e-21,4
2s2p3p,4P,1.0768e-08,1.8645e+05,3.7683e+02,4.4849e-23,3
2s2p3p,4S,1.6981e-08,1.8469e+05,,,1
2s2p3s,2P°,3.8655e-09,1.7778e+05,1.7955e+02,1.6535e-24,2
2s2p3s,4P°,1.1881e-09,1.6700e+05,1.2139e+03,6.6476e-25,3
2s2p4d,2D°,1.1420e-09,2.2061e+05,8.4240e+01,1.7388e-26,2
2s2p4d,4D°,5.2084e-10,2.2014e+05,1.1892e+02,6.2462e-25,4
2s2p4d,4F°,1.4285e-08,2.1958e+05,7.5950e+02,6.0222e-22,4
2s2p4d,4P°,9.1356e-10,2.2083e+05,2.8329e+02,2.9696e-25,3
2s2p4p,2P,2.6482e-09,2.1442e+05,3.2819e+02,3.4031e-24,2
2s2p4p,4D,1.9593e-08,2.1479e+05,9.3603e+02,3.5564e-22,4
2s2p4p,4P,6.4921e-07,2.1638e+05,3.5738e+02,1.6600e-18,3
2s2p4p,4S,1.5221e-07,2.1577e+05,,,1
2s2p4s,4P°,1.8055e-09,2.0958e+05,1.2631e+03,3.4774e-24,3
2s2p2,2D,3.4686e-09,7.4931e+04,3.1752e+00,2.6055e-23,2
2s2p2,2P,2.4606e-10,1.1064e+05,8.5657e+02,1.1731e-25,2
2s2p2,2S,4.5496e-10,9.6494e+04,,,1
2s2p2,4P,4.3839e-02,4.3027e+04,6.3583e+02,2.5145e-03,3
