Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4d104f,2F°,5.4363e-09,1.0843e+05,8.3981e+01,3.4724e-21,2
4d105d,2D,1.6015e-09,8.9767e+04,1.1940e+04,2.5904e-20,2
4d105f,2F°,1.0811e-08,1.1844e+05,,,1
4d105g,2G,1.4061e-08,1.1877e+05,0.0000e+00,1.1257e-21,2
4d105p,2P°,2.8973e-09,4.5377e+04,3.0813e+06,1.2536e-19,2
4d106d,2D,5.6468e-09,1.1021e+05,2.7011e+03,1.4624e-19,2
4d106p,2P°,2.3726e-08,9.5047e+04,2.2661e+05,2.8069e-17,2
4d106s,2S,2.1277e-09,8.2991e+04,,,1
4d107d,2D,1.3722e-08,1.1954e+05,7.7107e+02,6.3599e-19,2
4d107p,2P°,3.0139e-08,1.1249e+05,,,1
4d95s5p,2F°,1.1873e-08,1.2184e+05,4.1988e+07,3.7153e-16,3
4d95s5p,2D°,4.7063e-10,1.2071e+05,6.5714e+05,4.7292e-22,2
4d95s5p,2P°,3.1621e-10,1.1918e+05,2.8293e+04,4.4897e-23,2
4d95s5p,4D°,5.1020e-07,1.1495e+05,,,1
4d95s5p,4F°,5.6314e-08,1.0995e+05,9.3006e+04,8.5923e-16,2
4d95s5p,4P°,4.3478e-06,1.0619e+05,,,1
4d95s2,2D,5.3160e-07,7.2076e+04,1.5875e+07,1.2649e-13,2
