Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f26p1/2,"(4,1/2)°",7.2171e-09,2.6017e+04,1.2593e+05,9.0167e-20,2
4f26p3/2,"(4,3/2)°",6.8596e-09,2.8052e+04,2.8877e+05,3.4599e-19,3
4f26p1/2,"(5,1/2)°",7.3079e-09,2.7677e+04,1.7827e+05,8.9113e-21,2
4f26p3/2,"(5,3/2)°",7.3975e-09,2.9743e+04,1.5119e+04,1.2258e-18,4
4f26p1/2,"(6,1/2)°",7.7435e-09,2.9154e+04,2.4087e+04,8.7466e-19,2
4f26p3/2,"(6,3/2)°",7.8063e-09,3.1857e+04,5.3275e+05,2.3617e-19,2
4f25d,2F,4.3290e-08,2.9807e+04,,,1
4f5d6p,4F,1.8840e-08,2.7990e+04,1.0967e+06,2.3553e-17,2
4f5d6p,4G,7.9258e-09,2.7238e+04,3.6251e+06,1.4574e-19,3
4f5d6p,4H,6.8860e-09,3.0794e+04,3.1933e+06,5.9084e-18,6
4f5d6p,2I,8.6133e-09,3.2802e+04,,,1
4f5d6p,4I,6.0627e-09,3.1225e+04,2.1823e+06,2.4735e-19,2
