Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3s23p34d,1D°,5.4945e-09,1.7854e+05,,,1
3s23p34d,1P°,1.1628e-08,1.7987e+05,,,1
3s23p34d,3D°,5.3727e-09,1.6836e+05,5.0098e+07,2.7791e-18,6
3s23p34d,3F°,3.6222e-09,1.7865e+05,4.3149e+07,8.8342e-20,6
3s23p34d,3P°,4.9583e-09,1.7776e+05,3.8040e+03,1.3024e-19,3
3s23p34d,3S°,4.6296e-09,1.7743e+05,,,1
3s23p34p,1D,6.9712e-09,1.5730e+05,3.2736e+07,1.0401e-18,2
3s23p34p,1F,1.0000e-08,1.4761e+05,,,1
3s23p34p,1P,1.4434e-08,1.5252e+05,9.9486e+07,3.9320e-17,2
3s23p34p,3D,9.3215e-09,1.5257e+05,4.5998e+07,5.2967e-19,6
3s23p34p,3F,1.0526e-08,1.4713e+05,5.2295e+03,3.0259e-20,3
3s23p34p,3P,1.0543e-08,1.4084e+05,9.8944e+07,3.9893e-19,6
3s23p35s,1D°,6.1350e-09,1.7121e+05,,,1
3s23p35s,3D°,5.6696e-09,1.7054e+05,9.5385e+02,3.4176e-22,3
3s23p34p,3S,1.0526e-08,1.5818e+05,,,1
3s23p35s,3P°,1.0136e-08,1.8239e+05,3.2207e+03,3.6858e-21,3
3s23p34d,5D°,3.7093e-09,1.5462e+05,7.9233e+00,6.2613e-22,5
3s23p34p,5P,7.9715e-09,1.2867e+05,2.9661e+03,4.9315e-21,3
3s23p35d,3D°,1.2978e-08,1.7101e+05,1.5410e+03,3.4324e-20,3
3s23p35d,5D°,1.4234e-08,1.6980e+05,4.4310e-01,3.5810e-19,3
3s23p35p,3P,6.6669e-09,1.6166e+05,3.2028e+02,1.9755e-21,3
3s23p35s,3S°,6.0606e-09,1.5363e+05,,,1
3s23p35s,5S°,5.5556e-09,1.5223e+05,,,1
3s23p4,1D,7.5233e+00,1.1654e+04,,,1
3s23p4,1S,2.7412e-01,2.7878e+04,,,1
3s23p4,3P,4.1272e+02,8.4624e+02,4.5141e+04,1.5847e+05,2
3s3p5,3P°,8.9024e-09,9.3900e+04,2.4084e+05,4.3826e-21,3
