Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d64s4p,u 3D°,2.7641e-09,8.7440e+04,1.8955e+05,6.7124e-21,3
3d64s4p,v 3F°,7.7929e-09,8.7809e+04,4.3159e+05,8.5414e-21,3
3d64s4p,x 5D°,4.3358e-09,8.0734e+04,9.8910e+04,3.6635e-20,5
3d64s4p,y 5F°,9.7458e-09,8.2546e+04,1.5781e+05,6.9175e-19,5
3d64s4p,y 5P°,5.9932e-09,8.5630e+04,3.0210e+05,1.4215e-20,3
3d64s2,1G1,1.2005e-07,1.0559e+05,,,1
3d74d,1F,1.8736e-09,1.1148e+05,8.5029e+06,1.9638e-19,4
3d74d,1G,1.5399e-09,1.1214e+05,1.6030e+07,1.0655e-20,2
3d74d,1P,1.8135e-09,1.1278e+05,2.3126e+06,1.1803e-20,2
3d74d,3D,1.8486e-09,1.1008e+05,9.0364e+06,9.8037e-20,11
3d74d,3F,1.8147e-09,1.0998e+05,7.8116e+06,6.2239e-20,12
3d74d,3G,1.6199e-09,1.1154e+05,9.6207e+06,1.2634e-20,8
3d74d,3S,2.2173e-09,1.1425e+05,,,1
3d74p,w 3D°,2.0872e-09,6.9338e+04,8.3587e+04,9.6163e-20,3
3d74p,x 3F°,2.6018e-09,7.0473e+04,8.6879e+04,1.0165e-20,3
3d74p,x 3P°,2.2909e-09,7.2821e+04,7.3940e+05,1.7857e-19,3
3d74p,y 1D°,1.7749e-09,7.2654e+04,,,1
3d74p,y 1F°,2.3207e-09,7.2535e+04,,,1
3d74p,y 1P°,1.6407e-09,7.4523e+04,,,1
3d74s,a 3D,9.0090e+01,2.7484e+04,,,1
3d75s,1D,2.9577e-09,1.0873e+05,,,1
3d75s,3D,2.5939e-09,1.0773e+05,4.8139e+05,8.0520e-20,3
3d74p,v 3D°,1.7525e-09,8.4344e+04,1.2235e+04,5.9587e-21,3
3d74p,w 3F°,2.9976e-09,8.4002e+04,3.8589e+04,1.3500e-20,2
3d74p,w 3G°,3.2967e-09,8.3462e+04,1.5019e+05,5.8858e-19,3
3d74d,1D,2.8034e-09,1.1063e+05,5.9095e+06,2.5770e-18,2
3d74d,1H,1.5592e-09,1.1123e+05,1.3857e+07,4.9577e-21,2
3d74d,1I,1.5292e-09,1.1156e+05,2.0584e+07,2.5525e-21,2
3d74d,3H,1.5455e-09,1.1113e+05,1.2526e+07,1.2612e-21,6
3d74d,3I,1.4710e-09,1.1152e+05,1.1361e+07,6.1411e-22,5
3d74p,y 3F°,2.2399e-09,6.4296e+04,5.7067e+05,5.2101e-20,3
