Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d8,1D°,1.3369e-09,1.3612e+05,3.9954e+08,7.7535e-19,2
3d8,3D°,2.7415e-09,1.2718e+05,6.5149e+07,1.9990e-18,9
3d8,3F°,4.0451e-09,1.2887e+05,6.8502e+07,9.6845e-18,10
3d8,3G°,1.6929e-09,1.3092e+05,9.2021e+07,4.1969e-18,4
3d8,1F°,6.1592e-09,1.2152e+05,,,1
3d8,1G°,1.0989e-05,1.1899e+05,,,1
3d8,3P°,1.0000e-09,1.5294e+05,,,1
3d84s2,1G,3.8168e-07,9.5566e+04,,,1
3d84s2,3P,8.8518e-07,8.8631e+04,8.0029e+04,3.8293e-14,3
3d94d,2[1/2],1.4249e-09,1.1768e+05,1.1296e+07,9.2134e-20,4
3d94d,2[3/2],1.3460e-09,1.1685e+05,1.9194e+06,4.1026e-21,4
3d94d,2[5/2],1.3982e-09,1.1737e+05,1.7396e+06,9.8043e-22,4
3d94d,2[7/2],1.3523e-09,1.1708e+05,7.2046e+05,1.7069e-21,4
3d94f,2[3/2]°,8.6795e-09,1.3698e+05,1.4442e+06,2.4071e-17,4
3d94f,2[5/2]°,6.6911e-09,1.3709e+05,1.5114e+06,1.8648e-18,4
3d94f,2[7/2]°,1.2293e-08,1.3715e+05,1.5869e+06,1.6015e-16,4
3d94f,2[9/2]°,4.9843e-09,1.3714e+05,1.1473e+06,4.8746e-18,4
3d95d,2[1/2],9.9947e-09,1.3751e+05,1.2800e+06,1.3764e-18,3
3d95d,2[3/2],1.1489e-08,1.3785e+05,1.5797e+06,4.0832e-19,4
3d95d,2[5/2],1.0903e-08,1.3806e+05,1.5224e+06,1.7650e-18,4
3d95d,2[7/2],1.0822e-08,1.3795e+05,1.0944e+06,3.9433e-18,4
3d95f,2[3/2]°,4.1202e-08,1.4731e+05,1.4348e+06,3.3294e-16,3
3d95f,2[5/2]°,3.0335e-08,1.4702e+05,1.4450e+06,7.0213e-17,4
3d95f,2[7/2]°,1.6561e-08,1.4706e+05,1.4444e+06,3.4194e-17,4
3d95f,2[9/2]°,1.1705e-08,1.4703e+05,1.3338e+06,3.5720e-18,4
3d95g,2[11/2],1.5439e-08,1.4712e+05,1.3907e+06,5.1931e-19,4
3d95g,2[5/2],1.8127e-08,1.4710e+05,1.4159e+06,2.1342e-17,4
3d95g,2[7/2],1.6809e-08,1.4713e+05,1.4333e+06,1.7096e-18,4
3d95g,2[9/2],1.7374e-08,1.4714e+05,1.4311e+06,7.1421e-18,4
3d95p,2[1/2]°,2.0375e-08,1.2255e+05,2.0719e+05,3.7202e-18,2
3d95p,2[3/2]°,1.6373e-08,1.2197e+05,2.9762e+06,6.3980e-17,4
3d95p,2[5/2]°,8.4339e-09,1.2193e+05,1.2273e+06,6.7014e-17,4
3d95s,2[3/2],2.2561e-09,1.1023e+05,3.9671e+04,3.2383e-24,2
3d96d,2[7/2],1.9474e-07,1.4785e+05,1.2578e+06,8.2457e-14,3
3d96f,2[3/2]°,1.2312e-07,1.5240e+05,2.1039e+06,2.8858e-16,2
3d96f,2[5/2]°,7.6564e-08,1.5207e+05,1.3426e+06,1.6731e-16,3
3d96f,2[7/2]°,6.6006e-08,1.5246e+05,1.4241e+06,6.8515e-17,4
3d96f,2[9/2]°,5.9669e-08,1.5244e+05,1.3736e+06,5.1954e-17,4
3d96g,2[11/2],4.6339e-08,1.5250e+05,1.4074e+06,2.8578e-17,4
3d96g,2[5/2],4.7674e-08,1.5214e+05,1.4217e+06,4.0562e-18,3
3d96g,2[7/2],5.3255e-08,1.5285e+05,1.4319e+06,2.7929e-17,3
3d96g,2[9/2],6.7501e-08,1.5251e+05,1.4308e+06,1.3990e-15,4
3d96s,2[3/2],1.2144e-08,1.3571e+05,4.5730e+03,1.8376e-20,2
3d94d,2[9/2],1.2871e-09,1.1562e+05,4.3774e+03,2.6891e-22,2
3d94f,2[1/2]°,5.7988e-09,1.3588e+05,7.3923e+02,4.0717e-19,2
3d94f,2[11/2]°,5.0826e-09,1.3593e+05,4.1497e+00,6.5232e-20,2
3d95d,2[9/2],9.5714e-09,1.3675e+05,7.8004e+02,3.7751e-20,2
3d95f,2[1/2]°,2.4448e-08,1.4590e+05,6.6932e+01,2.8446e-18,2
3d95f,2[11/2]°,1.0053e-08,1.4595e+05,1.7600e+01,4.5932e-20,2
3d95g,2[13/2],1.5038e-08,1.4607e+05,1.4879e-03,2.5570e-20,2
3d95g,2[3/2],1.5955e-08,1.4605e+05,7.8250e-03,1.0121e-18,2
3d95p,2[7/2]°,2.1230e-08,1.2074e+05,5.5226e+03,7.9921e-18,2
3d95s,2[5/2],2.1150e-09,1.0818e+05,5.1447e+04,8.6522e-22,2
3d96d,2[9/2],3.0415e-08,1.4641e+05,2.0984e+02,6.7956e-18,2
3d96f,2[11/2]°,5.5556e-08,1.5138e+05,1.4354e+01,0.0000e+00,2
3d96g,2[13/2],4.2572e-08,1.5145e+05,2.7380e-03,1.6409e-18,2
3d96g,2[3/2],4.6083e-08,1.5144e+05,,,1
3d96s,2[5/2],1.3107e-08,1.3366e+05,8.9521e+03,6.9973e-19,2
3d94p,1D°,2.4808e-09,7.1494e+04,,,1
3d94p,1F°,2.5445e-09,7.0841e+04,,,1
3d94p,1P°,1.4158e-09,7.3596e+04,,,1
3d94p,3D°,2.1661e-09,7.2792e+04,5.8570e+05,1.1051e-19,3
3d94p,3F°,2.4426e-09,6.9016e+04,5.6505e+05,9.1988e-20,3
3d94p,3P°,2.5439e-09,6.7729e+04,1.5047e+06,3.7013e-20,3
3d94s,1D,5.4870e-01,2.6265e+04,,,1
3d94s,3D,1.3558e+01,2.3423e+04,6.6269e+05,3.6962e+01,2
