Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d5,4D°,4.8152e-09,1.0186e+05,3.1142e+07,7.3625e-19,14
3d5,4F°,1.2717e-08,1.0377e+05,2.3105e+07,2.4669e-16,10
3d5,4P°,3.9561e-09,1.0024e+05,2.6363e+07,3.2193e-19,8
3d5,2G°,7.4578e-09,1.0335e+05,4.0076e+07,7.6328e-17,3
3d5,4G°,1.0580e-08,1.0830e+05,8.7019e+05,2.3719e-16,6
3d5,4H°,6.4588e-09,1.0756e+05,6.7141e+06,6.0621e-17,9
3d5,2H°,5.0096e-09,1.0150e+05,3.8169e+07,3.5961e-18,4
3d5,2I°,2.7224e-09,1.0921e+05,7.4812e+03,1.4137e-21,2
3d5,2K°,1.4286e-08,1.0618e+05,,,1
3d5,4I°,7.9752e-09,1.0311e+05,1.5957e+04,1.0090e-18,3
3d5,4K°,3.4897e-08,1.0242e+05,1.1198e+04,1.4728e-16,2
3d5,2D°,3.8614e-09,1.0178e+05,1.4373e+06,4.6197e-18,3
3d5,2F°,3.2669e-09,1.0326e+05,1.1318e+04,1.0369e-20,2
3d5,2P°,4.1050e-09,1.0328e+05,2.6618e+07,1.5364e-18,3
3d5,6D°,7.8084e-09,9.5860e+04,7.0758e+07,9.4938e-17,14
3d5,6F°,1.3518e-08,9.9305e+04,5.6476e+07,1.5532e-17,12
3d5,6P°,4.3878e-09,9.1529e+04,8.5375e+06,8.1055e-18,5
3d54p,4H°,8.2122e-09,1.0881e+05,,,1
3d5,t 2F°,3.2569e-09,9.6318e+04,2.9890e+03,4.1009e-22,2
3d5,v 4F°,3.6439e-09,9.2349e+04,3.6538e+03,1.8225e-21,4
3d5,w 4G°,3.4704e-09,9.4100e+04,7.8583e+03,6.6141e-20,4
3d5,x 4H°,8.4682e-09,9.2155e+04,4.9879e+03,7.0497e-19,4
3d5,y 6F°,2.9255e-09,8.7631e+04,6.0926e+04,2.6726e-19,6
3d5,2S°,1.5408e-09,1.0397e+05,,,1
3d5,4S°,2.8011e-09,9.8338e+04,,,1
3d54p2,8P,1.3914e-09,1.0682e+05,1.6602e+05,3.3720e-19,3
3d5,x 6P°,8.8588e-10,7.9287e+04,1.8294e+03,2.0839e-20,3
3d5,x 4P°,3.5215e-09,6.9277e+04,2.6805e+04,2.0186e-21,3
3d5,y 6P°,3.8622e-09,6.2065e+04,9.8678e+03,5.6462e-20,3
3d54s4d,6D,5.1237e-09,1.0659e+05,5.2378e+03,8.6941e-19,5
3d54s4d,8D,8.8689e-10,1.0947e+05,2.1492e+02,3.7992e-20,5
3d54s5s,6S,1.4706e-08,1.0659e+05,,,1
3d54s2,2F2,1.8649e-06,8.1687e+04,4.5582e+03,7.4256e-14,2
3d54s2,2G2,9.8039e-06,7.8381e+04,7.6934e+04,0.0000e+00,2
3d54s2,4F,7.4995e-07,7.3480e+04,1.3136e+04,2.6860e-14,4
3d54s2,a 6S,2.6233e-01,2.3318e+04,,,1
3d54s2,b 4G,1.6976e-05,5.4266e+04,5.3034e+02,1.4386e-11,4
3d54s2,c 4D,6.8891e-06,6.0386e+04,9.9589e+03,6.1254e-12,3
3d54s2,d 4P,2.7027e-05,5.7411e+04,,,1
3d64p,v 2F°,2.6556e-09,7.7940e+04,7.7881e+04,8.9657e-21,2
