Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d105f,2F°,3.3352e-09,1.2328e+05,3.3173e+04,7.6064e-18,2
5d105g,2G,1.3822e-08,1.3365e+05,5.7800e-04,8.4157e-20,2
5d106d,2D,1.1128e-09,1.0526e+05,1.5675e+05,9.6946e-20,2
5d106f,2F°,3.1754e-08,1.3328e+05,1.0217e+02,5.0810e-19,2
5d106g,2G,3.7902e-08,1.3904e+05,4.5000e-06,5.3935e-19,2
5d106p,2P°,1.0822e-09,5.6047e+04,4.1608e+07,1.2611e-19,2
5d107d,2D,3.1776e-09,1.2545e+05,3.2285e+04,3.9353e-19,2
5d107f,2F°,4.8053e-08,1.3880e+05,1.6453e+02,1.0577e-18,2
5d107g,2G,9.2809e-08,1.4229e+05,9.6800e-04,5.0475e-16,2
5d107p,2P°,1.3576e-09,1.1013e+05,6.7465e+06,6.9301e-21,2
5d107s,2S,1.6667e-09,9.5714e+04,,,1
5d108d,2D,6.8582e-09,1.3463e+05,9.3314e+03,4.2765e-19,2
5d108f,2F°,1.2048e-07,1.4213e+05,1.6086e+01,0.0000e+00,2
5d108g,2G,1.2839e-07,1.4440e+05,6.2658e-02,8.7056e-16,2
5d108p,2P°,1.1591e-08,1.2737e+05,3.6435e+05,7.3593e-17,2
5d108s,2S,3.9124e-09,1.2142e+05,,,1
5d96p2,"(2D5/2,1D2)",4.2553e-10,1.6912e+05,,,1
5d96p2,"(2D5/2,3P0)",5.6480e-10,1.4665e+05,,,1
5d96p2,"(2D5/2,3P1)",3.8210e-10,1.5367e+05,5.2336e+06,4.1341e-25,2
5d96p2,"(2D5/2,3P2)",3.5275e-10,1.5808e+05,8.1206e+04,5.7508e-23,3
5d96s6d,"[(2D3/2,1/2)1,3/2]",8.5470e-10,1.6114e+05,,,1
5d96s6d,"[(2D3/2,1/2)1,5/2]",1.6892e-09,1.6204e+05,,,1
5d96s6d,"[(2D3/2,1/2)2,5/2]",9.0090e-10,1.6492e+05,,,1
5d96s6d,"[(2D5/2,1/2)2,3/2]",7.9107e-10,1.4818e+05,3.9724e+03,1.0903e-20,2
5d96s6d,"[(2D5/2,1/2)2,5/2]",1.2870e-09,1.4963e+05,,,1
5d96s6d,"[(2D5/2,1/2)3,3/2]",1.2043e-09,1.4525e+05,5.8708e+05,3.5254e-19,4
5d96s6d,"[(2D5/2,1/2)3,5/2]",1.5427e-09,1.4577e+05,5.8271e+05,1.4791e-18,6
5d96s6p,"(2D3/2,1P1)°",5.0451e-10,1.2278e+05,2.5457e+06,7.0862e-21,3
5d96s6p,"(2D3/2,3P0)°",3.2134e-08,9.7096e+04,,,1
5d96s6p,"(2D3/2,3P1)°",7.2739e-09,1.0264e+05,2.4902e+06,1.2943e-16,3
5d96s6p,"(2D3/2,3P2)°",1.3461e-09,1.0932e+05,4.7426e+06,2.0785e-19,4
5d96s6p,"(2D5/2,1P1)°",5.1590e-10,1.0709e+05,2.6647e+06,1.7643e-20,3
5d96s6p,"(2D5/2,3P0)°",1.2495e-07,7.9705e+04,,,1
5d96s6p,"(2D5/2,3P1)°",2.8006e-08,8.5076e+04,1.0094e+06,7.7084e-16,3
5d96s6p,"(2D5/2,3P2)°",2.2142e-07,9.5193e+04,7.3755e+05,1.6655e-13,4
5d96s7s,"[(2D5/2,1/2)2,1/2]",1.5058e-09,1.3953e+05,7.3903e+05,1.4460e-19,2
5d96s7s,"[(2D5/2,1/2)3,1/2]",1.2315e-09,1.3601e+05,9.9619e+05,1.1719e-20,2
