Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5p2,1D,7.7006e-10,1.1388e+05,,,1
5p2,1S,8.8191e-10,1.2129e+05,,,1
5p2,3P,8.3701e-10,1.0347e+05,3.9528e+06,4.3752e-21,3
5s4f,1F°,3.8491e-09,1.2370e+05,,,1
5s4f,3F°,4.7271e-09,1.2365e+05,1.3113e+02,7.4761e-20,3
5s5d,1D,2.8818e-08,9.7628e+04,,,1
5s5d,3D,9.0679e-10,1.0219e+05,1.2254e+04,1.5971e-21,3
5s5f,1F°,1.0317e-08,1.3398e+05,,,1
5s5f,3F°,1.1771e-08,1.3395e+05,1.1365e+02,5.0572e-23,3
5s5p,1P°,7.8125e-10,6.3039e+04,,,1
5s5p,3P°,9.8039e-02,4.2813e+04,5.7737e+05,1.9223e-02,2
5s6d,1D,1.6410e-09,1.2667e+05,,,1
5s6d,3D,3.0202e-09,1.2478e+05,1.9434e+03,1.1959e-20,3
5s6f,1F°,1.4071e-08,1.3959e+05,,,1
5s6f,3F°,1.9072e-08,1.3956e+05,9.1173e+01,3.4259e-20,3
5s6p,1P°,1.2789e-08,1.0978e+05,,,1
5s6p,3P°,1.5055e-08,1.0798e+05,1.6126e+05,1.5083e-18,3
5s6s,1S,2.9011e-09,9.7030e+04,,,1
5s6s,3S,1.2708e-09,9.3924e+04,,,1
5s7d,1D,3.8075e-09,1.3540e+05,,,1
5s7d,3D,6.6635e-09,1.3475e+05,5.2442e+02,6.4917e-20,3
5s7f,1F°,3.5461e-08,1.4296e+05,,,1
5s7f,3F°,3.6636e-08,1.4293e+05,6.8807e+01,5.5488e-20,3
5s7p,1P°,2.7925e-08,1.2757e+05,,,1
5s7p,3P°,5.9165e-08,1.2706e+05,2.9030e+04,4.9112e-19,3
5s7s,1S,7.1093e-10,1.2337e+05,,,1
5s7s,3S,2.6896e-09,1.2144e+05,,,1
