Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d66s6p,"(3/2,1/2)°",2.0000e-07,5.8287e+04,,,1
5d66s6p,"(5/2,1/2)°",5.4645e-09,5.6354e+04,,,1
5d66s6p,"(7/2,1/2)°",1.7889e-08,5.4066e+04,,,1
5d66s6p,"(9/2,1/2)°",3.6833e-08,5.0818e+04,5.3147e+05,2.4809e-17,2
5d76p,"(3/2,1/2)°",7.8256e-09,5.5258e+04,9.7446e+06,7.1539e-18,4
5d76p,"(5/2,1/2)°",6.9316e-09,5.3233e+04,3.6164e+06,1.3779e-18,4
5d76p,"(7/2,1/2)°",4.3748e-09,5.2376e+04,2.6421e+06,2.1926e-19,2
5d76p,"(9/2,1/2)°",4.8606e-09,4.5790e+04,2.9482e+06,6.2606e-19,2
5d76p,"(9/2,3/2)°",3.8819e-09,5.4963e+04,3.2323e+06,1.3144e-18,2
5d76p,"(1/2,1/2)°",4.9505e-09,5.6876e+04,,,1
