Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p54f,2[5/2],5.9689e-10,2.2844e+05,1.5559e+06,3.1664e-21,4
3p54f,2[7/2],6.4454e-10,2.2849e+05,1.3441e+06,1.7269e-19,4
3p55f,2[5/2],2.3194e-09,2.3842e+05,1.5368e+06,2.0962e-18,4
3p55f,2[7/2],1.7076e-09,2.3845e+05,1.4403e+06,2.3008e-18,4
3p55s,2[1/2]°,2.1265e-09,2.1487e+05,4.2603e+04,4.8807e-18,2
3p54f,2[3/2],1.1533e-09,2.2711e+05,2.4864e+02,3.8282e-19,2
3p54f,2[9/2],3.6418e-10,2.2723e+05,1.0580e+01,9.4291e-22,2
3p55f,2[3/2],8.5352e-09,2.3721e+05,1.2325e+02,1.0517e-17,2
3p55f,2[9/2],7.6244e-10,2.3727e+05,8.4050e+00,2.2953e-20,2
3p55s,2[3/2]°,1.1291e-09,2.1278e+05,8.7111e+04,1.7458e-19,2
3p53d,1P°,1.4925e-11,2.0196e+05,,,1
3p53d,3D°,9.4340e-08,1.8045e+05,,,1
3p53d,3P°,2.3810e-09,1.6449e+05,,,1
3p54d,3D°,5.5636e-10,2.1846e+05,1.0802e+06,1.6879e-20,2
3p54d,3F°,6.2104e-10,2.1706e+05,,,1
3p54d,3P°,8.5779e-10,2.1563e+05,1.0152e+05,1.2223e-19,2
3p54p,1D,1.2391e-09,1.8815e+05,,,1
3p54p,1P,2.8074e-09,1.8924e+05,,,1
3p54p,1S,4.2522e-09,1.9477e+05,,,1
3p54p,3D,1.2083e-09,1.8686e+05,3.5175e+05,1.4546e-19,3
3p54p,3P,2.6545e-09,1.8985e+05,6.1299e+04,4.1501e-18,3
3p54p,3S,2.3812e-09,1.8320e+05,,,1
3p54s,1P°,4.3478e-10,1.6646e+05,,,1
3p54s,3P°,8.3333e-09,1.6323e+05,,,1
3p55d,"(1/2,3/2)°",2.5000e-10,2.3700e+05,,,1
