Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f5d,y 1F°,6.9881e-08,2.4523e+04,,,1
4f5d,y 3F°,4.9292e-07,1.8725e+04,4.7920e+05,3.7457e-15,2
4f5d,z 1D°,6.1350e-07,1.8895e+04,,,1
4f5d,z 1H°,1.2987e-07,2.8526e+04,,,1
4f5d,z 3D°,5.6708e-08,2.2028e+04,3.0459e+05,9.9352e-17,3
4f5d,z 3G°,1.1812e-07,2.1339e+04,8.8372e+05,1.8099e-17,3
4f5d,z 3P°,7.8314e-08,2.2879e+04,1.0187e+05,3.4216e-16,3
5d6p,x 3F°,5.3171e-09,2.7272e+04,1.2988e+06,7.8808e-20,3
5d6p,y 1D°,6.2383e-09,2.4463e+04,,,1
5d6p,y 3D°,5.1254e-09,2.7226e+04,1.3909e+06,3.1990e-18,3
5d6p,°,6.6934e-09,2.7424e+04,,,1
6s6p,y 3P°,3.1949e-08,2.7546e+04,,,1
