Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2p63d,2D,2.0838e-09,7.1491e+04,3.7845e-01,3.0245e-23,2
2p63p,2P°,3.8686e-09,3.5715e+04,4.1925e+03,1.0079e-21,2
2p64d,2D,7.6989e-09,9.3311e+04,1.3520e-01,1.0659e-21,2
2p64f,2F°,4.2963e-09,9.3800e+04,7.2000e-03,4.2592e-23,2
2p64p,2P°,1.8338e-08,8.0635e+04,4.6574e+02,2.7369e-21,2
2p64s,2S,2.8986e-09,6.9805e+04,,,1
2p65d,2D,1.9077e-08,1.0342e+05,4.5000e-02,7.6461e-21,2
2p65f,2F°,8.2092e-09,1.0369e+05,1.8000e-03,9.0742e-25,2
2p65p,2P°,4.3975e-08,9.7462e+04,9.5220e+01,1.1967e-22,2
2p65s,2S,5.0201e-09,9.2791e+04,,,1
